Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8776,Alcohol_status,Alcohol_dependence,a4978011000006117,Secret drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8777,Alcohol_status,Alcohol_dependence,a4978021000006113,Hidden drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8778,Alcohol_status,Alcohol_dependence,a4978031000006111,Problem drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8779,Alcohol_status,Alcohol_dependence,a4978061000006119,Dependent drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8780,Alcohol_status,Alcohol_dependence,a4978161000006115,Park drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8781,Alcohol_status,Alcohol_dependence,a4978171000006110,Street drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8782,Alcohol_status,Alcohol_dependence,a4978261000006110,Isolated drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8783,Alcohol_status,Alcohol_dependence,a4978271000006115,Lone drinker,L1:Alcohol_status_L2:Alcohol_dependence,
8784,Alcohol_status,Alcohol_dependence,a8103541000006113,Feels alcohol consumption is not a problem,L1:Alcohol_status_L2:Alcohol_dependence,
8785,Alcohol_status,Alcohol_dependence,a8106921000006119,Feels it is not necessary to reduce alcohol consumption,L1:Alcohol_status_L2:Alcohol_dependence,
8786,Alcohol_status,Alcohol_dependence,a500478011,Alcohol dependence syndrome,L1:Alcohol_status_L2:Alcohol_dependence,1000000
8787,Alcohol_status,Alcohol_dependence,a12878014,Alcoholism,L1:Alcohol_status_L2:Alcohol_dependence,200000
8788,Alcohol_status,Alcohol_dependence,a295144019,Alcohol dependence syndrome NOS,L1:Alcohol_status_L2:Alcohol_dependence,100000
8789,Alcohol_status,Alcohol_dependence,a476611000006116,Alcoholic cirrhosis of liver,L1:Alcohol_status_L2:Alcohol_dependence,100000
8790,Alcohol_status,Alcohol_dependence,a13929361000006112,Alcohol detoxification,L1:Alcohol_status_L2:Alcohol_dependence,100000
8791,Alcohol_status,Alcohol_dependence,a294674018,Alcohol withdrawal syndrome,L1:Alcohol_status_L2:Alcohol_dependence,80000
8792,Alcohol_status,Alcohol_dependence,a110629012,Chronic alcoholism,L1:Alcohol_status_L2:Alcohol_dependence,60000
8793,Alcohol_status,Alcohol_dependence,a283559019,Admitted to alcohol detoxification centre,L1:Alcohol_status_L2:Alcohol_dependence,10000
8794,Alcohol_status,Alcohol_dependence,a251626014,H/O: alcoholism,L1:Alcohol_status_L2:Alcohol_dependence,60000
8795,Alcohol_status,Alcohol_dependence,a295136019,Alcohol dependence,L1:Alcohol_status_L2:Alcohol_dependence,50000
8796,Alcohol_status,Alcohol_dependence,a106878015,Alcohol detoxification,L1:Alcohol_status_L2:Alcohol_dependence,50000
8797,Alcohol_status,Alcohol_dependence,a315091000000117,Alcohol withdrawal-induced seizure,L1:Alcohol_status_L2:Alcohol_dependence,20000
8798,Alcohol_status,Alcohol_dependence,a353698013,Alcohol-induced chronic pancreatitis,L1:Alcohol_status_L2:Alcohol_dependence,10000
8799,Alcohol_status,Alcohol_dependence,a138527014,Alcoholic cardiomyopathy,L1:Alcohol_status_L2:Alcohol_dependence,10000
8800,Alcohol_status,Alcohol_dependence,a295127018,Acute alcoholic intoxication in alcoholism,L1:Alcohol_status_L2:Alcohol_dependence,10000
8801,Alcohol_status,Alcohol_dependence,a362921000006118,[X]Alcohol addiction,L1:Alcohol_status_L2:Alcohol_dependence,10000
8802,Alcohol_status,Alcohol_dependence,a753331000006118,Korsakov alcoholic psychosis,L1:Alcohol_status_L2:Alcohol_dependence,8000
