Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8604,Alcohol_status,current_drinker,a1738421000000111,Lower risk drinking,L1:Alcohol_status_L2:current_drinker,
8605,Alcohol_status,current_drinker,a250312016,Light drinker - 1-2u/day,L1:Alcohol_status_L2:current_drinker,
8606,Alcohol_status,current_drinker,a250340014,Alcohol intake within recommended sensible limits,L1:Alcohol_status_L2:current_drinker,
8607,Alcohol_status,current_drinker,a342320016,Light drinker,L1:Alcohol_status_L2:current_drinker,
8608,Alcohol_status,current_drinker,a397729013,Trivial drinker - <1u/day,L1:Alcohol_status_L2:current_drinker,
8609,Alcohol_status,current_drinker,a629811000006113,Occasional drinker,L1:Alcohol_status_L2:current_drinker,
8610,Alcohol_status,current_drinker,a629821000006117,Drinks rarely,L1:Alcohol_status_L2:current_drinker,
8611,Alcohol_status,current_drinker,a1738341000000110,Increasing risk drinking,L1:Alcohol_status_L2:current_drinker,
8612,Alcohol_status,current_drinker,a250313014,Moderate drinker - 3-6u/day,L1:Alcohol_status_L2:current_drinker,
8613,Alcohol_status,current_drinker,a73012011,Moderate drinker,L1:Alcohol_status_L2:current_drinker,
8614,Alcohol_status,current_drinker,a223671000000110,Hangover from alcohol,L1:Alcohol_status_L2:current_drinker,
8615,Alcohol_status,current_drinker,a2502061000006114,Current drinker,L1:Alcohol_status_L2:current_drinker,
8616,Alcohol_status,current_drinker,a2502071000006119,Alcohol user,L1:Alcohol_status_L2:current_drinker,
8617,Alcohol_status,current_drinker,a2502081000006116,Drinks alcohol,L1:Alcohol_status_L2:current_drinker,
8618,Alcohol_status,current_drinker,a2502091000006118,Current drinker of alcohol,L1:Alcohol_status_L2:current_drinker,
8619,Alcohol_status,current_drinker,a250331010,Spirit drinker,L1:Alcohol_status_L2:current_drinker,
8620,Alcohol_status,current_drinker,a250332015,Beer drinker,L1:Alcohol_status_L2:current_drinker,
8621,Alcohol_status,current_drinker,a250333013,Drinks beer and spirits,L1:Alcohol_status_L2:current_drinker,
8622,Alcohol_status,current_drinker,a250334019,Drinks wine,L1:Alcohol_status_L2:current_drinker,
8623,Alcohol_status,current_drinker,a3024491000006118,Hangover,L1:Alcohol_status_L2:current_drinker,
8624,Alcohol_status,current_drinker,a346930019,Inebriety NOS,L1:Alcohol_status_L2:current_drinker,
8625,Alcohol_status,current_drinker,a4533361000006116,Drinker of hard liquor,L1:Alcohol_status_L2:current_drinker,
8626,Alcohol_status,current_drinker,a47085011,Social drinker,L1:Alcohol_status_L2:current_drinker,
8627,Alcohol_status,current_drinker,a4978131000006112,Home drinker,L1:Alcohol_status_L2:current_drinker,
8628,Alcohol_status,current_drinker,a4978411000006113,Drinks alcohol evenly through week,L1:Alcohol_status_L2:current_drinker,
8629,Alcohol_status,current_drinker,a4978421000006117,Drinks alcohol unevenly through week,L1:Alcohol_status_L2:current_drinker,
8630,Alcohol_status,current_drinker,a4978431000006119,Weekend drinker,L1:Alcohol_status_L2:current_drinker,
8631,Alcohol_status,current_drinker,a4978451000006114,Bout drinker,L1:Alcohol_status_L2:current_drinker,
8632,Alcohol_status,current_drinker,a4978461000006111,Episodic drinker,L1:Alcohol_status_L2:current_drinker,
8633,Alcohol_status,current_drinker,a4978491000006115,Daily drinker,L1:Alcohol_status_L2:current_drinker,
8634,Alcohol_status,current_drinker,a4978501000006111,Drinks alcohol daily,L1:Alcohol_status_L2:current_drinker,
8635,Alcohol_status,current_drinker,a4978511000006114,Habitual drinker,L1:Alcohol_status_L2:current_drinker,
8636,Alcohol_status,current_drinker,a6006211000006116,Drinking alcohol,L1:Alcohol_status_L2:current_drinker,
8637,Alcohol_status,current_drinker,a7334601000006116,Drinks alcoholic cider,L1:Alcohol_status_L2:current_drinker,
8638,Alcohol_status,current_drinker,a7334611000006118,Cider drinker,L1:Alcohol_status_L2:current_drinker,
8639,Alcohol_status,current_drinker,a7334621000006114,Drinks cider,L1:Alcohol_status_L2:current_drinker,
8640,Alcohol_status,current_drinker,a7967731000006110,Decreased alcohol consumption,L1:Alcohol_status_L2:current_drinker,
8641,Alcohol_status,current_drinker,a8229891000006112,Drinks real ale,L1:Alcohol_status_L2:current_drinker,
8642,Alcohol_status,current_drinker,a970431000006112,Misuse of Beer or Cider,L1:Alcohol_status_L2:current_drinker,
8643,Alcohol_status,current_drinker,a250335018,Alcohol intake above recommended sensible limits,L1:Alcohol_status_L2:current_drinker,
8644,Alcohol_status,current_drinker,a299061000000117,Hazardous alcohol use,L1:Alcohol_status_L2:current_drinker,
8645,Alcohol_status,current_drinker,a144179014,Heavy drinker,L1:Alcohol_status_L2:current_drinker,
8646,Alcohol_status,current_drinker,a1738381000000119,Higher risk drinking,L1:Alcohol_status_L2:current_drinker,
8647,Alcohol_status,current_drinker,a250314015,Heavy drinker - 7-9u/day,L1:Alcohol_status_L2:current_drinker,
8648,Alcohol_status,current_drinker,a250316018,Very heavy drinker - >9u/day,L1:Alcohol_status_L2:current_drinker,
8649,Alcohol_status,current_drinker,a2740831000000114,Harmful use of alcohol,L1:Alcohol_status_L2:current_drinker,
8650,Alcohol_status,current_drinker,a299081000000114,Harmful alcohol use,L1:Alcohol_status_L2:current_drinker,
8651,Alcohol_status,current_drinker,a342322012,Very heavy drinker,L1:Alcohol_status_L2:current_drinker,
8652,Alcohol_status,current_drinker,a342366014,Binge drinker,L1:Alcohol_status_L2:current_drinker,
8653,Alcohol_status,current_drinker,a4533231000006117,Very heavy drinker - greater than 9 units/day,L1:Alcohol_status_L2:current_drinker,
8654,Alcohol_status,current_drinker,a4533441000006111,XS - Excessive alcohol consumption,L1:Alcohol_status_L2:current_drinker,
8655,Alcohol_status,current_drinker,a4533451000006113,Excessive alcohol consumption,L1:Alcohol_status_L2:current_drinker,
8656,Alcohol_status,current_drinker,a4533461000006110,Excessive alcohol use,L1:Alcohol_status_L2:current_drinker,
8657,Alcohol_status,current_drinker,a4977991000006113,Fairly heavy drinker,L1:Alcohol_status_L2:current_drinker,
