Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8744,Alcohol_status,current_drinker_hazard,a250335018,Alcohol intake above recommended sensible limits,L1:Alcohol_status_L2:current_drinker_hazard,
8745,Alcohol_status,current_drinker_hazard,a299061000000117,Hazardous alcohol use,L1:Alcohol_status_L2:current_drinker_hazard,
8746,Alcohol_status,current_drinker_hazard,a144179014,Heavy drinker,L1:Alcohol_status_L2:current_drinker_hazard,
8747,Alcohol_status,current_drinker_hazard,a1738381000000119,Higher risk drinking,L1:Alcohol_status_L2:current_drinker_hazard,
8748,Alcohol_status,current_drinker_hazard,a250314015,Heavy drinker - 7-9u/day,L1:Alcohol_status_L2:current_drinker_hazard,
8749,Alcohol_status,current_drinker_hazard,a250316018,Very heavy drinker - >9u/day,L1:Alcohol_status_L2:current_drinker_hazard,
8750,Alcohol_status,current_drinker_hazard,a2740831000000114,Harmful use of alcohol,L1:Alcohol_status_L2:current_drinker_hazard,
8751,Alcohol_status,current_drinker_hazard,a299081000000114,Harmful alcohol use,L1:Alcohol_status_L2:current_drinker_hazard,
8752,Alcohol_status,current_drinker_hazard,a342322012,Very heavy drinker,L1:Alcohol_status_L2:current_drinker_hazard,
8753,Alcohol_status,current_drinker_hazard,a342366014,Binge drinker,L1:Alcohol_status_L2:current_drinker_hazard,
8754,Alcohol_status,current_drinker_hazard,a4533231000006117,Very heavy drinker - greater than 9 units/day,L1:Alcohol_status_L2:current_drinker_hazard,
8755,Alcohol_status,current_drinker_hazard,a4533441000006111,XS - Excessive alcohol consumption,L1:Alcohol_status_L2:current_drinker_hazard,
8756,Alcohol_status,current_drinker_hazard,a4533451000006113,Excessive alcohol consumption,L1:Alcohol_status_L2:current_drinker_hazard,
8757,Alcohol_status,current_drinker_hazard,a4533461000006110,Excessive alcohol use,L1:Alcohol_status_L2:current_drinker_hazard,
8758,Alcohol_status,current_drinker_hazard,a4977991000006113,Fairly heavy drinker,L1:Alcohol_status_L2:current_drinker_hazard,
8759,Alcohol_status,current_drinker_hazard,a1806211000006115,Unsuccessful attempts to reduce alcohol consumption,L1:Alcohol_status_L2:current_drinker_hazard,
8760,Alcohol_status,current_drinker_hazard,a2911291000006114,Acute alcohol intoxication,L1:Alcohol_status_L2:current_drinker_hazard,
8761,Alcohol_status,current_drinker_hazard,a2911301000006110,Drunk,L1:Alcohol_status_L2:current_drinker_hazard,
8762,Alcohol_status,current_drinker_hazard,a295251015,"Nondependent alcohol abuse, unspecified",L1:Alcohol_status_L2:current_drinker_hazard,
8763,Alcohol_status,current_drinker_hazard,a295252010,"Nondependent alcohol abuse, continuous",L1:Alcohol_status_L2:current_drinker_hazard,
8764,Alcohol_status,current_drinker_hazard,a295253017,"Nondependent alcohol abuse, episodic",L1:Alcohol_status_L2:current_drinker_hazard,
8765,Alcohol_status,current_drinker_hazard,a295255012,Nondependent alcohol abuse NOS,L1:Alcohol_status_L2:current_drinker_hazard,
8766,Alcohol_status,current_drinker_hazard,a342361016,Drinks in morning to get rid of hangover,L1:Alcohol_status_L2:current_drinker_hazard,
8767,Alcohol_status,current_drinker_hazard,a342421016,Feels should cut down drinking,L1:Alcohol_status_L2:current_drinker_hazard,
8768,Alcohol_status,current_drinker_hazard,a346931015,Drunkenness,L1:Alcohol_status_L2:current_drinker_hazard,
8769,Alcohol_status,current_drinker_hazard,a362251000006117,Alcohol intoxication,L1:Alcohol_status_L2:current_drinker_hazard,
8770,Alcohol_status,current_drinker_hazard,a397881000006114,Alcohol abuse,L1:Alcohol_status_L2:current_drinker_hazard,
8771,Alcohol_status,current_drinker_hazard,a401797010,Nondependent alcohol abuse,L1:Alcohol_status_L2:current_drinker_hazard,
8772,Alcohol_status,current_drinker_hazard,a4559361000006118,On examination - breath - alcohol smell,L1:Alcohol_status_L2:current_drinker_hazard,
8773,Alcohol_status,current_drinker_hazard,a606991000000117,Alcohol misuse,L1:Alcohol_status_L2:current_drinker_hazard,
8774,Alcohol_status,current_drinker_hazard,a769451000006111,Intoxication - alcohol,L1:Alcohol_status_L2:current_drinker_hazard,
8775,Alcohol_status,current_drinker_hazard,a882531000006110,Non-dependent abuse of alcohol,L1:Alcohol_status_L2:current_drinker_hazard,
