Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8856,Alcohol_status,non_drinker,a217461000000118,Non - drinker,L1:Alcohol_status_L2:non_drinker,
8857,Alcohol_status,non_drinker,a291352018,Non-drinker alcohol,L1:Alcohol_status_L2:non_drinker,
8858,Alcohol_status,non_drinker,a291355016,Teetotaller,L1:Alcohol_status_L2:non_drinker,
8859,Alcohol_status,non_drinker,a4120351000006119,Does not drink alcohol,L1:Alcohol_status_L2:non_drinker,
8860,Alcohol_status,non_drinker,a4120371000006112,Non - drinker alcohol,L1:Alcohol_status_L2:non_drinker,
8861,Alcohol_status,non_drinker,a4120381000006110,Current non-drinker of alcohol,L1:Alcohol_status_L2:non_drinker,
8862,Alcohol_status,non_drinker,a4120391000006113,Non-drinker for personal reasons,L1:Alcohol_status_L2:non_drinker,
8863,Alcohol_status,non_drinker,a4120401000006110,Non-drinker for religious reasons,L1:Alcohol_status_L2:non_drinker,
8864,Alcohol_status,non_drinker,a4120411000006113,Non-drinker for medical reasons,L1:Alcohol_status_L2:non_drinker,
8865,Alcohol_status,non_drinker,a4977911000006115,Lifetime non-drinker,L1:Alcohol_status_L2:non_drinker,
8866,Alcohol_status,non_drinker,a4977921000006111,Lifetime abstainer from drink,L1:Alcohol_status_L2:non_drinker,
8867,Alcohol_status,non_drinker,a4977931000006114,Lifetime teetotaller,L1:Alcohol_status_L2:non_drinker,
8868,Alcohol_status,non_drinker,a587231000006111,Non drinker alcohol,L1:Alcohol_status_L2:non_drinker,
8869,Alcohol_status,non_drinker,a855071000006115,Grade A none drinker or rare,L1:Alcohol_status_L2:non_drinker,
