Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
1,Arthritis_inflammatory,Gout,a150085018,Gout,L1:Arthritis_inflammatory_L2:Gout,
2,Arthritis_inflammatory,Gout,a221481000000114,Crystal arthritis,L1:Arthritis_inflammatory_L2:Gout,
3,Arthritis_inflammatory,Gout,a2370851000000119,Acute exacerbation of gout,L1:Arthritis_inflammatory_L2:Gout,
4,Arthritis_inflammatory,Gout,a2695828012,Gouty arthritis of toe,L1:Arthritis_inflammatory_L2:Gout,
5,Arthritis_inflammatory,Gout,a293392012,Gouty arthropathy,L1:Arthritis_inflammatory_L2:Gout,
6,Arthritis_inflammatory,Gout,a293405017,Other specified gouty manifestation,L1:Arthritis_inflammatory_L2:Gout,
7,Arthritis_inflammatory,Gout,a293407013,Gouty tophus,L1:Arthritis_inflammatory_L2:Gout,
8,Arthritis_inflammatory,Gout,a293410018,Gouty tophi of hand,L1:Arthritis_inflammatory_L2:Gout,
9,Arthritis_inflammatory,Gout,a293411019,Other specified gouty manifestation NOS,L1:Arthritis_inflammatory_L2:Gout,
10,Arthritis_inflammatory,Gout,a293412014,Gout NOS,L1:Arthritis_inflammatory_L2:Gout,
11,Arthritis_inflammatory,Gout,a309634013,Chondrocalcinosis due to dicalcium phosphate crystals,L1:Arthritis_inflammatory_L2:Gout,
12,Arthritis_inflammatory,Gout,a309645011,"Chondrocalcinosis due to dicalcium phosphate crystals, NOS",L1:Arthritis_inflammatory_L2:Gout,
13,Arthritis_inflammatory,Gout,a309651018,"Chondrocalcinosis-pyrophosphate crystals, of the hand",L1:Arthritis_inflammatory_L2:Gout,
14,Arthritis_inflammatory,Gout,a309659016,"Chondrocalcinosis due to pyrophosphate crystals, NOS",L1:Arthritis_inflammatory_L2:Gout,
15,Arthritis_inflammatory,Gout,a309660014,"Chondrocalcinosis, unspecified",L1:Arthritis_inflammatory_L2:Gout,
16,Arthritis_inflammatory,Gout,a309661013,"Chondrocalcinosis unspecified, of unspecified site",L1:Arthritis_inflammatory_L2:Gout,
17,Arthritis_inflammatory,Gout,a309662018,Chondrocalcinosis of shoulder region,L1:Arthritis_inflammatory_L2:Gout,
18,Arthritis_inflammatory,Gout,a309667012,"Chondrocalcinosis unspecified, of the lower leg",L1:Arthritis_inflammatory_L2:Gout,
19,Arthritis_inflammatory,Gout,a309668019,Chondrocalcinosis of joint of ankle AND/OR foot,L1:Arthritis_inflammatory_L2:Gout,
