Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
83,Arthritis_inflammatory,Other_Inflammatory,a129259017,Climacteric arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
84,Arthritis_inflammatory,Other_Inflammatory,a13637111000006119,Spondyloarthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
85,Arthritis_inflammatory,Other_Inflammatory,a139708013,Lipoid dermatoarthritis (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
86,Arthritis_inflammatory,Other_Inflammatory,a178460018,Periarthritis of wrist,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
87,Arthritis_inflammatory,Other_Inflammatory,a1786699016,Periarthritis of shoulder,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
88,Arthritis_inflammatory,Other_Inflammatory,a211281000006114,Post-immunization arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
89,Arthritis_inflammatory,Other_Inflammatory,a2472449013,Juvenile seronegative polyarthritis (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
90,Arthritis_inflammatory,Other_Inflammatory,a2549731014,Undifferentiated inflammatory arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
91,Arthritis_inflammatory,Other_Inflammatory,a28671011,Allergic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
92,Arthritis_inflammatory,Other_Inflammatory,a309824019,Chronic arthritis of juvenile onset,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
93,Arthritis_inflammatory,Other_Inflammatory,a309829012,Juvenile chronic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
94,Arthritis_inflammatory,Other_Inflammatory,a309833017,Juvenile arthritis in Crohn's disease (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
95,Arthritis_inflammatory,Other_Inflammatory,a309836013,Juvenile arthritis in ulcerative colitis (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
96,Arthritis_inflammatory,Other_Inflammatory,a310082019,Allergic arthritis of the shoulder region,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
97,Arthritis_inflammatory,Other_Inflammatory,a310085017,Allergic arthritis of the hand,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
98,Arthritis_inflammatory,Other_Inflammatory,a310086016,Allergic arthritis of the pelvic region and thigh,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
99,Arthritis_inflammatory,Other_Inflammatory,a310088015,Allergic arthritis of the ankle and/or foot,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
100,Arthritis_inflammatory,Other_Inflammatory,a310090019,Allergic arthritis of multiple sites,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
101,Arthritis_inflammatory,Other_Inflammatory,a310096013,Climacteric arthritis of the shoulder region,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
102,Arthritis_inflammatory,Other_Inflammatory,a310099018,Climacteric arthritis of the hand,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
103,Arthritis_inflammatory,Other_Inflammatory,a310100014,Climacteric arthritis of the pelvic region and thigh,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
104,Arthritis_inflammatory,Other_Inflammatory,a310102018,Climacteric arthritis of the ankle and/or foot,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
105,Arthritis_inflammatory,Other_Inflammatory,a310104017,Climacteric arthritis of multiple sites,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
106,Arthritis_inflammatory,Other_Inflammatory,a311044019,Other inflammatory spondylopathies NOS,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
107,Arthritis_inflammatory,Other_Inflammatory,a311398011,Periarthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
108,Arthritis_inflammatory,Other_Inflammatory,a312523013,[X]Other juvenile arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
109,Arthritis_inflammatory,Other_Inflammatory,a312611014,[X]Other specified inflammatory spondylopathies,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
110,Arthritis_inflammatory,Other_Inflammatory,a32869011,Arthritis mutilans (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
111,Arthritis_inflammatory,Other_Inflammatory,a3428911000006119,Felty syndrome,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
112,Arthritis_inflammatory,Other_Inflammatory,a3528163014,Polyarticular juvenile idiopathic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
113,Arthritis_inflammatory,Other_Inflammatory,a359172014,Arthritis of elbow,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
114,Arthritis_inflammatory,Other_Inflammatory,a359346011,Apatite-associated destructive arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
115,Arthritis_inflammatory,Other_Inflammatory,a3709271000006110,Pauciarticular onset juvenile arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
116,Arthritis_inflammatory,Other_Inflammatory,a394571000006116,Chronic arthritis of juvenile onset,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
117,Arthritis_inflammatory,Other_Inflammatory,a463281000006113,Adult onset Still's disease,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
118,Arthritis_inflammatory,Other_Inflammatory,a463301000006112,Adult-onset Still's disease,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
119,Arthritis_inflammatory,Other_Inflammatory,a4809321000006119,Juvenile onset Still's disease,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
120,Arthritis_inflammatory,Other_Inflammatory,a502690012,Pauciarticular onset juvenile chronic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
121,Arthritis_inflammatory,Other_Inflammatory,a5139361000006116,Juvenile chronic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
122,Arthritis_inflammatory,Other_Inflammatory,a5139391000006112,Early onset pauciarticular chronic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
123,Arthritis_inflammatory,Other_Inflammatory,a5139511000006113,Juvenile spondyloarthropathy,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
124,Arthritis_inflammatory,Other_Inflammatory,a5139531000006119,Juvenile reactive arthritis triad,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
125,Arthritis_inflammatory,Other_Inflammatory,a5139671000006117,Undifferentiated inflammatory oligoarthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
126,Arthritis_inflammatory,Other_Inflammatory,a5139701000006116,Undifferentiated inflammatory monoarthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
127,Arthritis_inflammatory,Other_Inflammatory,a5139951000006119,Idiopathic pyrophosphate arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
128,Arthritis_inflammatory,Other_Inflammatory,a5141321000006112,Adult onset Still disease,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
129,Arthritis_inflammatory,Other_Inflammatory,a559621000000119,Suspected inflammatory arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
130,Arthritis_inflammatory,Other_Inflammatory,a59922014,Chronic arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
131,Arthritis_inflammatory,Other_Inflammatory,a6220621000006114,Sarcoid arthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
132,Arthritis_inflammatory,Other_Inflammatory,a6608781000006113,Caplan's syndrome,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
133,Arthritis_inflammatory,Other_Inflammatory,a6798411000006117,Juvenile idiopathic arthritis (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
134,Arthritis_inflammatory,Other_Inflammatory,a6802551000006118,Still's disease,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
135,Arthritis_inflammatory,Other_Inflammatory,a6802591000006112,Juvenile seropositive polyarthritis (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
136,Arthritis_inflammatory,Other_Inflammatory,a6802671000006110,"Juvenile idiopathic arthritis, oligoarthritis",L1:Arthritis_inflammatory_L2:Other_Inflammatory,
137,Arthritis_inflammatory,Other_Inflammatory,a6802711000006114,"Juvenile idiopathic arthritis, undifferentiated arthritis",L1:Arthritis_inflammatory_L2:Other_Inflammatory,
138,Arthritis_inflammatory,Other_Inflammatory,a6899871000006118,Undifferentiated inflammatory polyarthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
139,Arthritis_inflammatory,Other_Inflammatory,a7858451000006110,Peripheral spondyloarthritis,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
140,Arthritis_inflammatory,Other_Inflammatory,a7988841000006110,Arthritis co-occurrent and due to Crohn's disease,L1:Arthritis_inflammatory_L2:Other_Inflammatory,
141,Arthritis_inflammatory,Other_Inflammatory,a889841000006113,Systemic onset juvenile chronic arthritis (disorder),L1:Arthritis_inflammatory_L2:Other_Inflammatory,
