Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
150,Arthritis_inflammatory,Psoriatic_arthritis ,a198881000006116,Psoriatic arthritis with spine involvement (disorder),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
151,Arthritis_inflammatory,Psoriatic_arthritis ,a308730016,Psoriatic arthropathy NOS,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
152,Arthritis_inflammatory,Psoriatic_arthritis ,a359310019,Juvenile psoriatic arthritis with psoriasis (disorder),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
153,Arthritis_inflammatory,Psoriatic_arthritis ,a359321011,Psoriatic arthritis with distal interphalangeal joint involvement (disorder),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
154,Arthritis_inflammatory,Psoriatic_arthritis ,a4515241000006118,Psoriatic arthritis (disorder),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
155,Arthritis_inflammatory,Psoriatic_arthritis ,a4515251000006116,PsA (Psoriatic arthritis),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
156,Arthritis_inflammatory,Psoriatic_arthritis ,a4515261000006119,PA (Psoriatic arthritis),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
157,Arthritis_inflammatory,Psoriatic_arthritis ,a4805761000006111,Psoriatic arthritis with spine involvement,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
158,Arthritis_inflammatory,Psoriatic_arthritis ,a5123921000006111,Psoriatic nail dystrophy,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
159,Arthritis_inflammatory,Psoriatic_arthritis ,a5123931000006114,Psoriatic nail involvement,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
160,Arthritis_inflammatory,Psoriatic_arthritis ,a5123941000006116,Psoriatic nail pitting,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
161,Arthritis_inflammatory,Psoriatic_arthritis ,a5123951000006119,Psoriatic onycholysis,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
162,Arthritis_inflammatory,Psoriatic_arthritis ,a5139451000006113,Juvenile psoriatic arthritis,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
163,Arthritis_inflammatory,Psoriatic_arthritis ,a5139461000006110,Juvenile psoriatic arthritis with psoriasis,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
164,Arthritis_inflammatory,Psoriatic_arthritis ,a5139581000006118,Psoriatic arthritis with distal interphalangeal joint involvement,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
165,Arthritis_inflammatory,Psoriatic_arthritis ,a5139601000006111,Psoriatic dactylitis,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
166,Arthritis_inflammatory,Psoriatic_arthritis ,a55627011,Psoriatic arthritis,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
167,Arthritis_inflammatory,Psoriatic_arthritis ,a55628018,Psoriatic arthritis,L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
168,Arthritis_inflammatory,Psoriatic_arthritis ,a9310141000006117,Psoriatic arthritis mutilans (disorder),L1:Arthritis_inflammatory_L2:Psoriatic_arthritis ,
