Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
169,Arthritis_inflammatory,Rheumatoid_arthritis,a108529013,Rhizomelic pseudopolyarthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
170,Arthritis_inflammatory,Rheumatoid_arthritis,a116082011,Rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
171,Arthritis_inflammatory,Rheumatoid_arthritis,a12114051000006110,Rheumatoid arthritis of left shoulder (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
172,Arthritis_inflammatory,Rheumatoid_arthritis,a12114061000006112,Rheumatoid arthritis of right shoulder (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
173,Arthritis_inflammatory,Rheumatoid_arthritis,a123542016,Pauciarticular juvenile rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
174,Arthritis_inflammatory,Rheumatoid_arthritis,a125937016,Acute polyarticular juvenile rheumatoid arthritis (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
175,Arthritis_inflammatory,Rheumatoid_arthritis,a12626381000006115,Quality and Outcomes Framework rheumatoid arthritis quality indicator-related care invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
176,Arthritis_inflammatory,Rheumatoid_arthritis,a12734381000006119,Quality and Outcomes Framework rheumatoid arthritis quality indicator-related care invitation using preferred method of communication,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
177,Arthritis_inflammatory,Rheumatoid_arthritis,a13605001000006117,Rheumatoid arthritis of joint of spine,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
178,Arthritis_inflammatory,Rheumatoid_arthritis,a13677531000006119,Seronegative rheumatoid arthritis of multiple sites,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
179,Arthritis_inflammatory,Rheumatoid_arthritis,a13677571000006116,Rheumatoid nodule of left hand,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
180,Arthritis_inflammatory,Rheumatoid_arthritis,a13687681000006113,Rheumatoid arthritis of left foot,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
181,Arthritis_inflammatory,Rheumatoid_arthritis,a13687691000006111,Rheumatoid arthritis of left wrist,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
182,Arthritis_inflammatory,Rheumatoid_arthritis,a13687701000006111,Rheumatoid arthritis of right foot,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
183,Arthritis_inflammatory,Rheumatoid_arthritis,a13687711000006114,Rheumatoid arthritis of right wrist,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
184,Arthritis_inflammatory,Rheumatoid_arthritis,a13709541000006116,Rheumatoid arthritis of bilateral knees,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
185,Arthritis_inflammatory,Rheumatoid_arthritis,a13709571000006112,Rheumatoid arthritis of bilateral hands,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
186,Arthritis_inflammatory,Rheumatoid_arthritis,a14011041000006114,Deformity of bilateral hands due to rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
187,Arthritis_inflammatory,Rheumatoid_arthritis,a14177941000006118,Seronegative rheumatoid arthritis of bilateral wrists,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
188,Arthritis_inflammatory,Rheumatoid_arthritis,a149911000006117,Seropositive rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
189,Arthritis_inflammatory,Rheumatoid_arthritis,a162041000006117,Rheumatoid arthritis of distal interphalangeal joint of finger,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
190,Arthritis_inflammatory,Rheumatoid_arthritis,a162051000006115,Rheumatoid arthritis of distal radioulnar joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
191,Arthritis_inflammatory,Rheumatoid_arthritis,a162081000006111,Rheumatoid arthritis of interphalangeal joint of toe,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
192,Arthritis_inflammatory,Rheumatoid_arthritis,a162101000006115,Rheumatoid arthritis of lesser metatarsophalangeal joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
193,Arthritis_inflammatory,Rheumatoid_arthritis,a162111000006117,Rheumatoid arthritis of metacarpophalangeal joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
194,Arthritis_inflammatory,Rheumatoid_arthritis,a162131000006111,Rheumatoid arthritis of proximal interphalangeal joint of finger,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
195,Arthritis_inflammatory,Rheumatoid_arthritis,a162141000006118,Rheumatoid arthritis of sacroiliac joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
196,Arthritis_inflammatory,Rheumatoid_arthritis,a162191000006110,Rheumatoid arthritis of tibiofibular joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
197,Arthritis_inflammatory,Rheumatoid_arthritis,a162231000006117,Rheumatoid arthropathy + visceral/systemic involvement NOS,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
198,Arthritis_inflammatory,Rheumatoid_arthritis,a162341000006115,Rheumatoid nodule,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
199,Arthritis_inflammatory,Rheumatoid_arthritis,a168751000006115,Rheumatoid arthritis and other inflammatory polyarthropathy,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
200,Arthritis_inflammatory,Rheumatoid_arthritis,a168761000006118,Rheumatoid arthritis of first metatarsophalangeal joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
201,Arthritis_inflammatory,Rheumatoid_arthritis,a16911000006114,Rheumatoid arthritis with organ / system involvement,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
202,Arthritis_inflammatory,Rheumatoid_arthritis,a1778239014,Rheumatoid lung disease,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
203,Arthritis_inflammatory,Rheumatoid_arthritis,a1779323014,Rheumatoid arthritis with vasculitis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
204,Arthritis_inflammatory,Rheumatoid_arthritis,a1785221000006119,Exception reporting - rheumatoid arthritis quality indicators,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
205,Arthritis_inflammatory,Rheumatoid_arthritis,a1785231000006116,Excepted from rheumatoid arthritis quality indicators - patient unsuitable,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
206,Arthritis_inflammatory,Rheumatoid_arthritis,a1785241000006114,Excepted from rheumatoid arthritis quality indicators - informed dissent,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
207,Arthritis_inflammatory,Rheumatoid_arthritis,a1786505011,Rheumatoid arthritis with pneumoconiosis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
208,Arthritis_inflammatory,Rheumatoid_arthritis,a1875561000006119,rheumatoid arthritis monitoring invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
209,Arthritis_inflammatory,Rheumatoid_arthritis,a1875571000006114,rheumatoid arthritis monitoring telephone invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
210,Arthritis_inflammatory,Rheumatoid_arthritis,a1875581000006112,rheumatoid arthritis monitoring verbal invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
211,Arthritis_inflammatory,Rheumatoid_arthritis,a1875591000006110,rheumatoid arthritis monitoring invitation first letter,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
212,Arthritis_inflammatory,Rheumatoid_arthritis,a1875601000006119,rheumatoid arthritis monitoring invitation second letter,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
213,Arthritis_inflammatory,Rheumatoid_arthritis,a1875611000006116,rheumatoid arthritis monitoring invitation third letter,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
214,Arthritis_inflammatory,Rheumatoid_arthritis,a1932121000006116,3D study - problems with rheumatoid arthritis management,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
215,Arthritis_inflammatory,Rheumatoid_arthritis,a219021000000114,Rheumatoid arthritis monitoring (regime/therapy),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
216,Arthritis_inflammatory,Rheumatoid_arthritis,a2196791000000119,Rheumatoid arthritis annual review,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
217,Arthritis_inflammatory,Rheumatoid_arthritis,a2275501000000119,Rheumatoid arthritis monitoring invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
218,Arthritis_inflammatory,Rheumatoid_arthritis,a2275671000000111,Rheumatoid arthritis monitoring invitation first letter,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
219,Arthritis_inflammatory,Rheumatoid_arthritis,a2275711000000112,Rheumatoid arthritis monitoring invitation second letter,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
220,Arthritis_inflammatory,Rheumatoid_arthritis,a2275751000000111,Rheumatoid arthritis monitoring invitation third letter,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
221,Arthritis_inflammatory,Rheumatoid_arthritis,a2275791000000115,Rheumatoid arthritis monitoring verbal invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
222,Arthritis_inflammatory,Rheumatoid_arthritis,a2275831000000110,Rheumatoid arthritis monitoring telephone invitation,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
223,Arthritis_inflammatory,Rheumatoid_arthritis,a2321014,Chronic rheumatic myopericarditis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
224,Arthritis_inflammatory,Rheumatoid_arthritis,a2472447010,Juvenile rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
225,Arthritis_inflammatory,Rheumatoid_arthritis,a251794010,History of rheumatoid arthritis (situation),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
226,Arthritis_inflammatory,Rheumatoid_arthritis,a2530001000006117,Chronic polyarticular juvenile rheumatoid arthritis (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
227,Arthritis_inflammatory,Rheumatoid_arthritis,a2640821000000117,RAID (Rheumatoid Arthritis Impact of Disease) questionnaire score,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
228,Arthritis_inflammatory,Rheumatoid_arthritis,a2817437013,Disease activity score 28 joint in rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
229,Arthritis_inflammatory,Rheumatoid_arthritis,a2842168015,Disease activity score in rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
230,Arthritis_inflammatory,Rheumatoid_arthritis,a297544012,Polyneuropathy in rheumatoid arthritis (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
231,Arthritis_inflammatory,Rheumatoid_arthritis,a297641010,Myopathy due to rheumatoid arthritis (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
232,Arthritis_inflammatory,Rheumatoid_arthritis,a299637015,Chronic rheumatic heart disease NOS,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
233,Arthritis_inflammatory,Rheumatoid_arthritis,a300221014,Rheumatoid myocarditis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
234,Arthritis_inflammatory,Rheumatoid_arthritis,a3042571000006112,Subcutaneous rheumatoid nodule,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
235,Arthritis_inflammatory,Rheumatoid_arthritis,a309787016,Rheumatoid arthritis of cervical spine,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
236,Arthritis_inflammatory,Rheumatoid_arthritis,a309788014,Rheumatoid arthritis of spine,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
237,Arthritis_inflammatory,Rheumatoid_arthritis,a309789018,Rheumatoid arthritis of shoulder,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
238,Arthritis_inflammatory,Rheumatoid_arthritis,a309790010,Rheumatoid arthritis of sternoclavicular joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
239,Arthritis_inflammatory,Rheumatoid_arthritis,a309791014,Rheumatoid arthritis of acromioclavicular joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
240,Arthritis_inflammatory,Rheumatoid_arthritis,a309792019,Rheumatoid arthritis of elbow,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
241,Arthritis_inflammatory,Rheumatoid_arthritis,a309794018,Rheumatoid arthritis of wrist,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
242,Arthritis_inflammatory,Rheumatoid_arthritis,a309798015,Rheumatoid arthritis of hip (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
243,Arthritis_inflammatory,Rheumatoid_arthritis,a309800010,Rheumatoid arthritis of knee,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
244,Arthritis_inflammatory,Rheumatoid_arthritis,a309802019,Rheumatoid arthritis of ankle,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
245,Arthritis_inflammatory,Rheumatoid_arthritis,a309803012,Rheumatoid arthritis of subtalar joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
246,Arthritis_inflammatory,Rheumatoid_arthritis,a309804018,Rheumatoid arthritis of talonavicular joint,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
247,Arthritis_inflammatory,Rheumatoid_arthritis,a309805017,Rheumatoid arthritis of foot,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
248,Arthritis_inflammatory,Rheumatoid_arthritis,a309812014,Rheumatoid bursitis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
249,Arthritis_inflammatory,Rheumatoid_arthritis,a309816012,Flare of rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
250,Arthritis_inflammatory,Rheumatoid_arthritis,a309827014,Monarticular juvenile rheumatoid arthritis (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
251,Arthritis_inflammatory,Rheumatoid_arthritis,a309828016,Juvenile rheumatoid arthritis (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
252,Arthritis_inflammatory,Rheumatoid_arthritis,a311496011,Fibrosing alveolitis associated with rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
253,Arthritis_inflammatory,Rheumatoid_arthritis,a312518013,Seropositive rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
254,Arthritis_inflammatory,Rheumatoid_arthritis,a312520011,[X]Other specified rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
255,Arthritis_inflammatory,Rheumatoid_arthritis,a312534011,"[X]Seropositive rheumatoid arthritis, unspecified",L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
256,Arthritis_inflammatory,Rheumatoid_arthritis,a3245721000006115,Chronic rheumatic endocarditis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
257,Arthritis_inflammatory,Rheumatoid_arthritis,a3322481000006114,Rheumatoid nodule,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
258,Arthritis_inflammatory,Rheumatoid_arthritis,a3514955016,Erosion of joint surface co-occurrent and due to rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
259,Arthritis_inflammatory,Rheumatoid_arthritis,a3527061011,Deformity of left foot co-occurrent and due to rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
260,Arthritis_inflammatory,Rheumatoid_arthritis,a3527712017,Deformity of left hand co-occurrent and due to rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
261,Arthritis_inflammatory,Rheumatoid_arthritis,a3527731011,Deformity of right foot co-occurrent and due to rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
262,Arthritis_inflammatory,Rheumatoid_arthritis,a3527737010,Deformity of right hand co-occurrent and due to rheumatoid arthritis,L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
263,Arthritis_inflammatory,Rheumatoid_arthritis,a3528262012,Rheumatoid arthritis of right hand (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
264,Arthritis_inflammatory,Rheumatoid_arthritis,a3528264013,Rheumatoid arthritis of left hip (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
265,Arthritis_inflammatory,Rheumatoid_arthritis,a3528266010,Rheumatoid arthritis of right hip (disorder),L1:Arthritis_inflammatory_L2:Rheumatoid_arthritis,
