Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
318,Arthritis_inflammatory,SLE,a114251000006118,Systemic lupus erythematosus with organ/system involvement,L1:Arthritis_inflammatory_L2:SLE,
319,Arthritis_inflammatory,SLE,a158442019,Systemic lupus erythematosus encephalitis,L1:Arthritis_inflammatory_L2:SLE,
320,Arthritis_inflammatory,SLE,a1728151000006118,Systemic lupus erythematosus encephalitis,L1:Arthritis_inflammatory_L2:SLE,
321,Arthritis_inflammatory,SLE,a177301000006114,Renal tubulo-interstitial disorder in systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
322,Arthritis_inflammatory,SLE,a301721015,Lung disease with systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
323,Arthritis_inflammatory,SLE,a309405011,Drug-induced systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
324,Arthritis_inflammatory,SLE,a309408013,Systemic lupus erythematosus NOS,L1:Arthritis_inflammatory_L2:SLE,
325,Arthritis_inflammatory,SLE,a312579010,[X]Other forms of systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
326,Arthritis_inflammatory,SLE,a3400601000006117,SLE - Systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
327,Arthritis_inflammatory,SLE,a453243010,Systemic lupus erythematosus with pericarditis,L1:Arthritis_inflammatory_L2:SLE,
328,Arthritis_inflammatory,SLE,a5557071000006111,Systemic lupus activity measure,L1:Arthritis_inflammatory_L2:SLE,
329,Arthritis_inflammatory,SLE,a6681821000006113,Acute systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
330,Arthritis_inflammatory,SLE,a677561000006119,Nephrotic syndrome in systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
331,Arthritis_inflammatory,SLE,a7511501000006112,Systemic lupus erythematosus in remission,L1:Arthritis_inflammatory_L2:SLE,
332,Arthritis_inflammatory,SLE,a92208011,Systemic lupus erythematosus,L1:Arthritis_inflammatory_L2:SLE,
