Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
333,Arthritis_non-inflammatory,Osteoarthritis,a109920012,Transient arthritis,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
334,Arthritis_non-inflammatory,Osteoarthritis,a11860791000006118,Osteoarthritis of joint right ankle,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
335,Arthritis_non-inflammatory,Osteoarthritis,a11892541000006115,Osteoarthritis of joint of right shoulder region,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
336,Arthritis_non-inflammatory,Osteoarthritis,a1464018,Monoarthritis,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
337,Arthritis_non-inflammatory,Osteoarthritis,a1481870016,Osteoarthritis of cervical spine,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
338,Arthritis_non-inflammatory,Osteoarthritis,a1481872012,Osteoarthritis of thoracic spine,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
339,Arthritis_non-inflammatory,Osteoarthritis,a1785191000006114,Exception reporting: osteoarthritis quality indicators,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
340,Arthritis_non-inflammatory,Osteoarthritis,a1785201000006112,Excepted fr osteoarthritis quality indicators: pt unsuitable,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
341,Arthritis_non-inflammatory,Osteoarthritis,a1785211000006110,Excepted osteoarthritis quality indicators: informed dissent,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
342,Arthritis_non-inflammatory,Osteoarthritis,a18051000006110,Osteoarthritis of proximal interphalangeal joint,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
343,Arthritis_non-inflammatory,Osteoarthritis,a240071000006115,Osteoarthritis of patellofemoral joint,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
344,Arthritis_non-inflammatory,Osteoarthritis,a251795011,H/O: osteoarthritis,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
345,Arthritis_non-inflammatory,Osteoarthritis,a309862016,Generalized osteoarthritis,L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
346,Arthritis_non-inflammatory,Osteoarthritis,a309881012,"Localized, primary osteoarthritis",L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
347,Arthritis_non-inflammatory,Osteoarthritis,a309885015,"Localized, primary osteoarthritis of the shoulder region",L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
348,Arthritis_non-inflammatory,Osteoarthritis,a309888018,"Localized, primary osteoarthritis of elbow",L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
349,Arthritis_non-inflammatory,Osteoarthritis,a309889014,"Localized, primary osteoarthritis of the wrist",L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
350,Arthritis_non-inflammatory,Osteoarthritis,a309892013,"Localized, primary osteoarthritis of the hand",L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
351,Arthritis_non-inflammatory,Osteoarthritis,a309898012,"Localized, primary osteoarthritis of the ankle and/or foot",L1:Arthritis_non-inflammatory_L2:Osteoarthritis,
