Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
479,BMI,BMI,a100716012,Body mass index,L1:BMI_L2:BMI,
480,BMI,BMI,a253848011,Body mass index 30+ - obesity,L1:BMI_L2:BMI,
481,BMI,BMI,a253847018,Body mass index index 25-29 - overweight,L1:BMI_L2:BMI,
482,BMI,BMI,a253844013,Normal body mass index,L1:BMI_L2:BMI,
483,BMI,BMI,a453856012,Body mass index less than 20,L1:BMI_L2:BMI,
484,BMI,BMI,a253845014,Increased body mass index,L1:BMI_L2:BMI,
485,BMI,BMI,a2474325012,Body mass index 20-24 - normal,L1:BMI_L2:BMI,
486,BMI,BMI,a11923361000006119,Finding of body mass index,L1:BMI_L2:BMI,
487,BMI,BMI,a2160062010,Body mass index 40+ - severely obese,L1:BMI_L2:BMI,
488,BMI,BMI,a3484801000006114,BMI - Body mass index,L1:BMI_L2:BMI,
489,BMI,BMI,a253846010,Decreased body mass index,L1:BMI_L2:BMI,
490,BMI,BMI,a1900331000006113,Obese class III (body mass index equal to or greater than 40.0),L1:BMI_L2:BMI,
491,BMI,BMI,a923861000006112,Body mass index,L1:BMI_L2:BMI,
492,BMI,BMI,a4553741000006118,BMI 30+ - obesity,L1:BMI_L2:BMI,
493,BMI,BMI,a5998281000006119,BMI less than 20,L1:BMI_L2:BMI,
