Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
540,Cancer,Bone,a380093012,Sarcoma of bone and connective tissue,L1:Cancer_L2:Bone,B3...12
541,Cancer,Bone,a403691010,Malignant neoplasm of bone and articular cartilage,L1:Cancer_L2:Bone,B30..00
542,Cancer,Bone,a288869015,Malignant neoplasm of bones of skull and face,L1:Cancer_L2:Bone,B300.00
543,Cancer,Bone,a155228014,Malignant neoplasm of ethmoid bone,L1:Cancer_L2:Bone,B300000
544,Cancer,Bone,a155259011,Malignant neoplasm of frontal bone,L1:Cancer_L2:Bone,B300100
545,Cancer,Bone,a288872010,Malignant neoplasm of malar bone,L1:Cancer_L2:Bone,B300200
546,Cancer,Bone,a155402013,Malignant neoplasm of nasal bone,L1:Cancer_L2:Bone,B300300
547,Cancer,Bone,a155421017,Malignant neoplasm of occipital bone,L1:Cancer_L2:Bone,B300400
548,Cancer,Bone,a288875012,Malignant neoplasm of orbital bone,L1:Cancer_L2:Bone,B300500
549,Cancer,Bone,a155444019,Malignant neoplasm of parietal bone,L1:Cancer_L2:Bone,B300600
550,Cancer,Bone,a155582012,Malignant neoplasm of sphenoid bone,L1:Cancer_L2:Bone,B300700
551,Cancer,Bone,a155607014,Malignant neoplasm of temporal bone,L1:Cancer_L2:Bone,B300800
552,Cancer,Bone,a155681013,Malignant neoplasm of zygomatic bone,L1:Cancer_L2:Bone,B300900
553,Cancer,Bone,a155370019,Malignant neoplasm of maxilla,L1:Cancer_L2:Bone,B300A00
554,Cancer,Bone,a2475564017,Malignant neoplasm of turbinate,L1:Cancer_L2:Bone,B300B00
555,Cancer,Bone,a155677013,Malignant neoplasm of vomer,L1:Cancer_L2:Bone,B300C00
556,Cancer,Bone,a288883018,Malignant neoplasm of bones of skull and face NOS,L1:Cancer_L2:Bone,B300z00
557,Cancer,Bone,a155368011,Malignant neoplasm of mandible,L1:Cancer_L2:Bone,B301.00
558,Cancer,Bone,a720341000006115,Malignant neoplasm of vertebral column,L1:Cancer_L2:Bone,B302.00
559,Cancer,Bone,a288885013,Malignant neoplasm of cervical vertebra,L1:Cancer_L2:Bone,B302000
560,Cancer,Bone,a288886014,Malignant neoplasm of thoracic vertebra,L1:Cancer_L2:Bone,B302100
561,Cancer,Bone,a288887017,Malignant neoplasm of lumbar vertebra,L1:Cancer_L2:Bone,B302200
562,Cancer,Bone,a288888010,Malignant neoplasm of vertebral column NOS,L1:Cancer_L2:Bone,B302z00
563,Cancer,Bone,a288889019,"Malignant neoplasm of ribs, sternum and clavicle",L1:Cancer_L2:Bone,B303.00
564,Cancer,Bone,a155495017,Malignant neoplasm of rib,L1:Cancer_L2:Bone,B303000
565,Cancer,Bone,a155592016,Malignant neoplasm of sternum,L1:Cancer_L2:Bone,B303100
566,Cancer,Bone,a155191015,Malignant neoplasm of clavicle,L1:Cancer_L2:Bone,B303200
567,Cancer,Bone,a288894019,Malignant neoplasm of costal cartilage,L1:Cancer_L2:Bone,B303300
568,Cancer,Bone,a726631000006118,Malignant neoplasm of costo-vertebral joint,L1:Cancer_L2:Bone,B303400
569,Cancer,Bone,a288896017,Malignant neoplasm of xiphoid process,L1:Cancer_L2:Bone,B303500
570,Cancer,Bone,a288897014,"Malignant neoplasm of rib, sternum and clavicle NOS",L1:Cancer_L2:Bone,B303z00
571,Cancer,Bone,a288898016,Malignant neoplasm of scapula and long bones of upper arm,L1:Cancer_L2:Bone,B304.00
572,Cancer,Bone,a155503017,Malignant neoplasm of scapula,L1:Cancer_L2:Bone,B304000
573,Cancer,Bone,a155068017,Malignant neoplasm of acromion,L1:Cancer_L2:Bone,B304100
574,Cancer,Bone,a288901015,Malignant neoplasm of humerus,L1:Cancer_L2:Bone,B304200
575,Cancer,Bone,a155483017,Malignant neoplasm of radius,L1:Cancer_L2:Bone,B304300
576,Cancer,Bone,a155641018,Malignant neoplasm of ulna,L1:Cancer_L2:Bone,B304400
577,Cancer,Bone,a729541000006117,Malig neop of scapula and long bones of upper arm NOS,L1:Cancer_L2:Bone,B304z00
578,Cancer,Bone,a403697014,Malignant neoplasm of hand bones,L1:Cancer_L2:Bone,B305.00
579,Cancer,Bone,a380145016,Malignant neoplasm of carpal bones,L1:Cancer_L2:Bone,B305.11
580,Cancer,Bone,a380146015,Malignant neoplasm of metacarpal bones,L1:Cancer_L2:Bone,B305.12
581,Cancer,Bone,a288909018,Malignant neoplasm of carpal bone - scaphoid,L1:Cancer_L2:Bone,B305000
582,Cancer,Bone,a288910011,Malignant neoplasm of carpal bone - lunate,L1:Cancer_L2:Bone,B305100
583,Cancer,Bone,a288917014,Malignant neoplasm of first metacarpal bone,L1:Cancer_L2:Bone,B305800
584,Cancer,Bone,a288919012,Malignant neoplasm of third metacarpal bone,L1:Cancer_L2:Bone,B305A00
585,Cancer,Bone,a288921019,Malignant neoplasm of fifth metacarpal bone,L1:Cancer_L2:Bone,B305C00
586,Cancer,Bone,a288922014,Malignant neoplasm of phalanges of hand,L1:Cancer_L2:Bone,B305D00
587,Cancer,Bone,a288923016,Malignant neoplasm of hand bones NOS,L1:Cancer_L2:Bone,B305z00
588,Cancer,Bone,a288924010,"Malignant neoplasm of pelvic bones, sacrum and coccyx",L1:Cancer_L2:Bone,B306.00
589,Cancer,Bone,a155294016,Malignant neoplasm of ilium,L1:Cancer_L2:Bone,B306000
590,Cancer,Bone,a155308013,Malignant neoplasm of ischium,L1:Cancer_L2:Bone,B306100
591,Cancer,Bone,a155479017,Malignant neoplasm of pubis,L1:Cancer_L2:Bone,B306200
592,Cancer,Bone,a288928013,Malignant neoplasm of sacral vertebra,L1:Cancer_L2:Bone,B306300
593,Cancer,Bone,a288929017,Malignant neoplasm of coccygeal vertebra,L1:Cancer_L2:Bone,B306400
594,Cancer,Bone,a2549374014,Malignant sacral teratoma,L1:Cancer_L2:Bone,B306500
595,Cancer,Bone,a288930010,"Malignant neoplasm of pelvis, sacrum or coccyx NOS",L1:Cancer_L2:Bone,B306z00
596,Cancer,Bone,a288931014,Malignant neoplasm of long bones of leg,L1:Cancer_L2:Bone,B307.00
597,Cancer,Bone,a155246015,Malignant neoplasm of femur,L1:Cancer_L2:Bone,B307000
