Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
654,Cancer,Brain,a2692069010,Malignant neoplasm of brain,L1:Cancer_L2:Brain,B51..00
655,Cancer,Brain,a543111000006111,Cerebral tumour - malignant,L1:Cancer_L2:Brain,B51..11
656,Cancer,Brain,a727771000006111,Malignant neoplasm cerebrum (excluding lobes and ventricles),L1:Cancer_L2:Brain,B510.00
657,Cancer,Brain,a289337012,Malignant neoplasm of basal ganglia,L1:Cancer_L2:Brain,B510000
658,Cancer,Brain,a289338019,Malignant neoplasm of cerebral cortex,L1:Cancer_L2:Brain,B510100
659,Cancer,Brain,a289341011,Malignant neoplasm of globus pallidus,L1:Cancer_L2:Brain,B510300
660,Cancer,Brain,a289343014,Malignant neoplasm of hypothalamus,L1:Cancer_L2:Brain,B510400
661,Cancer,Brain,a289345019,Malignant neoplasm of thalamus,L1:Cancer_L2:Brain,B510500
662,Cancer,Brain,a289346018,Malignant neoplasm of cerebrum NOS,L1:Cancer_L2:Brain,B510z00
663,Cancer,Brain,a482730011,Malignant neoplasm of frontal lobe,L1:Cancer_L2:Brain,B511.00
664,Cancer,Brain,a482731010,Malignant neoplasm of temporal lobe,L1:Cancer_L2:Brain,B512.00
665,Cancer,Brain,a289347010,Malignant neoplasm of hippocampus,L1:Cancer_L2:Brain,B512000
666,Cancer,Brain,a289349013,Malignant neoplasm of temporal lobe NOS,L1:Cancer_L2:Brain,B512z00
667,Cancer,Brain,a482732015,Malignant neoplasm of parietal lobe,L1:Cancer_L2:Brain,B513.00
668,Cancer,Brain,a482733013,Malignant neoplasm of occipital lobe,L1:Cancer_L2:Brain,B514.00
669,Cancer,Brain,a482734019,Malignant neoplasm of cerebral ventricles,L1:Cancer_L2:Brain,B515.00
670,Cancer,Brain,a289352017,Malignant neoplasm of choroid plexus,L1:Cancer_L2:Brain,B515000
671,Cancer,Brain,a155175018,Malignant neoplasm of cerebellum,L1:Cancer_L2:Brain,B516.00
672,Cancer,Brain,a727511000006114,Malignant neoplasm of brain stem,L1:Cancer_L2:Brain,B517.00
673,Cancer,Brain,a289355015,Malignant neoplasm of cerebral peduncle,L1:Cancer_L2:Brain,B517000
674,Cancer,Brain,a289356019,Malignant neoplasm of medulla oblongata,L1:Cancer_L2:Brain,B517100
675,Cancer,Brain,a289357011,Malignant neoplasm of midbrain,L1:Cancer_L2:Brain,B517200
676,Cancer,Brain,a289358018,Malignant neoplasm of pons,L1:Cancer_L2:Brain,B517300
677,Cancer,Brain,a727521000006118,Malignant neoplasm of brain stem NOS,L1:Cancer_L2:Brain,B517z00
678,Cancer,Brain,a289360016,Malignant neoplasm of other parts of brain,L1:Cancer_L2:Brain,B51y.00
679,Cancer,Brain,a289361017,Malignant neoplasm of corpus callosum,L1:Cancer_L2:Brain,B51y000
680,Cancer,Brain,a289364013,Malignant neoplasm of other part of brain NOS,L1:Cancer_L2:Brain,B51yz00
681,Cancer,Brain,a289365014,Malignant neoplasm of brain NOS,L1:Cancer_L2:Brain,B51z.00
682,Cancer,Brain,a729501000006119,Malig neop of other and unspecified parts of nervous system,L1:Cancer_L2:Brain,B52..00
683,Cancer,Brain,a289409016,Malignant neoplasm of craniopharyngeal duct,L1:Cancer_L2:Brain,B542100
684,Cancer,Brain,a730041000006115,Malig neop pituitary gland or craniopharyngeal duct NOS,L1:Cancer_L2:Brain,B542z00
685,Cancer,Brain,a722961000006116,Malignant neoplasm of pineal gland,L1:Cancer_L2:Brain,B543.00
686,Cancer,Brain,a155168019,Malignant neoplasm of carotid body,L1:Cancer_L2:Brain,B544.00
687,Cancer,Brain,a289413011,Malignant neoplasm of aortic body and other paraganglia,L1:Cancer_L2:Brain,B545.00
688,Cancer,Brain,a155269017,Malignant neoplasm of glomus jugulare,L1:Cancer_L2:Brain,B545000
689,Cancer,Brain,a144849016,Neuroblastoma,L1:Cancer_L2:Brain,B546.00
690,Cancer,Brain,a291825018,[M]Ependymoma NOS,L1:Cancer_L2:Brain,BBb7.00
691,Cancer,Brain,a308091000006116,"[M]Ependymoma, anaplastic type",L1:Cancer_L2:Brain,BBb8.00
692,Cancer,Brain,a1229453012,[M]Astrocytoma NOS,L1:Cancer_L2:Brain,BBbB.00
693,Cancer,Brain,a305701000006117,"[M]Astrocytoma, anaplastic type",L1:Cancer_L2:Brain,BBbC.00
694,Cancer,Brain,a308961000006113,[M]Gemistocytic astrocytoma,L1:Cancer_L2:Brain,BBbE.00
695,Cancer,Brain,a308461000006115,[M]Fibrillary astrocytoma,L1:Cancer_L2:Brain,BBbF.00
696,Cancer,Brain,a315291000006116,[M]Pilocytic astrocytoma,L1:Cancer_L2:Brain,BBbG.00
697,Cancer,Brain,a310731000006117,[M]Juvenile astrocytoma,L1:Cancer_L2:Brain,BBbG.11
698,Cancer,Brain,a403757015,[M]Glioblastoma NOS,L1:Cancer_L2:Brain,BBbL.00
699,Cancer,Brain,a309231000006115,[M]Glioblastoma multiforme,L1:Cancer_L2:Brain,BBbL.11
