Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
828,Cancer,Connective and soft tissue,a103180017,Mesothelioma,L1:Cancer_L2:Connective and soft tissue,B226.00
829,Cancer,Connective and soft tissue,a705211000006111,Mesothelioma of pleura,L1:Cancer_L2:Connective and soft tissue,B232.00
830,Cancer,Connective and soft tissue,a288840012,Malignant neoplasm of pleura NOS,L1:Cancer_L2:Connective and soft tissue,B23z.00
831,Cancer,Connective and soft tissue,a288960017,Malignant neoplasm of connective and other soft tissue,L1:Cancer_L2:Connective and soft tissue,B31..00
832,Cancer,Connective and soft tissue,a729361000006113,"Malig neop of connective and soft tissue head, face and neck",L1:Cancer_L2:Connective and soft tissue,B310.00
833,Cancer,Connective and soft tissue,a1228565015,Malignant neoplasm of soft tissue of head,L1:Cancer_L2:Connective and soft tissue,B310000
834,Cancer,Connective and soft tissue,a1228566019,Malignant neoplasm of soft tissue of face,L1:Cancer_L2:Connective and soft tissue,B310100
835,Cancer,Connective and soft tissue,a1228567011,Malignant neoplasm of soft tissue of neck,L1:Cancer_L2:Connective and soft tissue,B310200
836,Cancer,Connective and soft tissue,a288962013,Malignant neoplasm of cartilage of ear,L1:Cancer_L2:Connective and soft tissue,B310300
837,Cancer,Connective and soft tissue,a288963015,Malignant neoplasm of tarsus of eyelid,L1:Cancer_L2:Connective and soft tissue,B310400
838,Cancer,Connective and soft tissue,a288964014,Malignant neoplasm soft tissues of cervical spine,L1:Cancer_L2:Connective and soft tissue,B310500
839,Cancer,Connective and soft tissue,a730031000006113,"Malig neop connective and soft tissue head, face, neck NOS",L1:Cancer_L2:Connective and soft tissue,B310z00
840,Cancer,Connective and soft tissue,a729291000006111,Malig neop connective and soft tissue upper limb/shoulder,L1:Cancer_L2:Connective and soft tissue,B311.00
841,Cancer,Connective and soft tissue,a288967019,Malignant neoplasm of connective and soft tissue of shoulder,L1:Cancer_L2:Connective and soft tissue,B311000
842,Cancer,Connective and soft tissue,a288968012,"Malignant neoplasm of connective and soft tissue, upper arm",L1:Cancer_L2:Connective and soft tissue,B311100
843,Cancer,Connective and soft tissue,a288969016,Malignant neoplasm of connective and soft tissue of fore-arm,L1:Cancer_L2:Connective and soft tissue,B311200
844,Cancer,Connective and soft tissue,a288970015,Malignant neoplasm of connective and soft tissue of hand,L1:Cancer_L2:Connective and soft tissue,B311300
845,Cancer,Connective and soft tissue,a288971016,Malignant neoplasm of connective and soft tissue of finger,L1:Cancer_L2:Connective and soft tissue,B311400
846,Cancer,Connective and soft tissue,a288972011,Malignant neoplasm of connective and soft tissue of thumb,L1:Cancer_L2:Connective and soft tissue,B311500
847,Cancer,Connective and soft tissue,a729301000006112,Malig neop connective soft tissue upper limb/shoulder NOS,L1:Cancer_L2:Connective and soft tissue,B311z00
