Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
1024,Cancer,Head and neck,a380095017,"Carcinoma of lip, oral cavity and pharynx",L1:Cancer_L2:Head and neck,B0...11
1025,Cancer,Head and neck,a724891000006113,Malignant neoplasm of lip,L1:Cancer_L2:Head and neck,B00..00
1026,Cancer,Head and neck,a403771011,Carcinoma of lip,L1:Cancer_L2:Head and neck,B00..11
1027,Cancer,Head and neck,a1228504019,"Malignant neoplasm of upper lip, vermilion border",L1:Cancer_L2:Head and neck,B000.00
1028,Cancer,Head and neck,a720801000006112,"Malignant neoplasm of upper lip, external",L1:Cancer_L2:Head and neck,B000000
1029,Cancer,Head and neck,a288350019,"Malignant neoplasm of upper lip, lipstick area",L1:Cancer_L2:Head and neck,B000100
1030,Cancer,Head and neck,a288351015,"Malignant neoplasm of upper lip, vermilion border NOS",L1:Cancer_L2:Head and neck,B000z00
1031,Cancer,Head and neck,a724421000006114,"Malignant neoplasm of lower lip, vermilion border",L1:Cancer_L2:Head and neck,B001.00
1032,Cancer,Head and neck,a288354011,"Malignant neoplasm of lower lip, external",L1:Cancer_L2:Head and neck,B001000
1033,Cancer,Head and neck,a1228506017,"Malignant neoplasm of lower lip, lipstick area",L1:Cancer_L2:Head and neck,B001100
1034,Cancer,Head and neck,a288355012,"Malignant neoplasm of lower lip, vermilion border NOS",L1:Cancer_L2:Head and neck,B001z00
1035,Cancer,Head and neck,a288363013,"Malignant neoplasm of upper lip, inner aspect",L1:Cancer_L2:Head and neck,B002.00
1036,Cancer,Head and neck,a288372017,"Malignant neoplasm of upper lip, frenulum",L1:Cancer_L2:Head and neck,B002100
1037,Cancer,Head and neck,a288364019,"Malignant neoplasm of upper lip, mucosa",L1:Cancer_L2:Head and neck,B002200
1038,Cancer,Head and neck,a288362015,"Malignant neoplasm of upper lip, oral aspect",L1:Cancer_L2:Head and neck,B002300
1039,Cancer,Head and neck,a288377011,"Malignant neoplasm of upper lip, inner aspect NOS",L1:Cancer_L2:Head and neck,B002z00
1040,Cancer,Head and neck,a406399011,"Malignant neoplasm of lower lip, inner aspect",L1:Cancer_L2:Head and neck,B003.00
1041,Cancer,Head and neck,a288380012,"Malignant neoplasm of lower lip, buccal aspect",L1:Cancer_L2:Head and neck,B003000
1042,Cancer,Head and neck,a288382016,"Malignant neoplasm of lower lip, frenulum",L1:Cancer_L2:Head and neck,B003100
1043,Cancer,Head and neck,a724401000006116,"Malignant neoplasm of lower lip, mucosa",L1:Cancer_L2:Head and neck,B003200
1044,Cancer,Head and neck,a724411000006118,"Malignant neoplasm of lower lip, oral aspect",L1:Cancer_L2:Head and neck,B003300
1045,Cancer,Head and neck,a288387010,"Malignant neoplasm of lower lip, inner aspect NOS",L1:Cancer_L2:Head and neck,B003z00
1046,Cancer,Head and neck,a288388017,"Malignant neoplasm of lip unspecified, inner aspect",L1:Cancer_L2:Head and neck,B004.00
1047,Cancer,Head and neck,a724901000006112,"Malignant neoplasm of lip unspecified, buccal aspect",L1:Cancer_L2:Head and neck,B004000
1048,Cancer,Head and neck,a288391017,"Malignant neoplasm of lip unspecified, mucosa",L1:Cancer_L2:Head and neck,B004200
1049,Cancer,Head and neck,a288393019,"Malignant neoplasm of lip, oral aspect",L1:Cancer_L2:Head and neck,B004300
1050,Cancer,Head and neck,a726351000006116,Malignant neoplasm of commissure of lip,L1:Cancer_L2:Head and neck,B005.00
1051,Cancer,Head and neck,a288404018,Malignant neoplasm of overlapping lesion of lip,L1:Cancer_L2:Head and neck,B006.00
1052,Cancer,Head and neck,a453301018,"Malignant neoplasm of lip, unspecified",L1:Cancer_L2:Head and neck,B007.00
1053,Cancer,Head and neck,a288408015,"Malignant neoplasm of lip, unspecified, external",L1:Cancer_L2:Head and neck,B00z000
1054,Cancer,Head and neck,a288409011,"Malignant neoplasm of lip, unspecified, lipstick area",L1:Cancer_L2:Head and neck,B00z100
1055,Cancer,Head and neck,a288410018,"Malignant neoplasm of lip, vermilion border NOS",L1:Cancer_L2:Head and neck,B00zz00
1056,Cancer,Head and neck,a721311000006114,Malignant neoplasm of tongue,L1:Cancer_L2:Head and neck,B01..00
1057,Cancer,Head and neck,a727381000006110,Malignant neoplasm of base of tongue,L1:Cancer_L2:Head and neck,B010.00
1058,Cancer,Head and neck,a1228509012,Malignant neoplasm of posterior third of tongue,L1:Cancer_L2:Head and neck,B010.11
1059,Cancer,Head and neck,a288411019,Malignant neoplasm of base of tongue dorsal surface,L1:Cancer_L2:Head and neck,B010000
1060,Cancer,Head and neck,a288412014,Malignant neoplasm of fixed part of tongue NOS,L1:Cancer_L2:Head and neck,B010z00
1061,Cancer,Head and neck,a155211011,Malignant neoplasm of dorsal surface of tongue,L1:Cancer_L2:Head and neck,B011.00
1062,Cancer,Head and neck,a288417015,Malignant neoplasm of midline of tongue,L1:Cancer_L2:Head and neck,B011100
1063,Cancer,Head and neck,a288418013,Malignant neoplasm of dorsum of tongue NOS,L1:Cancer_L2:Head and neck,B011z00
1064,Cancer,Head and neck,a288419017,"Malignant neoplasm of tongue, tip and lateral border",L1:Cancer_L2:Head and neck,B012.00
1065,Cancer,Head and neck,a155669014,Malignant neoplasm of ventral surface of tongue,L1:Cancer_L2:Head and neck,B013.00
1066,Cancer,Head and neck,a288423013,Malignant neoplasm of anterior 2/3 of tongue ventral surface,L1:Cancer_L2:Head and neck,B013000
1067,Cancer,Head and neck,a288427014,Malignant neoplasm of frenulum linguae,L1:Cancer_L2:Head and neck,B013100
1068,Cancer,Head and neck,a288429012,Malignant neoplasm of ventral tongue surface NOS,L1:Cancer_L2:Head and neck,B013z00
1069,Cancer,Head and neck,a288430019,Malignant neoplasm of anterior 2/3 of tongue unspecified,L1:Cancer_L2:Head and neck,B014.00
1070,Cancer,Head and neck,a288433017,"Malignant neoplasm of tongue, junctional zone",L1:Cancer_L2:Head and neck,B015.00
1071,Cancer,Head and neck,a724881000006110,Malignant neoplasm of lingual tonsil,L1:Cancer_L2:Head and neck,B016.00
1072,Cancer,Head and neck,a1219531013,Malignant overlapping lesion of tongue,L1:Cancer_L2:Head and neck,B017.00
1073,Cancer,Head and neck,a288434011,Malignant neoplasm of other sites of tongue,L1:Cancer_L2:Head and neck,B01y.00
1074,Cancer,Head and neck,a288435012,Malignant neoplasm of tongue NOS,L1:Cancer_L2:Head and neck,B01z.00
1075,Cancer,Head and neck,a1228510019,Malignant neoplasm of major salivary glands,L1:Cancer_L2:Head and neck,B02..00
1076,Cancer,Head and neck,a723501000006117,Malignant neoplasm of parotid gland,L1:Cancer_L2:Head and neck,B020.00
1077,Cancer,Head and neck,a1228513017,Malignant neoplasm of submandibular gland,L1:Cancer_L2:Head and neck,B021.00
1078,Cancer,Head and neck,a721881000006113,Malignant neoplasm of sublingual gland,L1:Cancer_L2:Head and neck,B022.00
1079,Cancer,Head and neck,a288437016,Malignant neoplasm of other major salivary glands,L1:Cancer_L2:Head and neck,B02y.00
1080,Cancer,Head and neck,a288438014,Malignant neoplasm of major salivary gland NOS,L1:Cancer_L2:Head and neck,B02z.00
1081,Cancer,Head and neck,a725861000006118,Malignant neoplasm of gum,L1:Cancer_L2:Head and neck,B03..00
1082,Cancer,Head and neck,a720761000006115,Malignant neoplasm of upper gum,L1:Cancer_L2:Head and neck,B030.00
1083,Cancer,Head and neck,a724311000006111,Malignant neoplasm of lower gum,L1:Cancer_L2:Head and neck,B031.00
1084,Cancer,Head and neck,a288439018,Malignant neoplasm of other sites of gum,L1:Cancer_L2:Head and neck,B03y.00
1085,Cancer,Head and neck,a288440016,Malignant neoplasm of gum NOS,L1:Cancer_L2:Head and neck,B03z.00
1086,Cancer,Head and neck,a725611000006117,Malignant neoplasm of floor of mouth,L1:Cancer_L2:Head and neck,B04..00
1087,Cancer,Head and neck,a288443019,Malignant neoplasm of anterior portion of floor of mouth,L1:Cancer_L2:Head and neck,B040.00
1088,Cancer,Head and neck,a288444013,Malignant neoplasm of lateral portion of floor of mouth,L1:Cancer_L2:Head and neck,B041.00
1089,Cancer,Head and neck,a1219533011,"Malignant neoplasm, overlapping lesion of floor of mouth",L1:Cancer_L2:Head and neck,B042.00
1090,Cancer,Head and neck,a288448011,Malignant neoplasm of other sites of floor of mouth,L1:Cancer_L2:Head and neck,B04y.00
