Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
1262,Cancer,Leukaemia,a745001000006114,Leukaemic reticuloendotheliosis,L1:Cancer_L2:Leukaemia,B624.00
1263,Cancer,Leukaemia,a745011000006112,Leukaemic reticuloendotheliosis,L1:Cancer_L2:Leukaemia,B624.11
1264,Cancer,Leukaemia,a1591211000006111,Hairy cell leukaemia,L1:Cancer_L2:Leukaemia,B624.12
1265,Cancer,Leukaemia,a289773015,Leukaemic reticuloendotheliosis NOS,L1:Cancer_L2:Leukaemia,B624z00
1266,Cancer,Leukaemia,a201743012,Plasma cell leukaemia,L1:Cancer_L2:Leukaemia,B631.00
1267,Cancer,Leukaemia,a289876019,Lymphoid leukaemia,L1:Cancer_L2:Leukaemia,B64..00
1268,Cancer,Leukaemia,a289875015,Lymphatic leukaemia,L1:Cancer_L2:Leukaemia,B64..11
1269,Cancer,Leukaemia,a509741017,Acute lymphoid leukaemia,L1:Cancer_L2:Leukaemia,B640.00
1270,Cancer,Leukaemia,a414160018,B-cell acute lymphoblastic leukaemia,L1:Cancer_L2:Leukaemia,B640000
1271,Cancer,Leukaemia,a201652012,Chronic lymphoid leukaemia,L1:Cancer_L2:Leukaemia,B641.00
1272,Cancer,Leukaemia,a414008012,B-cell chronic lymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B641000
1273,Cancer,Leukaemia,a2168681000000113,Chronic lymphocytic leukaemia of B-cell type,L1:Cancer_L2:Leukaemia,B641011
1274,Cancer,Leukaemia,a2233381000000115,Clinical stage A chronic lymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B641100
1275,Cancer,Leukaemia,a2233421000000112,Clinical stage B chronic lymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B641200
1276,Cancer,Leukaemia,a2233461000000116,Clinical stage C chronic lymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B641300
1277,Cancer,Leukaemia,a289880012,Subacute lymphoid leukaemia,L1:Cancer_L2:Leukaemia,B642.00
1278,Cancer,Leukaemia,a289881011,Other lymphoid leukaemia,L1:Cancer_L2:Leukaemia,B64y.00
1279,Cancer,Leukaemia,a202801000006110,Prolymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B64y100
1280,Cancer,Leukaemia,a289885019,Adult T-cell leukaemia,L1:Cancer_L2:Leukaemia,B64y200
1281,Cancer,Leukaemia,a414248013,B-cell prolymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B64y300
1282,Cancer,Leukaemia,a414151014,T-cell prolymphocytic leukaemia,L1:Cancer_L2:Leukaemia,B64y400
1283,Cancer,Leukaemia,a1815601000006111,Adult T-cell lymphoma/leukaemia (HTLV-1-associated),L1:Cancer_L2:Leukaemia,B64y500
1284,Cancer,Leukaemia,a289888017,Other lymphoid leukaemia NOS,L1:Cancer_L2:Leukaemia,B64yz00
1285,Cancer,Leukaemia,a289889013,Lymphoid leukaemia NOS,L1:Cancer_L2:Leukaemia,B64z.00
1286,Cancer,Leukaemia,a289892012,Myeloid leukaemia,L1:Cancer_L2:Leukaemia,B65..00
1287,Cancer,Leukaemia,a201612010,Acute myeloid leukaemia,L1:Cancer_L2:Leukaemia,B650.00
1288,Cancer,Leukaemia,a201656010,Chronic myeloid leukaemia,L1:Cancer_L2:Leukaemia,B651.00
1289,Cancer,Leukaemia,a554641000006115,Chronic granulocytic leukaemia,L1:Cancer_L2:Leukaemia,B651.11
1290,Cancer,Leukaemia,a1815631000006115,"Chronic myeloid leukaemia, BCR/ABL positive",L1:Cancer_L2:Leukaemia,B651100
1291,Cancer,Leukaemia,a474604011,"Atypical chronic myeloid leukaemia, BCR/ABL negative",L1:Cancer_L2:Leukaemia,B651300
1292,Cancer,Leukaemia,a289900013,Chronic myeloid leukaemia NOS,L1:Cancer_L2:Leukaemia,B651z00
1293,Cancer,Leukaemia,a289901012,Subacute myeloid leukaemia,L1:Cancer_L2:Leukaemia,B652.00
1294,Cancer,Leukaemia,a289903010,Chloroma,L1:Cancer_L2:Leukaemia,B653000
1295,Cancer,Leukaemia,a289904016,Granulocytic sarcoma,L1:Cancer_L2:Leukaemia,B653100
1296,Cancer,Leukaemia,a1815651000006110,Acute myeloblastic leukaemia,L1:Cancer_L2:Leukaemia,B654.00
1297,Cancer,Leukaemia,a459741000006115,Acute promyelocytic leukaemia,L1:Cancer_L2:Leukaemia,B65y100
1298,Cancer,Leukaemia,a289911017,Other myeloid leukaemia NOS,L1:Cancer_L2:Leukaemia,B65yz00
1299,Cancer,Leukaemia,a289912012,Myeloid leukaemia NOS,L1:Cancer_L2:Leukaemia,B65z.00
1300,Cancer,Leukaemia,a289917018,Monocytic leukaemia,L1:Cancer_L2:Leukaemia,B66..00
1301,Cancer,Leukaemia,a289921013,Histiocytic leukaemia,L1:Cancer_L2:Leukaemia,B66..11
1302,Cancer,Leukaemia,a289919015,Monoblastic leukaemia,L1:Cancer_L2:Leukaemia,B66..12
1303,Cancer,Leukaemia,a2534415018,Acute monocytic leukaemia,L1:Cancer_L2:Leukaemia,B660.00
1304,Cancer,Leukaemia,a289923011,Chronic monocytic leukaemia,L1:Cancer_L2:Leukaemia,B661.00
1305,Cancer,Leukaemia,a289924017,Subacute monocytic leukaemia,L1:Cancer_L2:Leukaemia,B662.00
1306,Cancer,Leukaemia,a414220013,Acute monoblastic leukaemia,L1:Cancer_L2:Leukaemia,B663.00
1307,Cancer,Leukaemia,a289926015,Other monocytic leukaemia,L1:Cancer_L2:Leukaemia,B66y.00
1308,Cancer,Leukaemia,a289930017,Other monocytic leukaemia NOS,L1:Cancer_L2:Leukaemia,B66yz00
1309,Cancer,Leukaemia,a289933015,Monocytic leukaemia NOS,L1:Cancer_L2:Leukaemia,B66z.00
1310,Cancer,Leukaemia,a289934014,Other specified leukaemia,L1:Cancer_L2:Leukaemia,B67..00
1311,Cancer,Leukaemia,a456641000006119,Acute erythraemia and erythroleukaemia,L1:Cancer_L2:Leukaemia,B670.00
1312,Cancer,Leukaemia,a201658011,Di Guglielmo's disease,L1:Cancer_L2:Leukaemia,B670.11
1313,Cancer,Leukaemia,a289949018,Megakaryocytic leukaemia,L1:Cancer_L2:Leukaemia,B672.00
1314,Cancer,Leukaemia,a289948014,Thrombocytic leukaemia,L1:Cancer_L2:Leukaemia,B672.11
1315,Cancer,Leukaemia,a716871000006112,Mast cell leukaemia,L1:Cancer_L2:Leukaemia,B673.00
1316,Cancer,Leukaemia,a133678011,Acute panmyelosis,L1:Cancer_L2:Leukaemia,B674.00
1317,Cancer,Leukaemia,a344846014,Acute myelofibrosis,L1:Cancer_L2:Leukaemia,B675.00
1318,Cancer,Leukaemia,a476225016,Acute erythroid leukaemia,L1:Cancer_L2:Leukaemia,B676.00
1319,Cancer,Leukaemia,a289955011,Other and unspecified leukaemia,L1:Cancer_L2:Leukaemia,B67y.00
