Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
1449,Cancer,Lymphoma,a289594015,Lymphosarcoma of intrathoracic lymph nodes,L1:Cancer_L2:Lymphoma,B601200
1450,Cancer,Lymphoma,a289595019,Lymphosarcoma of intra-abdominal lymph nodes,L1:Cancer_L2:Lymphoma,B601300
1451,Cancer,Lymphoma,a289599013,Lymphosarcoma of spleen,L1:Cancer_L2:Lymphoma,B601700
1452,Cancer,Lymphoma,a289601010,Lymphosarcoma NOS,L1:Cancer_L2:Lymphoma,B601z00
1453,Cancer,Lymphoma,a2663190016,Burkitt's lymphoma,L1:Cancer_L2:Lymphoma,B602.00
1454,Cancer,Lymphoma,a289603013,"Burkitt's lymphoma of lymph nodes of head, face and neck",L1:Cancer_L2:Lymphoma,B602100
1455,Cancer,Lymphoma,a289604019,Burkitt's lymphoma of intrathoracic lymph nodes,L1:Cancer_L2:Lymphoma,B602200
1456,Cancer,Lymphoma,a289605018,Burkitt's lymphoma of intra-abdominal lymph nodes,L1:Cancer_L2:Lymphoma,B602300
1457,Cancer,Lymphoma,a527801000006112,Burkitt's lymphoma of lymph nodes of inguinal region and leg,L1:Cancer_L2:Lymphoma,B602500
1458,Cancer,Lymphoma,a289612010,Burkitt's lymphoma NOS,L1:Cancer_L2:Lymphoma,B602z00
1459,Cancer,Lymphoma,a2663473018,Hodgkin's disease,L1:Cancer_L2:Lymphoma,B61..00
1460,Cancer,Lymphoma,a1815031000006110,Hodgkin lymphoma,L1:Cancer_L2:Lymphoma,B61..11
1461,Cancer,Lymphoma,a826681000006115,Hodgkin's paragranuloma,L1:Cancer_L2:Lymphoma,B610.00
1462,Cancer,Lymphoma,a826751000006118,"Hodgkin's paragranuloma of lymph nodes of head, face, neck",L1:Cancer_L2:Lymphoma,B610100
1463,Cancer,Lymphoma,a289621011,Hodgkin's paragranuloma of intra-abdominal lymph nodes,L1:Cancer_L2:Lymphoma,B610300
1464,Cancer,Lymphoma,a2663476014,Hodgkin's granuloma,L1:Cancer_L2:Lymphoma,B611.00
1465,Cancer,Lymphoma,a289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck",L1:Cancer_L2:Lymphoma,B611100
1466,Cancer,Lymphoma,a2663376010,Hodgkin's sarcoma,L1:Cancer_L2:Lymphoma,B612.00
1467,Cancer,Lymphoma,a289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,L1:Cancer_L2:Lymphoma,B612400
1468,Cancer,Lymphoma,a1220414014,"Hodgkin's disease, nodular sclerosis",L1:Cancer_L2:Lymphoma,B614.00
1469,Cancer,Lymphoma,a289660013,"Hodgkin's disease, nodular sclerosis of unspecified site",L1:Cancer_L2:Lymphoma,B614000
1470,Cancer,Lymphoma,a826611000006110,"Hodgkin's nodular sclerosis of head, face and neck",L1:Cancer_L2:Lymphoma,B614100
1471,Cancer,Lymphoma,a826651000006111,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,L1:Cancer_L2:Lymphoma,B614200
1472,Cancer,Lymphoma,a826631000006116,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes,L1:Cancer_L2:Lymphoma,B614300
1473,Cancer,Lymphoma,a826661000006113,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm,L1:Cancer_L2:Lymphoma,B614400
1474,Cancer,Lymphoma,a154811011,"Hodgkin's disease, nodular sclerosis of spleen",L1:Cancer_L2:Lymphoma,B614700
1475,Cancer,Lymphoma,a826671000006118,Hodgkin's nodular sclerosis of lymph nodes of multiple sites,L1:Cancer_L2:Lymphoma,B614800
1476,Cancer,Lymphoma,a289669014,"Hodgkin's disease, nodular sclerosis NOS",L1:Cancer_L2:Lymphoma,B614z00
1477,Cancer,Lymphoma,a2663461018,"Hodgkin's disease, mixed cellularity",L1:Cancer_L2:Lymphoma,B615.00
1478,Cancer,Lymphoma,a289670010,"Hodgkin's disease, mixed cellularity of unspecified site",L1:Cancer_L2:Lymphoma,B615000
1479,Cancer,Lymphoma,a826571000006117,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",L1:Cancer_L2:Lymphoma,B615100
1480,Cancer,Lymphoma,a826561000006112,Hodgkin's mixed cellularity of intrathoracic lymph nodes,L1:Cancer_L2:Lymphoma,B615200
