Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
1754,Cancer,Melanoma of skin,a155060012,Malignant melanoma of skin,L1:Cancer_L2:Melanoma of skin,B32..00
1755,Cancer,Melanoma of skin,a289009011,Malignant melanoma of lip,L1:Cancer_L2:Melanoma of skin,B320.00
1756,Cancer,Melanoma of skin,a728201000006110,Malignant melanoma of eyelid including canthus,L1:Cancer_L2:Melanoma of skin,B321.00
1757,Cancer,Melanoma of skin,a289011019,Malignant melanoma of ear and external auricular canal,L1:Cancer_L2:Melanoma of skin,B322.00
1758,Cancer,Melanoma of skin,a289012014,Malignant melanoma of auricle (ear),L1:Cancer_L2:Melanoma of skin,B322000
1759,Cancer,Melanoma of skin,a289013016,Malignant melanoma of external auditory meatus,L1:Cancer_L2:Melanoma of skin,B322100
1760,Cancer,Melanoma of skin,a289014010,Malignant melanoma of ear and external auricular canal NOS,L1:Cancer_L2:Melanoma of skin,B322z00
1761,Cancer,Melanoma of skin,a289015011,Malignant melanoma of other and unspecified parts of face,L1:Cancer_L2:Melanoma of skin,B323.00
1762,Cancer,Melanoma of skin,a1235785014,Malignant melanoma of external surface of cheek,L1:Cancer_L2:Melanoma of skin,B323000
1763,Cancer,Melanoma of skin,a289017015,Malignant melanoma of chin,L1:Cancer_L2:Melanoma of skin,B323100
1764,Cancer,Melanoma of skin,a1235786010,Malignant melanoma of eyebrow,L1:Cancer_L2:Melanoma of skin,B323200
1765,Cancer,Melanoma of skin,a289019017,Malignant melanoma of forehead,L1:Cancer_L2:Melanoma of skin,B323300
1766,Cancer,Melanoma of skin,a1235798017,Malignant melanoma of external surface of nose,L1:Cancer_L2:Melanoma of skin,B323400
1767,Cancer,Melanoma of skin,a289021010,Malignant melanoma of temple,L1:Cancer_L2:Melanoma of skin,B323500
1768,Cancer,Melanoma of skin,a289022015,Malignant melanoma of face NOS,L1:Cancer_L2:Melanoma of skin,B323z00
1769,Cancer,Melanoma of skin,a289023013,Malignant melanoma of scalp and neck,L1:Cancer_L2:Melanoma of skin,B324.00
1770,Cancer,Melanoma of skin,a289024019,Malignant melanoma of scalp,L1:Cancer_L2:Melanoma of skin,B324000
1771,Cancer,Melanoma of skin,a289025018,Malignant melanoma of neck,L1:Cancer_L2:Melanoma of skin,B324100
1772,Cancer,Melanoma of skin,a289026017,Malignant melanoma of scalp and neck NOS,L1:Cancer_L2:Melanoma of skin,B324z00
1773,Cancer,Melanoma of skin,a289027014,Malignant melanoma of trunk (excluding scrotum),L1:Cancer_L2:Melanoma of skin,B325.00
1774,Cancer,Melanoma of skin,a289028016,Malignant melanoma of axilla,L1:Cancer_L2:Melanoma of skin,B325000
1775,Cancer,Melanoma of skin,a289029012,Malignant melanoma of breast,L1:Cancer_L2:Melanoma of skin,B325100
1776,Cancer,Melanoma of skin,a289030019,Malignant melanoma of buttock,L1:Cancer_L2:Melanoma of skin,B325200
1777,Cancer,Melanoma of skin,a289031015,Malignant melanoma of groin,L1:Cancer_L2:Melanoma of skin,B325300
1778,Cancer,Melanoma of skin,a154231019,Malignant melanoma of perianal skin,L1:Cancer_L2:Melanoma of skin,B325400
1779,Cancer,Melanoma of skin,a289033017,Malignant melanoma of perineum,L1:Cancer_L2:Melanoma of skin,B325500
1780,Cancer,Melanoma of skin,a289034011,Malignant melanoma of umbilicus,L1:Cancer_L2:Melanoma of skin,B325600
1781,Cancer,Melanoma of skin,a454085011,Malignant melanoma of back,L1:Cancer_L2:Melanoma of skin,B325700
1782,Cancer,Melanoma of skin,a457109011,Malignant melanoma of chest wall,L1:Cancer_L2:Melanoma of skin,B325800
1783,Cancer,Melanoma of skin,a289037016,"Malignant melanoma of trunk, excluding scrotum, NOS",L1:Cancer_L2:Melanoma of skin,B325z00
