Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
1872,Cancer,Other,a288739019,Malignant neoplasm of retroperitoneum and peritoneum,L1:Cancer_L2:Other,B18..00
1873,Cancer,Other,a1228549016,Malignant neoplasm of retroperitoneum,L1:Cancer_L2:Other,B180.00
1874,Cancer,Other,a288741018,Malignant neoplasm of perinephric tissue,L1:Cancer_L2:Other,B180100
1875,Cancer,Other,a288742013,Malignant neoplasm of retrocaecal tissue,L1:Cancer_L2:Other,B180200
1876,Cancer,Other,a288744014,Malignant neoplasm of retroperitoneum NOS,L1:Cancer_L2:Other,B180z00
1877,Cancer,Other,a174532014,Mesothelioma of peritoneum,L1:Cancer_L2:Other,B181.00
1878,Cancer,Other,a288747019,Malignant neoplasm of specified parts of peritoneum,L1:Cancer_L2:Other,B18y.00
1879,Cancer,Other,a288749016,Malignant neoplasm of mesocaecum,L1:Cancer_L2:Other,B18y100
1880,Cancer,Other,a288751017,Malignant neoplasm of mesorectum,L1:Cancer_L2:Other,B18y200
1881,Cancer,Other,a482641017,Malignant neoplasm of omentum,L1:Cancer_L2:Other,B18y300
1882,Cancer,Other,a155446017,Malignant neoplasm of parietal peritoneum,L1:Cancer_L2:Other,B18y400
1883,Cancer,Other,a155452016,Malignant neoplasm of pelvic peritoneum,L1:Cancer_L2:Other,B18y500
1884,Cancer,Other,a288754013,Malignant neoplasm of the pouch of Douglas,L1:Cancer_L2:Other,B18y600
1885,Cancer,Other,a482537012,Malignant neoplasm of mesentery,L1:Cancer_L2:Other,B18y700
1886,Cancer,Other,a288756010,Malignant neoplasm of specified parts of peritoneum NOS,L1:Cancer_L2:Other,B18yz00
1887,Cancer,Other,a288757018,Malignant neoplasm of retroperitoneum and peritoneum NOS,L1:Cancer_L2:Other,B18z.00
1888,Cancer,Other,a288760013,Malignant neoplasm of spleen NEC,L1:Cancer_L2:Other,B1z1.00
1889,Cancer,Other,a288761012,Angiosarcoma of spleen,L1:Cancer_L2:Other,B1z1000
