Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
2084,Cancer,Secondary cancer,a459732012,Pain from metastases,L1:Cancer_L2:Secondary cancer,1D18.00
2085,Cancer,Secondary cancer,a151331000006114,Secondary malignant neoplasm of liver,L1:Cancer_L2:Secondary cancer,B153.00
2086,Cancer,Secondary cancer,a406333010,Secondary and unspecified malignant neoplasm of lymph nodes,L1:Cancer_L2:Secondary cancer,B56..00
2087,Cancer,Secondary cancer,a732441000006113,Lymph node metastases,L1:Cancer_L2:Secondary cancer,B56..11
2088,Cancer,Secondary cancer,a157761000006113,Secondary and unspec malig neop lymph nodes head/face/neck,L1:Cancer_L2:Secondary cancer,B560.00
2089,Cancer,Secondary cancer,a157821000006114,Secondary and unspec malig neop of superficial parotid LN,L1:Cancer_L2:Secondary cancer,B560000
2090,Cancer,Secondary cancer,a157961000006111,Secondary and unspec malignant neoplasm mastoid lymph nodes,L1:Cancer_L2:Secondary cancer,B560100
2091,Cancer,Secondary cancer,a157921000006117,Secondary and unspec malig neop superficial cervical LN,L1:Cancer_L2:Secondary cancer,B560200
2092,Cancer,Secondary cancer,a157971000006116,Secondary and unspec malignant neoplasm occipital lymph node,L1:Cancer_L2:Secondary cancer,B560300
2093,Cancer,Secondary cancer,a157591000006113,Secondary and unspec malig neop deep parotid lymph nodes,L1:Cancer_L2:Secondary cancer,B560400
2094,Cancer,Secondary cancer,a157891000006111,Secondary and unspec malig neop submandibular lymph nodes,L1:Cancer_L2:Secondary cancer,B560500
2095,Cancer,Secondary cancer,a157801000006116,Secondary and unspec malig neop of facial lymph nodes,L1:Cancer_L2:Secondary cancer,B560600
2096,Cancer,Secondary cancer,a157901000006110,Secondary and unspec malig neop submental lymph nodes,L1:Cancer_L2:Secondary cancer,B560700
2097,Cancer,Secondary cancer,a157491000006114,Secondary and unspec malig neop anterior cervical LN,L1:Cancer_L2:Secondary cancer,B560800
2098,Cancer,Secondary cancer,a157571000006112,Secondary and unspec malig neop deep cervical LN,L1:Cancer_L2:Secondary cancer,B560900
2099,Cancer,Secondary cancer,a157751000006111,Secondary and unspec malig neop intrathoracic lymph nodes,L1:Cancer_L2:Secondary cancer,B561.00
2100,Cancer,Secondary cancer,a157691000006112,Secondary and unspec malig neop internal mammary lymph nodes,L1:Cancer_L2:Secondary cancer,B561000
2101,Cancer,Secondary cancer,a157671000006111,Secondary and unspec malig neop intercostal lymph nodes,L1:Cancer_L2:Secondary cancer,B561100
2102,Cancer,Secondary cancer,a157601000006117,Secondary and unspec malig neop diaphragmatic lymph nodes,L1:Cancer_L2:Secondary cancer,B561200
2103,Cancer,Secondary cancer,a157481000006111,Secondary and unspec malig neop ant mediastinal lymph nodes,L1:Cancer_L2:Secondary cancer,B561300
2104,Cancer,Secondary cancer,a157861000006115,Secondary and unspec malig neop post mediastinal lymph nodes,L1:Cancer_L2:Secondary cancer,B561400
2105,Cancer,Secondary cancer,a157831000006112,Secondary and unspec malig neop paratracheal lymph nodes,L1:Cancer_L2:Secondary cancer,B561500
2106,Cancer,Secondary cancer,a157911000006113,Secondary and unspec malig neop superfic tracheobronchial LN,L1:Cancer_L2:Secondary cancer,B561600
2107,Cancer,Secondary cancer,a157641000006115,Secondary and unspec malig neop inferior tracheobronchial LN,L1:Cancer_L2:Secondary cancer,B561700
2108,Cancer,Secondary cancer,a157531000006114,Secondary and unspec malig neop bronchopulmonary lymph nodes,L1:Cancer_L2:Secondary cancer,B561800
2109,Cancer,Secondary cancer,a157871000006110,Secondary and unspec malig neop pulmonary lymph nodes,L1:Cancer_L2:Secondary cancer,B561900
2110,Cancer,Secondary cancer,a157741000006114,Secondary and unspec malig neop intrathoracic LN NOS,L1:Cancer_L2:Secondary cancer,B561z00
2111,Cancer,Secondary cancer,a157711000006110,Secondary and unspec malig neop intra-abdominal lymph nodes,L1:Cancer_L2:Secondary cancer,B562.00
2112,Cancer,Secondary cancer,a157551000006119,Secondary and unspec malig neop coeliac lymph nodes,L1:Cancer_L2:Secondary cancer,B562000
2113,Cancer,Secondary cancer,a157941000006112,Secondary and unspec malig neop superficial mesenteric LN,L1:Cancer_L2:Secondary cancer,B562100
2114,Cancer,Secondary cancer,a157631000006113,Secondary and unspec malig neop inferior mesenteric LN,L1:Cancer_L2:Secondary cancer,B562200
