Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
2604,Cardiovascular,Aortic_valve_D,a112523010,Aortic valve sclerosis,L1:Cardiovascular_L2:Aortic_valve_D,
2605,Cardiovascular,Aortic_valve_D,a1232103019,Aortic valve stenosis,L1:Cardiovascular_L2:Aortic_valve_D,
2606,Cardiovascular,Aortic_valve_D,a13948561000006114,Aortic valve bioprosthesis,L1:Cardiovascular_L2:Aortic_valve_D,
2607,Cardiovascular,Aortic_valve_D,a188662011,Aortic valvuloplasty,L1:Cardiovascular_L2:Aortic_valve_D,
2608,Cardiovascular,Aortic_valve_D,a270950019,Aortic valvuloplasty NEC,L1:Cardiovascular_L2:Aortic_valve_D,
2609,Cardiovascular,Aortic_valve_D,a299989010,Aortic valve regurgitation,L1:Cardiovascular_L2:Aortic_valve_D,
2610,Cardiovascular,Aortic_valve_D,a299990018,Aortic valve stenosis,L1:Cardiovascular_L2:Aortic_valve_D,
2611,Cardiovascular,Aortic_valve_D,a299991019,Aortic valve stenosis with insufficiency,L1:Cardiovascular_L2:Aortic_valve_D,
2612,Cardiovascular,Aortic_valve_D,a299992014,Aortic valve disorder,L1:Cardiovascular_L2:Aortic_valve_D,
2613,Cardiovascular,Aortic_valve_D,a3138871000006116,Aortic valvotomy,L1:Cardiovascular_L2:Aortic_valve_D,
2614,Cardiovascular,Aortic_valve_D,a3478261000006114,Aortic valve incompetence,L1:Cardiovascular_L2:Aortic_valve_D,
2615,Cardiovascular,Aortic_valve_D,a374104011,Aortic valve calcification,L1:Cardiovascular_L2:Aortic_valve_D,
2616,Cardiovascular,Aortic_valve_D,a3877451000006118,Aortic valve prosthesis,L1:Cardiovascular_L2:Aortic_valve_D,
2617,Cardiovascular,Aortic_valve_D,a4214631000006117,Aortic valvoplasty,L1:Cardiovascular_L2:Aortic_valve_D,
2618,Cardiovascular,Aortic_valve_D,a465381000000114,Aortic valve repair NEC,L1:Cardiovascular_L2:Aortic_valve_D,
2619,Cardiovascular,Aortic_valve_D,a488521000006118,Aortic valve disease,L1:Cardiovascular_L2:Aortic_valve_D,
2620,Cardiovascular,Aortic_valve_D,a488551000006110,Aortic valve opening restricted,L1:Cardiovascular_L2:Aortic_valve_D,
2621,Cardiovascular,Aortic_valve_D,a5042011000006118,Aortic valve resuspension and replacement of ascending aorta,L1:Cardiovascular_L2:Aortic_valve_D,
2622,Cardiovascular,Aortic_valve_D,a5042021000006114,Aortic valve replacement and replacement of ascending aorta,L1:Cardiovascular_L2:Aortic_valve_D,
2623,Cardiovascular,Aortic_valve_D,a5042031000006112,Aortic valve replacement and aortoplasty,L1:Cardiovascular_L2:Aortic_valve_D,
2624,Cardiovascular,Aortic_valve_D,a5042051000006117,Aortic valve replacement and plication of ascending aorta,L1:Cardiovascular_L2:Aortic_valve_D,
2625,Cardiovascular,Aortic_valve_D,a5332151000006118,Aortic valve dysplasia,L1:Cardiovascular_L2:Aortic_valve_D,
2626,Cardiovascular,Aortic_valve_D,a5332171000006111,Aortic valve cusp abnormality,L1:Cardiovascular_L2:Aortic_valve_D,
2627,Cardiovascular,Aortic_valve_D,a5332231000006119,Aortic valve cusp prolapse,L1:Cardiovascular_L2:Aortic_valve_D,
2628,Cardiovascular,Aortic_valve_D,a5890171000006117,Aortic valve vegetations,L1:Cardiovascular_L2:Aortic_valve_D,
2629,Cardiovascular,Aortic_valve_D,a7574001000006114,Aortic valve regurgitation secondary to aortic dilation,L1:Cardiovascular_L2:Aortic_valve_D,
