Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
2630,Cardiovascular,Atrial_fibrilation,a12619501000006118,Blood pressure mesurement using oscillometric monitoring device with opportunistic tril fibrilltion detection,L1:Cardiovascular_L2:Atrial_fibrilation,
2631,Cardiovascular,Atrial_fibrilation,a12734511000006115,Evlution of F (tril fibrilltion) burden,L1:Cardiovascular_L2:Atrial_fibrilation,
2632,Cardiovascular,Atrial_fibrilation,a14161691000006115,Proxysml tril fibrilltion with rpid ventriculr response,L1:Cardiovascular_L2:Atrial_fibrilation,
2633,Cardiovascular,Atrial_fibrilation,a1587611000006119,Percutneous trnsluminl bltion of tril wll for tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2634,Cardiovascular,Atrial_fibrilation,a1587631000006113,Perc trnslum blt conduct sys hert for tril flutter NEC,L1:Cardiovascular_L2:Atrial_fibrilation,
2635,Cardiovascular,Atrial_fibrilation,a1755871000000117,Referrl to tril fibrilltion clinic,L1:Cardiovascular_L2:Atrial_fibrilation,
2636,Cardiovascular,Atrial_fibrilation,a1823951000006111,tril fibrilltion confirmed,L1:Cardiovascular_L2:Atrial_fibrilation,
2637,Cardiovascular,Atrial_fibrilation,a1855501000006118,tril fibrilltion monitoring in primry cre,L1:Cardiovascular_L2:Atrial_fibrilation,
2638,Cardiovascular,Atrial_fibrilation,a1856431000006118,tril fibrilltion follow-up,L1:Cardiovascular_L2:Atrial_fibrilation,
2639,Cardiovascular,Atrial_fibrilation,a1932021000006117,3D study - problems with tril fibrilltion mngement,L1:Cardiovascular_L2:Atrial_fibrilation,
2640,Cardiovascular,Atrial_fibrilation,a1978701000006112,tril fibrilltion screen using BP monitor with F detector,L1:Cardiovascular_L2:Atrial_fibrilation,
2641,Cardiovascular,Atrial_fibrilation,a216183015,tril fibrilltion monitoring,L1:Cardiovascular_L2:Atrial_fibrilation,
2642,Cardiovascular,Atrial_fibrilation,a2197581000000114,tril fibrilltion cre pthwy,L1:Cardiovascular_L2:Atrial_fibrilation,
2643,Cardiovascular,Atrial_fibrilation,a256478018,ECG: tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2644,Cardiovascular,Atrial_fibrilation,a256479014,ECG: tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2645,Cardiovascular,Atrial_fibrilation,a2587671000000117,t risk of tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2646,Cardiovascular,Atrial_fibrilation,a2587711000000116,High risk of tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2647,Cardiovascular,Atrial_fibrilation,a2608211000000115,Typicl tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2648,Cardiovascular,Atrial_fibrilation,a2608251000000116,typicl tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2649,Cardiovascular,Atrial_fibrilation,a2675253013,Chronic tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2650,Cardiovascular,Atrial_fibrilation,a2675306013,Proxysml tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2651,Cardiovascular,Atrial_fibrilation,a294171000000112,Exception reporting - tril fibrilltion qulity indictors,L1:Cardiovascular_L2:Atrial_fibrilation,
2652,Cardiovascular,Atrial_fibrilation,a300106011,Proxysml tril tchycrdi,L1:Cardiovascular_L2:Atrial_fibrilation,
2653,Cardiovascular,Atrial_fibrilation,a300130013,tril fibrilltion nd flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2654,Cardiovascular,Atrial_fibrilation,a300132017,tril fibrilltion nd flutter NOS,L1:Cardiovascular_L2:Atrial_fibrilation,
2655,Cardiovascular,Atrial_fibrilation,a3299911000006116,F - tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2656,Cardiovascular,Atrial_fibrilation,a3309351000006110,Multifocl tril tchycrdi,L1:Cardiovascular_L2:Atrial_fibrilation,
2657,Cardiovascular,Atrial_fibrilation,a350465014,Non-rheumtic tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2658,Cardiovascular,Atrial_fibrilation,a406861000000119,tril fibrilltion nnul review,L1:Cardiovascular_L2:Atrial_fibrilation,
2659,Cardiovascular,Atrial_fibrilation,a408081000000116,tril fibrilltion monitoring first letter,L1:Cardiovascular_L2:Atrial_fibrilation,
2660,Cardiovascular,Atrial_fibrilation,a421235014,Proxysml tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2661,Cardiovascular,Atrial_fibrilation,a456154015,H/O: tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2662,Cardiovascular,Atrial_fibrilation,a4777351000006114,tril proxysml tchycrdi,L1:Cardiovascular_L2:Atrial_fibrilation,
2663,Cardiovascular,Atrial_fibrilation,a5057041000006118,Ectopic tril tchycrdi,L1:Cardiovascular_L2:Atrial_fibrilation,
2664,Cardiovascular,Atrial_fibrilation,a5057261000006110,Lone tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2665,Cardiovascular,Atrial_fibrilation,a5590611000006118,tril tchycrdi,L1:Cardiovascular_L2:Atrial_fibrilation,
2666,Cardiovascular,Atrial_fibrilation,a5669591000006113,F - Proxysml tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2667,Cardiovascular,Atrial_fibrilation,a5669601000006117,PF - Proxysml tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2668,Cardiovascular,Atrial_fibrilation,a5669611000006119,Intermittent tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2669,Cardiovascular,Atrial_fibrilation,a5887651000006116,Controlled tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2670,Cardiovascular,Atrial_fibrilation,a6043781000006115,Rpid tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2671,Cardiovascular,Atrial_fibrilation,a636701000000115,Persistent tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2672,Cardiovascular,Atrial_fibrilation,a636721000000112,Permnent tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2673,Cardiovascular,Atrial_fibrilation,a7046981000006110,Chronic tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
2674,Cardiovascular,Atrial_fibrilation,a7064691000006118,Trnsient cerebrl ischemi due to tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2675,Cardiovascular,Atrial_fibrilation,a7375931000006117,Insertion of pcemker for control of tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2676,Cardiovascular,Atrial_fibrilation,a7610331000006110,Longstnding persistent tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2677,Cardiovascular,Atrial_fibrilation,a7610331000006110,Longstnding persistent tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2678,Cardiovascular,Atrial_fibrilation,a783761000006118,Implnttion of intrvenous pcemker for tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2679,Cardiovascular,Atrial_fibrilation,a8037691000006113,tril fibrilltion with rpid ventriculr response,L1:Cardiovascular_L2:Atrial_fibrilation,
2680,Cardiovascular,Atrial_fibrilation,a8218591000006111,tril fibrilltion monitoring verbl invittion,L1:Cardiovascular_L2:Atrial_fibrilation,
2681,Cardiovascular,Atrial_fibrilation,a82343012,tril fibrilltion,L1:Cardiovascular_L2:Atrial_fibrilation,
2682,Cardiovascular,Atrial_fibrilation,a8439861000006115,tril fibrilltion detected,L1:Cardiovascular_L2:Atrial_fibrilation,
2683,Cardiovascular,Atrial_fibrilation,a8440101000006118,tril fibrilltion not detected,L1:Cardiovascular_L2:Atrial_fibrilation,
2684,Cardiovascular,Atrial_fibrilation,a865521000006116,Pcer controlled tril fibril,L1:Cardiovascular_L2:Atrial_fibrilation,
2685,Cardiovascular,Atrial_fibrilation,a9988012,tril flutter,L1:Cardiovascular_L2:Atrial_fibrilation,
