Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
2686,Cardiovascular,Cardiac_failure,a12623611000006114,Excepted from heart failure quality indicators - service unavailable,L1:Cardiovascular_L2:Cardiac_failure,
2687,Cardiovascular,Cardiac_failure,a12626351000006111,QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation,L1:Cardiovascular_L2:Cardiac_failure,
2688,Cardiovascular,Cardiac_failure,a12734351000006110,QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation using preferred method of communication,L1:Cardiovascular_L2:Cardiac_failure,
2689,Cardiovascular,Cardiac_failure,a132655012,Chronic cor pulmonale,L1:Cardiovascular_L2:Cardiac_failure,
2690,Cardiovascular,Cardiac_failure,a13793321000006118,Left cardiac ventricular dilatation,L1:Cardiovascular_L2:Cardiac_failure,
2691,Cardiovascular,Cardiac_failure,a13910671000006110,Heart failure with mid range ejection fraction,L1:Cardiovascular_L2:Cardiac_failure,
2692,Cardiovascular,Cardiac_failure,a13941041000006112,Moderate left ventricular hypertrophy,L1:Cardiovascular_L2:Cardiac_failure,
2693,Cardiovascular,Cardiac_failure,a139475013,Heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2694,Cardiovascular,Cardiac_failure,a139482012,Cardiac failure,L1:Cardiovascular_L2:Cardiac_failure,
2695,Cardiovascular,Cardiac_failure,a14015051000006114,Acute on chronic right-sided congestive heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2696,Cardiovascular,Cardiac_failure,a141306010,Left ventricular failure,L1:Cardiovascular_L2:Cardiac_failure,
2697,Cardiovascular,Cardiac_failure,a14133401000006116,Acquired left ventricular dilation,L1:Cardiovascular_L2:Cardiac_failure,
2698,Cardiovascular,Cardiac_failure,a145328019,Chronic rheumatic heart disease,L1:Cardiovascular_L2:Cardiac_failure,
2699,Cardiovascular,Cardiac_failure,a147247018,Chronic congestive heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2700,Cardiovascular,Cardiac_failure,a1484917012,Heart failure follow-up,L1:Cardiovascular_L2:Cardiac_failure,
2701,Cardiovascular,Cardiac_failure,a1484918019,Heart failure annual review,L1:Cardiovascular_L2:Cardiac_failure,
2702,Cardiovascular,Cardiac_failure,a1488804017,Heart failure confirmed,L1:Cardiovascular_L2:Cardiac_failure,
2703,Cardiovascular,Cardiac_failure,a1489358014,Left ventricular diastolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2704,Cardiovascular,Cardiac_failure,a1539381000006117,Heart failure lifestyle plan commenced,L1:Cardiovascular_L2:Cardiac_failure,
2705,Cardiovascular,Cardiac_failure,a1539391000006119,Heart failure information starter pack provided,L1:Cardiovascular_L2:Cardiac_failure,
2706,Cardiovascular,Cardiac_failure,a1539471000006111,Heart failure monitoring - unstable symptoms,L1:Cardiovascular_L2:Cardiac_failure,
2707,Cardiovascular,Cardiac_failure,a1539481000006114,Heart failure monitoring - specialist clinical needs,L1:Cardiovascular_L2:Cardiac_failure,
2708,Cardiovascular,Cardiac_failure,a1539491000006112,Heart failure monitoring - social issues,L1:Cardiovascular_L2:Cardiac_failure,
2709,Cardiovascular,Cardiac_failure,a1539501000006116,Heart failure monitoring - psychological issues,L1:Cardiovascular_L2:Cardiac_failure,
2710,Cardiovascular,Cardiac_failure,a1539511000006118,Heart failure monitoring - multiple readmissions,L1:Cardiovascular_L2:Cardiac_failure,
2711,Cardiovascular,Cardiac_failure,a1539521000006114,Heart failure monitoring - co-medications,L1:Cardiovascular_L2:Cardiac_failure,
2712,Cardiovascular,Cardiac_failure,a1539531000006112,Heart failure monitoring - co-morbidities,L1:Cardiovascular_L2:Cardiac_failure,
2713,Cardiovascular,Cardiac_failure,a1539541000006119,Heart failure monitoring - palliative care,L1:Cardiovascular_L2:Cardiac_failure,
2714,Cardiovascular,Cardiac_failure,a1561941000006119,Excepted from heart failure quality indicators - patient unsuitable,L1:Cardiovascular_L2:Cardiac_failure,
2715,Cardiovascular,Cardiac_failure,a1561951000006117,Excepted from heart failure quality indicators - informed dissent,L1:Cardiovascular_L2:Cardiac_failure,
2716,Cardiovascular,Cardiac_failure,a1576321000006113,Cause of Death- Congestive Cardiac Failure,L1:Cardiovascular_L2:Cardiac_failure,
2717,Cardiovascular,Cardiac_failure,a1647701000000118,Heart failure with normal ejection fraction,L1:Cardiovascular_L2:Cardiac_failure,
2718,Cardiovascular,Cardiac_failure,a1661371000000112,HFNEF - heart failure with normal ejection fraction,L1:Cardiovascular_L2:Cardiac_failure,
2719,Cardiovascular,Cardiac_failure,a1693911000000115,Referral to heart failure education group declined,L1:Cardiovascular_L2:Cardiac_failure,
2720,Cardiovascular,Cardiac_failure,a1734081000000112,Referral to heart failure exercise programme declined,L1:Cardiovascular_L2:Cardiac_failure,
2721,Cardiovascular,Cardiac_failure,a1734161000000119,Referral to heart failure exercise programme not indicated,L1:Cardiovascular_L2:Cardiac_failure,
2722,Cardiovascular,Cardiac_failure,a1746171000000119,Has heart failure management plan,L1:Cardiovascular_L2:Cardiac_failure,
2723,Cardiovascular,Cardiac_failure,a1747691000006119,Emergency heart failure admission since last appointment,L1:Cardiovascular_L2:Cardiac_failure,
2724,Cardiovascular,Cardiac_failure,a1784061000006118,Preferred place of care for next exacerbation of heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2725,Cardiovascular,Cardiac_failure,a1816101000006113,Right ventricular failure,L1:Cardiovascular_L2:Cardiac_failure,
2726,Cardiovascular,Cardiac_failure,a1822161000006116,Heart failure pathway protocol not followed,L1:Cardiovascular_L2:Cardiac_failure,
2727,Cardiovascular,Cardiac_failure,a18472010,Acute congestive heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2728,Cardiovascular,Cardiac_failure,a1850881000006117,Reason for influenza vaccine - chronic heart disease,L1:Cardiovascular_L2:Cardiac_failure,
2729,Cardiovascular,Cardiac_failure,a1856361000006116,Heart failure monitoring in primary care,L1:Cardiovascular_L2:Cardiac_failure,
2730,Cardiovascular,Cardiac_failure,a1856371000006111,Heart failure monitoring in secondary care,L1:Cardiovascular_L2:Cardiac_failure,
2731,Cardiovascular,Cardiac_failure,a1856381000006114,Heart failure monitoring default,L1:Cardiovascular_L2:Cardiac_failure,
2732,Cardiovascular,Cardiac_failure,a1861731000006114,AURAS-AF - consider the patient to have heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2733,Cardiovascular,Cardiac_failure,a1908831000006118,Left ventricular outflow tract obstruction,L1:Cardiovascular_L2:Cardiac_failure,
2734,Cardiovascular,Cardiac_failure,a1991651000006115,Severe left ventricular systolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2735,Cardiovascular,Cardiac_failure,a206703015,Right heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2736,Cardiovascular,Cardiac_failure,a2115781000000114,Heart failure self-management plan review,L1:Cardiovascular_L2:Cardiac_failure,
2737,Cardiovascular,Cardiac_failure,a2117931000000116,Heart failure self-management plan agreed,L1:Cardiovascular_L2:Cardiac_failure,
2738,Cardiovascular,Cardiac_failure,a2122191000000110,Education about deteriorating heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2739,Cardiovascular,Cardiac_failure,a2159197017,Echocardiogram shows left ventricular systolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2740,Cardiovascular,Cardiac_failure,a2159198010,Echocardiogram shows left ventricular diastolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2741,Cardiovascular,Cardiac_failure,a216184014,Congestive heart failure monitoring,L1:Cardiovascular_L2:Cardiac_failure,
2742,Cardiovascular,Cardiac_failure,a216207010,Left ventricular systolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2743,Cardiovascular,Cardiac_failure,a2205951000000117,Heart failure clinical pathway,L1:Cardiovascular_L2:Cardiac_failure,
2744,Cardiovascular,Cardiac_failure,a2227501000000110,Heart failure with preserved ejection fraction,L1:Cardiovascular_L2:Cardiac_failure,
2745,Cardiovascular,Cardiac_failure,a223981000000118,Cardiac failure NOS,L1:Cardiovascular_L2:Cardiac_failure,
2746,Cardiovascular,Cardiac_failure,a226181000000110,Left ventricular dysfunction monitoring administration,L1:Cardiovascular_L2:Cardiac_failure,
2747,Cardiovascular,Cardiac_failure,a2352391000000117,On optimal heart failure therapy,L1:Cardiovascular_L2:Cardiac_failure,
2748,Cardiovascular,Cardiac_failure,a2405871000000117,Heart failure rehabilitation programme not available,L1:Cardiovascular_L2:Cardiac_failure,
2749,Cardiovascular,Cardiac_failure,a251680018,H/O: heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2750,Cardiovascular,Cardiac_failure,a2533628012,Left ventricular dysfunction monitoring first letter,L1:Cardiovascular_L2:Cardiac_failure,
2751,Cardiovascular,Cardiac_failure,a2533629016,Left ventricular dysfunction monitoring second letter,L1:Cardiovascular_L2:Cardiac_failure,
2752,Cardiovascular,Cardiac_failure,a2533630014,Left ventricular dysfunction monitoring third letter,L1:Cardiovascular_L2:Cardiac_failure,
2753,Cardiovascular,Cardiac_failure,a2548316014,Seen by community heart failure nurse,L1:Cardiovascular_L2:Cardiac_failure,
2754,Cardiovascular,Cardiac_failure,a2548656015,Right ventricular systolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2755,Cardiovascular,Cardiac_failure,a2549089012,Left ventricular dysfunction monitoring verbal invite,L1:Cardiovascular_L2:Cardiac_failure,
2756,Cardiovascular,Cardiac_failure,a2549128016,Right ventricular diastolic dysfunction,L1:Cardiovascular_L2:Cardiac_failure,
2757,Cardiovascular,Cardiac_failure,a2549208013,Emergency hospital admission for heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2758,Cardiovascular,Cardiac_failure,a2585431000006117,Chronic left-sided congestive heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2759,Cardiovascular,Cardiac_failure,a2616471011,New York Heart Association Classification - Class II,L1:Cardiovascular_L2:Cardiac_failure,
2760,Cardiovascular,Cardiac_failure,a2616472016,New York Heart Association Classification - Class III,L1:Cardiovascular_L2:Cardiac_failure,
2761,Cardiovascular,Cardiac_failure,a2616473014,New York Heart Association Classification - Class IV,L1:Cardiovascular_L2:Cardiac_failure,
2762,Cardiovascular,Cardiac_failure,a2645623019,Heart failure education,L1:Cardiovascular_L2:Cardiac_failure,
2763,Cardiovascular,Cardiac_failure,a2660881000006116,High output heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2764,Cardiovascular,Cardiac_failure,a2664351000006113,Chronic right-sided heart failure,L1:Cardiovascular_L2:Cardiac_failure,
2765,Cardiovascular,Cardiac_failure,a2675255018,Congestive heart failure due to valvular disease,L1:Cardiovascular_L2:Cardiac_failure,
