Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
2902,Cardiovascular,Ischemic+Heamorraghic_stroke,a106392017,Basilar artery syndrome,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2903,Cardiovascular,Ischemic+Heamorraghic_stroke,a106394016,Vertebrobasilar insufficiency,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2904,Cardiovascular,Ischemic+Heamorraghic_stroke,a118689010,Cerebral thrombosis,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2905,Cardiovascular,Ischemic+Heamorraghic_stroke,a11920121000006116,Transient cerebral ischemia,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,new 2023
2906,Cardiovascular,Ischemic+Heamorraghic_stroke,a1212072018,Occlusive stroke,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2907,Cardiovascular,Ischemic+Heamorraghic_stroke,a12223101000006118,Intracerebral haemorrhage,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,new 2023
2908,Cardiovascular,Ischemic+Heamorraghic_stroke,a12223111000006115,Intracerebral hemorrhage,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,CORRECTED this: Last digit was incorrect: a12223111000006116
2909,Cardiovascular,Ischemic+Heamorraghic_stroke,a12223121000006112,ICH - intracerebral haemorrhage,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2910,Cardiovascular,Ischemic+Heamorraghic_stroke,a12223131000006114,ICH - intracerebral hemorrhage,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2911,Cardiovascular,Ischemic+Heamorraghic_stroke,a1222398015,Cerebral arterial occlusion,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2912,Cardiovascular,Ischemic+Heamorraghic_stroke,a122361000006113,Stroke due to cerebral arterial occlusion,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2913,Cardiovascular,Ischemic+Heamorraghic_stroke,a122371000006118,Cerebral haemorrhage,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2914,Cardiovascular,Ischemic+Heamorraghic_stroke,a122401000006115,Stroke unspecified,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2915,Cardiovascular,Ischemic+Heamorraghic_stroke,a125470015,Cerebral embolism,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2916,Cardiovascular,Ischemic+Heamorraghic_stroke,a130375018,Lateral medullary syndrome,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2917,Cardiovascular,Ischemic+Heamorraghic_stroke,a13717171000006112,Cerebrovascular accident due to stenosis of bilateral carotid arteries,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2918,Cardiovascular,Ischemic+Heamorraghic_stroke,a13718601000006110,History of embolic cerebrovascular accident,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2919,Cardiovascular,Ischemic+Heamorraghic_stroke,a13718621000006116,History of cerebrovascular accident due to ischaemia,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
2920,Cardiovascular,Ischemic+Heamorraghic_stroke,a13718641000006112,History of ischaemic stroke,L1:Cardiovascular_L2:Ischemic+Heamorraghic_stroke,
