Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3154,Cardiovascular,Mitral_valve_D,a13655201000006115,Mitral valve posterior leaflet prolapse,L1:Cardiovascular_L2:Mitral_valve_D,
3155,Cardiovascular,Mitral_valve_D,a1478969019,Mitral valvuloplasty,L1:Cardiovascular_L2:Mitral_valve_D,
3156,Cardiovascular,Mitral_valve_D,a219511000000113,Mitral valve disease,L1:Cardiovascular_L2:Mitral_valve_D,
3157,Cardiovascular,Mitral_valve_D,a2471474013,Mitral valve prolapse,L1:Cardiovascular_L2:Mitral_valve_D,
3158,Cardiovascular,Mitral_valve_D,a2526691000006119,Mitral valvotomy,L1:Cardiovascular_L2:Mitral_valve_D,
3159,Cardiovascular,Mitral_valve_D,a2628851000006115,Mitral valve prolapse syndrome,L1:Cardiovascular_L2:Mitral_valve_D,
3160,Cardiovascular,Mitral_valve_D,a270933016,Mitral valvuloplasty NEC,L1:Cardiovascular_L2:Mitral_valve_D,
3161,Cardiovascular,Mitral_valve_D,a2771491000006111,Mitral valve prosthesis,L1:Cardiovascular_L2:Mitral_valve_D,
3162,Cardiovascular,Mitral_valve_D,a299596016,Mitral valve disease NOS,L1:Cardiovascular_L2:Mitral_valve_D,
3163,Cardiovascular,Mitral_valve_D,a299984017,Mitral valve disorder,L1:Cardiovascular_L2:Mitral_valve_D,
3164,Cardiovascular,Mitral_valve_D,a3288481000006112,Mitral valve incompetence,L1:Cardiovascular_L2:Mitral_valve_D,
3165,Cardiovascular,Mitral_valve_D,a374120018,Mitral valve leaf prolapse,L1:Cardiovascular_L2:Mitral_valve_D,
3166,Cardiovascular,Mitral_valve_D,a3794881000006112,Mitral valve stenosis,L1:Cardiovascular_L2:Mitral_valve_D,
3167,Cardiovascular,Mitral_valve_D,a5040451000006111,Mitral valve operation,L1:Cardiovascular_L2:Mitral_valve_D,
3168,Cardiovascular,Mitral_valve_D,a5294271000006111,Mitral valve annular calcification,L1:Cardiovascular_L2:Mitral_valve_D,
3169,Cardiovascular,Mitral_valve_D,a5329231000006112,Mitral valve dysplasia,L1:Cardiovascular_L2:Mitral_valve_D,
3170,Cardiovascular,Mitral_valve_D,a5590601000006116,Mitral valve anterior leaflet prolapse,L1:Cardiovascular_L2:Mitral_valve_D,
3171,Cardiovascular,Mitral_valve_D,a6426331000006115,Mitral valvoplasty,L1:Cardiovascular_L2:Mitral_valve_D,
3172,Cardiovascular,Mitral_valve_D,a700891000006114,Mitral valve prolapse,L1:Cardiovascular_L2:Mitral_valve_D,
3173,Cardiovascular,Mitral_valve_D,a7424051000006117,Mitral valve clip,L1:Cardiovascular_L2:Mitral_valve_D,
3174,Cardiovascular,Mitral_valve_D,a7574041000006111,Mitral valve regurgitation due to acute myocardial infarction,L1:Cardiovascular_L2:Mitral_valve_D,
3175,Cardiovascular,Mitral_valve_D,a81186016,Mitral valve regurgitation,L1:Cardiovascular_L2:Mitral_valve_D,
3176,Cardiovascular,Mitral_valve_D,a81191015,Mitral valve incompetence,L1:Cardiovascular_L2:Mitral_valve_D,
3177,Cardiovascular,Mitral_valve_D,a81192010,Mitral valve insufficiency,L1:Cardiovascular_L2:Mitral_valve_D,
