Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3178,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a100681000006116,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3179,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a109915012,Post-myocardial infarction syndrome,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3180,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a109916013,Dressler's syndrome,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3181,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a116992017,Acute subendocardial infarction,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3182,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a118831000006118,Subsequent myocardial infarction of unspecified site,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3183,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a12122331000006116,Acute ST segment elevation myocardial infarction of inferolateral wall,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3184,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a12122341000006114,Acute ST segment elevation myocardial infarction of inferoposterior wall,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3185,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a12125951000006116,Arteriosclerosis of autologous vein coronary artery bypass graft with angina,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3186,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a1218860015,Acute papillary muscle infarction,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3187,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a1227364015,History of coronary artery bypass grafting,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3188,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a12276271000006112,Progressive angina,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3189,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a1229885017,Microinfarction of heart,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
3190,Cardiovascular,Myocardial_infarction+angina+ischemic_heart_D,a1234005010,Acute inferoposterior infarction,L1:Cardiovascular_L2:Myocardial_infarction+angina+ischemic_heart_D,
