Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3481,Cardiovascular,Peripheral_vascular_D,a105536013,Intermittent claudication,L1:Cardiovascular_L2:Peripheral_vascular_D,
3482,Cardiovascular,Peripheral_vascular_D,a1176621000000116,Referred for peripheral artery disease assessment,L1:Cardiovascular_L2:Peripheral_vascular_D,
3483,Cardiovascular,Peripheral_vascular_D,a12122231000006112,Bilateral lower limb atherosclerosis pain at rest co-occurrent and due to atherosclerosis,L1:Cardiovascular_L2:Peripheral_vascular_D,
3484,Cardiovascular,Peripheral_vascular_D,a13919641000006111,Intermittent claudication due to atherosclerosis of artery of limb,L1:Cardiovascular_L2:Peripheral_vascular_D,
3485,Cardiovascular,Peripheral_vascular_D,a13919651000006112,Ulcer of heel due to atherosclerosis of artery of lower limb,L1:Cardiovascular_L2:Peripheral_vascular_D,
3486,Cardiovascular,Peripheral_vascular_D,a13919691000006120,Ulcer of ankle due to atherosclerosis of artery of lower limb,L1:Cardiovascular_L2:Peripheral_vascular_D,
3487,Cardiovascular,Peripheral_vascular_D,a13944841000006117,Peripheral arterial disease,L1:Cardiovascular_L2:Peripheral_vascular_D,
3488,Cardiovascular,Peripheral_vascular_D,a13944851000006116,Peripheral arterial vascular disease,L1:Cardiovascular_L2:Peripheral_vascular_D,
3489,Cardiovascular,Peripheral_vascular_D,a13944861000006118,Peripheral artery disease,L1:Cardiovascular_L2:Peripheral_vascular_D,
3490,Cardiovascular,Peripheral_vascular_D,a14180191000006116,Bilateral intermittent claudication of lower limbs due to atherosclerosis of nonbiological bypass graft,L1:Cardiovascular_L2:Peripheral_vascular_D,
3491,Cardiovascular,Peripheral_vascular_D,a1696201000006114,Peripheral vascular disease annual review,L1:Cardiovascular_L2:Peripheral_vascular_D,
3492,Cardiovascular,Peripheral_vascular_D,a1696211000006112,Peripheral vascular disease monitoring administration,L1:Cardiovascular_L2:Peripheral_vascular_D,
3493,Cardiovascular,Peripheral_vascular_D,a1696221000006116,Peripheral vascular disease monitoring first letter,L1:Cardiovascular_L2:Peripheral_vascular_D,
3494,Cardiovascular,Peripheral_vascular_D,a1715241000006112,Vascular claudication,L1:Cardiovascular_L2:Peripheral_vascular_D,
3495,Cardiovascular,Peripheral_vascular_D,a1813491000006118,Exception reporting - peripheral arterial disease quality indicators,L1:Cardiovascular_L2:Peripheral_vascular_D,
3496,Cardiovascular,Peripheral_vascular_D,a1823971000006118,Peripheral arterial disease confirmed,L1:Cardiovascular_L2:Peripheral_vascular_D,
3497,Cardiovascular,Peripheral_vascular_D,a1847121000006114,Peripheral arterial disease,L1:Cardiovascular_L2:Peripheral_vascular_D,
3498,Cardiovascular,Peripheral_vascular_D,a2231891000000112,Peripheral vascular disease monitoring second letter,L1:Cardiovascular_L2:Peripheral_vascular_D,
3499,Cardiovascular,Peripheral_vascular_D,a2231911000000110,Peripheral vascular disease monitoring third letter,L1:Cardiovascular_L2:Peripheral_vascular_D,
3500,Cardiovascular,Peripheral_vascular_D,a235911000006116,Peripheral vascular disease,L1:Cardiovascular_L2:Peripheral_vascular_D,
