Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3573,Cardiovascular,Thrombosis+embolism,a100691000006118,Cerebral venous thrombosis of cavernous sinus,L1:Cardiovascular_L2:Thrombosis+embolism,
3574,Cardiovascular,Thrombosis+embolism,a100701000006118,Thrombosis lateral sinus,L1:Cardiovascular_L2:Thrombosis+embolism,
3575,Cardiovascular,Thrombosis+embolism,a100721000006111,Cerebral venous sinus thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3576,Cardiovascular,Thrombosis+embolism,a100771000006112,Carotid artery thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3577,Cardiovascular,Thrombosis+embolism,a100811000006112,Superior mesenteric artery thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3578,Cardiovascular,Thrombosis+embolism,a100821000006116,Superior mesenteric vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3579,Cardiovascular,Thrombosis+embolism,a1119161000000115,Deep vein thrombosis of peroneal vein,L1:Cardiovascular_L2:Thrombosis+embolism,
3580,Cardiovascular,Thrombosis+embolism,a1141311000000112,Moderate probability of deep vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3581,Cardiovascular,Thrombosis+embolism,a1141351000000111,High probability of deep vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3582,Cardiovascular,Thrombosis+embolism,a118689010,Cerebral thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3583,Cardiovascular,Thrombosis+embolism,a1222321017,Embolism of vein NOS,L1:Cardiovascular_L2:Thrombosis+embolism,
3584,Cardiovascular,Thrombosis+embolism,a1227369013,[V] Personal history DVT (deep vein thrombosis),L1:Cardiovascular_L2:Thrombosis+embolism,
3585,Cardiovascular,Thrombosis+embolism,a1235655012,Mural thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3586,Cardiovascular,Thrombosis+embolism,a1235913017,Cerebral vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3587,Cardiovascular,Thrombosis+embolism,a125470015,Cerebral embolism,L1:Cardiovascular_L2:Thrombosis+embolism,
3588,Cardiovascular,Thrombosis+embolism,a129661016,Thrombotic thrombocytopenic purpura,L1:Cardiovascular_L2:Thrombosis+embolism,
3589,Cardiovascular,Thrombosis+embolism,a135665013,Thrombotic microangiopathy,L1:Cardiovascular_L2:Thrombosis+embolism,
3590,Cardiovascular,Thrombosis+embolism,a158317012,Renal artery thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3591,Cardiovascular,Thrombosis+embolism,a158318019,Renal artery embolism,L1:Cardiovascular_L2:Thrombosis+embolism,
3592,Cardiovascular,Thrombosis+embolism,a1638531000006113,Referral to deep vein thrombosis clinic,L1:Cardiovascular_L2:Thrombosis+embolism,
3593,Cardiovascular,Thrombosis+embolism,a169951000006111,Retinal microembolism,L1:Cardiovascular_L2:Thrombosis+embolism,
3594,Cardiovascular,Thrombosis+embolism,a1729331000006116,Cerebral venous thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3595,Cardiovascular,Thrombosis+embolism,a1766061000006111,Deep vein thrombosis clinical probability score,L1:Cardiovascular_L2:Thrombosis+embolism,
3596,Cardiovascular,Thrombosis+embolism,a1776621000006117,Reason for referral: Deep Vein Thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3597,Cardiovascular,Thrombosis+embolism,a1786197015,Coronary thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3598,Cardiovascular,Thrombosis+embolism,a1786198013,Thrombosis - coronary,L1:Cardiovascular_L2:Thrombosis+embolism,
3599,Cardiovascular,Thrombosis+embolism,a2144741000000111,Recurrent deep vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3600,Cardiovascular,Thrombosis+embolism,a215511000000110,Mesenteric thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3601,Cardiovascular,Thrombosis+embolism,a216205019,Deep vein thrombosis of leg related to air travel,L1:Cardiovascular_L2:Thrombosis+embolism,
3602,Cardiovascular,Thrombosis+embolism,a2162148012,Deep vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3603,Cardiovascular,Thrombosis+embolism,a2162149016,Deep venous thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3604,Cardiovascular,Thrombosis+embolism,a2162422011,Deep vein thrombosis of lower limb,L1:Cardiovascular_L2:Thrombosis+embolism,
3605,Cardiovascular,Thrombosis+embolism,a216571000006116,Postoperative deep vein thrombosis,L1:Cardiovascular_L2:Thrombosis+embolism,
3606,Cardiovascular,Thrombosis+embolism,a2168741000000113,Postthrombotic syndrome,L1:Cardiovascular_L2:Thrombosis+embolism,
