Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3719,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a101523017,Aneurysm of external carotid artery,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3720,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a107332010,Carotid artery stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3721,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a108561012,Aneurysm of heart,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3722,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a108827017,Aneurysm of superior mesenteric artery,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3723,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a111949011,Aortic aneurysm,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3724,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a116861000006111,Supravalvar aortic stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3725,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a116959011,Aneurysm of splenic artery,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3726,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a119660019,Rheumatic aortic stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3727,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1221083011,Abdominal aortic aneurysm which has ruptured,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3728,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1222308012,"Tricuspid stenosis and regurgitation, cause unspecified",L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3729,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1228441015,Congenital tricuspid stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3730,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1228941010,Carotid artery disease,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3731,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1229954013,"Cerebral aneurysm, nonruptured",L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3732,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1230211012,Renal artery atherosclerosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3733,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1232103019,Aortic valve stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3734,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1232666014,Cardiac aneurysm,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3735,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1234383014,Mitral stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3736,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a1235573016,Ventricular cardiac aneurysm,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3737,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a124373014,Thoracic aortic aneurysm without mention of rupture,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3738,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a126241000006115,Stenosis of inferior vena cava,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
3739,Cardiovascular,Vessel_atherosclerosis+aneurysm+stenosis,a126311000006111,Pulmonary artery stenosis,L1:Cardiovascular_L2:Vessel_atherosclerosis+aneurysm+stenosis,
