Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3921,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a11776801000006110,CRPS - complex regional pain syndrome,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3922,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a136713011,Chronic 	pain     ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3923,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a13854301000006115,CRPS (complex regional pain syndrome) of lower limb,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3924,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a1727541000006113,Complex 	regional 	pain 	syndrome 	NOS  ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3925,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a186201000006114,Reflex sympathetic dystrophy,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3926,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a194673013,Reflex sympathetic dystrophy,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3927,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a206425010,Complex 	regional 	pain 	syndrome 	     ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3928,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a2214301000000116,Chronic 	regional 	pain 	syndrome ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3929,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a2477180015,Complex 	regional 	pain 	syndrome 	type 	II     ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3930,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a312220010,Algodyst	rophy of 	hand ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3931,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a312221014,Algodyst	rophy of 	knee ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3932,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a312222019,Algodyst	rophy of 	foot ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3933,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a317098012,[D]Chron	ic intrac	table	 pain    ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3934,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a318040019,[X]Other	 chronic 	pain ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3935,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a3512092015,Complex 	regional 	pain 	syndrome 	type 	I      ,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
3936,Chronic_pain_syndrome,Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,a3512269011,Complex regional pain syndrome of lower limb,L1:Chronic_pain_syndrome_L2:Complex_Regional_Pain_S+Chronic_pain_excl.back_pain,
