Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3945,Chronic_pain_syndrome,Fibromyalgia,a1222482014,Generalised aches and pains,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3946,Chronic_pain_syndrome,Fibromyalgia,a13796931000006113,Myofascial pain syndrome of lower back,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3947,Chronic_pain_syndrome,Fibromyalgia,a1705881000006115,Myofascial pain syndrome,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3948,Chronic_pain_syndrome,Fibromyalgia,a1832341000006115,Physiotherapy treatment modality: myofascial release,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3949,Chronic_pain_syndrome,Fibromyalgia,a311702015,Fibromyositis,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3950,Chronic_pain_syndrome,Fibromyalgia,a3850321000006119,Generalised pain,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3951,Chronic_pain_syndrome,Fibromyalgia,a4056321000006115,Primary fibromyalgia syndrome,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3952,Chronic_pain_syndrome,Fibromyalgia,a41385012,Myofascial pain syndrome,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3953,Chronic_pain_syndrome,Fibromyalgia,a41386013,Fibromyalgia,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3954,Chronic_pain_syndrome,Fibromyalgia,a5621041000006115,Myofascial pain,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3955,Chronic_pain_syndrome,Fibromyalgia,a6451651000006114,Myofascial pain - dysfunction syndrome of TMJ,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3956,Chronic_pain_syndrome,Fibromyalgia,a709441000006113,Fibromyalgia,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3957,Chronic_pain_syndrome,Fibromyalgia,a7879531000006112,Myofascial pain syndrome,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3958,Chronic_pain_syndrome,Fibromyalgia,a7879551000006117,Myofascial pain dysfunction syndrome,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3959,Chronic_pain_syndrome,Fibromyalgia,a800781000006116,Generalised aches and pains,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
3960,Chronic_pain_syndrome,Fibromyalgia,a8349931000006112,Secondary fibromyalgia,L1:Chronic_pain_syndrome_L2:Fibromyalgia,
