Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6479,Dermatitis,atopic+contact+other+unspecified,a100341000006117,Thrombocytopenic eczema with immunodeficiency,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6480,Dermatitis,atopic+contact+other+unspecified,a1008901000006113,Eczema/Dermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6481,Dermatitis,atopic+contact+other+unspecified,a1011221000006117,Adverse reaction to Psoriasis And Eczema,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6482,Dermatitis,atopic+contact+other+unspecified,a1036751000006115,Adverse reaction to Eumovate Eczema And Dermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6483,Dermatitis,atopic+contact+other+unspecified,a108236013,Contact dermatitis due to milk,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6484,Dermatitis,atopic+contact+other+unspecified,a10833016,Juvenile dermatitis herpetiformis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6485,Dermatitis,atopic+contact+other+unspecified,a112091013,Contact dermatitis due to food in contact with skin,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6486,Dermatitis,atopic+contact+other+unspecified,a1137101000000119,Referral to eczema clinic,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6487,Dermatitis,atopic+contact+other+unspecified,a115978018,Contact dermatitis due to X-rays,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6488,Dermatitis,atopic+contact+other+unspecified,a11782161000006111,Berloque dermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6489,Dermatitis,atopic+contact+other+unspecified,a11931761000006119,POEM - Patient-Oriented Eczema Measure,L1:Dermatitis_L2:atopic+contact+other+unspecified,new 2023
6490,Dermatitis,atopic+contact+other+unspecified,a121124014,Contact dermatitis due to meat,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6491,Dermatitis,atopic+contact+other+unspecified,a1222758015,Acute radiodermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6492,Dermatitis,atopic+contact+other+unspecified,a122961018,Contagious pustular dermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6493,Dermatitis,atopic+contact+other+unspecified,a1233663010,Chronic radiodermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6494,Dermatitis,atopic+contact+other+unspecified,a127176015,Chondrodermatitis nodularis helicis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6495,Dermatitis,atopic+contact+other+unspecified,a128743013,Contact dermatitis due to adhesive plaster,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6496,Dermatitis,atopic+contact+other+unspecified,a130689015,Contact dermatitis due to cosmetics,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6497,Dermatitis,atopic+contact+other+unspecified,a13128017,Senile dermatitis herpetiformis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6498,Dermatitis,atopic+contact+other+unspecified,a135069015,Nummular dermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6499,Dermatitis,atopic+contact+other+unspecified,a13531731000006112,"Severe dermatitis, multiple allergies, metabolic wasting syndrome",L1:Dermatitis_L2:atopic+contact+other+unspecified,
6500,Dermatitis,atopic+contact+other+unspecified,a137914019,Contact dermatitis due to iodine,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6501,Dermatitis,atopic+contact+other+unspecified,a138508015,Contact dermatitis due to nylon,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6502,Dermatitis,atopic+contact+other+unspecified,a13940661000006113,Autoimmune progesterone dermatitis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6503,Dermatitis,atopic+contact+other+unspecified,a14076941000006111,Facial eczema,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6504,Dermatitis,atopic+contact+other+unspecified,a14197541000006116,Contact dermatitis caused by saliva,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6505,Dermatitis,atopic+contact+other+unspecified,a14197571000006112,Eczematous psoriasis,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6506,Dermatitis,atopic+contact+other+unspecified,a14502461000006112,Atopic dermatitis of bilateral hands,L1:Dermatitis_L2:atopic+contact+other+unspecified,
6507,Dermatitis,atopic+contact+other+unspecified,a14666231000006113,Dermatitis artefacta,L1:Dermatitis_L2:atopic+contact+other+unspecified,
