Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
3961,Diabetes,Diabetes_Mellitus_I,a12702381000006118,Diabetic oculopathy due to type I diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3962,Diabetes,Diabetes_Mellitus_I,a12705071000006112,Gastroparesis due to type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3963,Diabetes,Diabetes_Mellitus_I,a14083741000006114,Ketoacidosis due to type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3964,Diabetes,Diabetes_Mellitus_I,a14083781000006116,Persistent proteinuria due to type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3965,Diabetes,Diabetes_Mellitus_I,a14083831000006112,Retinopathy due to type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3966,Diabetes,Diabetes_Mellitus_I,a14083901000006110,Persistent microalbuminuria due to type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3967,Diabetes,Diabetes_Mellitus_I,a14083931000006120,Hypoglycaemic coma due to type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3968,Diabetes,Diabetes_Mellitus_I,a1667941000000112,Type I diabetes mellitus with gastroparesis,L1:Diabetes_L2:Diabetes_Mellitus_I,
3969,Diabetes,Diabetes_Mellitus_I,a1780311019,Type 1 diabetes mellitus with persistent microalbuminuria,L1:Diabetes_L2:Diabetes_Mellitus_I,
3970,Diabetes,Diabetes_Mellitus_I,a197984010,Type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3971,Diabetes,Diabetes_Mellitus_I,a2288011000000114,Type I diabetes mellitus in remission,L1:Diabetes_L2:Diabetes_Mellitus_I,
3972,Diabetes,Diabetes_Mellitus_I,a2288041000000110,Type 1 diabetes mellitus in remission,L1:Diabetes_L2:Diabetes_Mellitus_I,
3973,Diabetes,Diabetes_Mellitus_I,a2476117016,Maturity onset diabetes in youth type 1,L1:Diabetes_L2:Diabetes_Mellitus_I,
3974,Diabetes,Diabetes_Mellitus_I,a292538019,Type I diabetes mellitus with ulcer,L1:Diabetes_L2:Diabetes_Mellitus_I,
3975,Diabetes,Diabetes_Mellitus_I,a292540012,Type 1 diabetes mellitus with ulcer,L1:Diabetes_L2:Diabetes_Mellitus_I,
3976,Diabetes,Diabetes_Mellitus_I,a292541011,Type 1 diabetes mellitus with gangrene,L1:Diabetes_L2:Diabetes_Mellitus_I,
3977,Diabetes,Diabetes_Mellitus_I,a292543014,Type I diabetes mellitus with gangrene,L1:Diabetes_L2:Diabetes_Mellitus_I,
3978,Diabetes,Diabetes_Mellitus_I,a292548017,Type 1 diabetes mellitus - poor control,L1:Diabetes_L2:Diabetes_Mellitus_I,
3979,Diabetes,Diabetes_Mellitus_I,a292550013,Type I diabetes mellitus - poor control,L1:Diabetes_L2:Diabetes_Mellitus_I,
3980,Diabetes,Diabetes_Mellitus_I,a292551012,Type I diabetes mellitus maturity onset,L1:Diabetes_L2:Diabetes_Mellitus_I,
3981,Diabetes,Diabetes_Mellitus_I,a292553010,Type 1 diabetes mellitus maturity onset,L1:Diabetes_L2:Diabetes_Mellitus_I,
3982,Diabetes,Diabetes_Mellitus_I,a299601000000114,Gastroparesis with type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3983,Diabetes,Diabetes_Mellitus_I,a306112011,"Pre-existing diabetes mellitus, insulin-dependent",L1:Diabetes_L2:Diabetes_Mellitus_I,
3984,Diabetes,Diabetes_Mellitus_I,a3253231000006110,Diabetes mellitus type I,L1:Diabetes_L2:Diabetes_Mellitus_I,
3985,Diabetes,Diabetes_Mellitus_I,a3253241000006117,Diabetes mellitus type 1,L1:Diabetes_L2:Diabetes_Mellitus_I,
3986,Diabetes,Diabetes_Mellitus_I,a356111014,Insulin-dependent diabetes mellitus secretory diarrhoea syndrome,L1:Diabetes_L2:Diabetes_Mellitus_I,
3987,Diabetes,Diabetes_Mellitus_I,a429970018,Unstable type I diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3988,Diabetes,Diabetes_Mellitus_I,a429971019,Unstable type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3989,Diabetes,Diabetes_Mellitus_I,a429972014,Unstable insulin dependent diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3990,Diabetes,Diabetes_Mellitus_I,a457325013,Type I diabetes mellitus without complication,L1:Diabetes_L2:Diabetes_Mellitus_I,
3991,Diabetes,Diabetes_Mellitus_I,a457326014,Type 1 diabetes mellitus without complication,L1:Diabetes_L2:Diabetes_Mellitus_I,
3992,Diabetes,Diabetes_Mellitus_I,a457327017,Insulin-dependent diabetes without complication,L1:Diabetes_L2:Diabetes_Mellitus_I,
3993,Diabetes,Diabetes_Mellitus_I,a459161015,Type 1 diabetes mellitus with hypoglycaemic coma,L1:Diabetes_L2:Diabetes_Mellitus_I,
3994,Diabetes,Diabetes_Mellitus_I,a459163017,Type I diabetes mellitus with hypoglycaemic coma,L1:Diabetes_L2:Diabetes_Mellitus_I,
3995,Diabetes,Diabetes_Mellitus_I,a459292011,Type 1 diabetes mellitus with arthropathy,L1:Diabetes_L2:Diabetes_Mellitus_I,
3996,Diabetes,Diabetes_Mellitus_I,a459294012,Type I diabetes mellitus with arthropathy,L1:Diabetes_L2:Diabetes_Mellitus_I,
3997,Diabetes,Diabetes_Mellitus_I,a4758121000006115,Insulin-dependent diabetes maturity onset,L1:Diabetes_L2:Diabetes_Mellitus_I,
3998,Diabetes,Diabetes_Mellitus_I,a494564012,Type I diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
3999,Diabetes,Diabetes_Mellitus_I,a5754581000006110,Brittle type 1 diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_I,
