Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4216,Diabetes,Diabetes_Mellitus_unclear,a10928019,Diabetes mellitus associated with genetic syndrome,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4217,Diabetes,Diabetes_Mellitus_unclear,a1177721000000112,Diabetic on subcutaneous treatment,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4218,Diabetes,Diabetes_Mellitus_unclear,a12078901000006118,Cataract of right eye due to diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4219,Diabetes,Diabetes_Mellitus_unclear,a12078931000006114,Cataract of left eye due to diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4220,Diabetes,Diabetes_Mellitus_unclear,a12078961000006116,Diabetic cataract of bilateral eyes,L1:Diabetes_L2:Diabetes_Mellitus_unclear,new 2023
4221,Diabetes,Diabetes_Mellitus_unclear,a12085891000006118,Clinically significant macular oedema of right eye co-occurrent and due to diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4222,Diabetes,Diabetes_Mellitus_unclear,a12086281000006112,Diabetic maculopathy of right eye,L1:Diabetes_L2:Diabetes_Mellitus_unclear,new 2023
4223,Diabetes,Diabetes_Mellitus_unclear,a12086331000006116,Diabetic maculopathy of left eye,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4224,Diabetes,Diabetes_Mellitus_unclear,a121589010,Diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4225,Diabetes,Diabetes_Mellitus_unclear,a12166111000006116,Retinopathy due to diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4226,Diabetes,Diabetes_Mellitus_unclear,a12180791000006114,Diabetic lumbosacral plexopathy,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4227,Diabetes,Diabetes_Mellitus_unclear,a12185421000006112,Polyneuropathy due to diabetes mellitus,L1:Diabetes_L2:Diabetes_Mellitus_unclear,new 2023
4228,Diabetes,Diabetes_Mellitus_unclear,a12189891000006110,PDR - proliferative diabetic retinopathy,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4229,Diabetes,Diabetes_Mellitus_unclear,a12224761000006116,Severe NPDR (nonproliferative diabetic retinopathy),L1:Diabetes_L2:Diabetes_Mellitus_unclear,
4230,Diabetes,Diabetes_Mellitus_unclear,a1230890017,Autonomic neuropathy due to diabetes,L1:Diabetes_L2:Diabetes_Mellitus_unclear,
