Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4489,Digestive,Constipation,a11932891000006111,IPOS patient score : degree pt affected by constipation past 3 days,L1:Digestive_L2:Constipation,
4490,Digestive,Constipation,a11933491000006119,IPOS patient score : degree pt affected by constipation past week,L1:Digestive_L2:Constipation,
4491,Digestive,Constipation,a1726521000006115,Chronic constipation,L1:Digestive_L2:Constipation,
4492,Digestive,Constipation,a1779381000000111,Education for constipation care,L1:Digestive_L2:Constipation,
4493,Digestive,Constipation,a1824121000006115,Paediatric constipation clinical pathway protocol not followed,L1:Digestive_L2:Constipation,
4494,Digestive,Constipation,a2162207016,Constipated,L1:Digestive_L2:Constipation,
4495,Digestive,Constipation,a2197541000000118,Constipation in children clinical pathway,L1:Digestive_L2:Constipation,
4496,Digestive,Constipation,a25076018,Constipation,L1:Digestive_L2:Constipation,
4497,Digestive,Constipation,a255196012,On examination - defaecation reflex abnormal - constipated,L1:Digestive_L2:Constipation,
4498,Digestive,Constipation,a2733861000006118,Difficulty passing stool,L1:Digestive_L2:Constipation,
4499,Digestive,Constipation,a2733891000006114,CN - Constipation,L1:Digestive_L2:Constipation,
4500,Digestive,Constipation,a2791650019,Irritable bowel syndrome characterised by constipation,L1:Digestive_L2:Constipation,
4501,Digestive,Constipation,a295382018,Psychogenic constipation,L1:Digestive_L2:Constipation,
4502,Digestive,Constipation,a3007481000006116,Overflow incontinence due to constipation,L1:Digestive_L2:Constipation,
4503,Digestive,Constipation,a303161017,Constipation - functional,L1:Digestive_L2:Constipation,
4504,Digestive,Constipation,a303162012,Acute constipation,L1:Digestive_L2:Constipation,
4505,Digestive,Constipation,a303163019,Chronic constipation without overflow,L1:Digestive_L2:Constipation,
4506,Digestive,Constipation,a303165014,Other specified constipation,L1:Digestive_L2:Constipation,
4507,Digestive,Constipation,a303166010,Constipation NOS,L1:Digestive_L2:Constipation,
4508,Digestive,Constipation,a3068881000006119,Slow transit constipation,L1:Digestive_L2:Constipation,
4509,Digestive,Constipation,a3068901000006117,Constipation by delayed colonic transit,L1:Digestive_L2:Constipation,
4510,Digestive,Constipation,a3219701000006116,Fecal impaction,L1:Digestive_L2:Constipation,
4511,Digestive,Constipation,a3446061000006115,Intermittent constipation pattern,L1:Digestive_L2:Constipation,
4512,Digestive,Constipation,a353853017,Chronic constipation,L1:Digestive_L2:Constipation,
4513,Digestive,Constipation,a3849221000006117,Chronic idiopathic constipation,L1:Digestive_L2:Constipation,
4514,Digestive,Constipation,a4786191000006112,Functional constipation,L1:Digestive_L2:Constipation,
4515,Digestive,Constipation,a4786201000006110,Constipation-functional,L1:Digestive_L2:Constipation,
4516,Digestive,Constipation,a484894013,Chronic constipation with overflow,L1:Digestive_L2:Constipation,
4517,Digestive,Constipation,a5086181000006116,Irritable bowel syndrome variant of childhood with constipation,L1:Digestive_L2:Constipation,
4518,Digestive,Constipation,a5089151000006118,Simple constipation,L1:Digestive_L2:Constipation,
4519,Digestive,Constipation,a5272771000006119,Constipation alternates with diarrhoea,L1:Digestive_L2:Constipation,
4520,Digestive,Constipation,a590101000006113,Constipation NOS,L1:Digestive_L2:Constipation,
4521,Digestive,Constipation,a590111000006111,Constipation symptom,L1:Digestive_L2:Constipation,
4522,Digestive,Constipation,a630451000006116,Drug-induced constipation,L1:Digestive_L2:Constipation,
4523,Digestive,Constipation,a6511401000006110,Constipation management,L1:Digestive_L2:Constipation,
4524,Digestive,Constipation,a661991000006115,Hard stool,L1:Digestive_L2:Constipation,
4525,Digestive,Constipation,a7159921000006114,Atonic constipation,L1:Digestive_L2:Constipation,
4526,Digestive,Constipation,a7171761000006117,Neurogenic constipation,L1:Digestive_L2:Constipation,
4527,Digestive,Constipation,a7240101000006111,Constipation predominant irritable bowel syndrome,L1:Digestive_L2:Constipation,
4528,Digestive,Constipation,a7275421000006117,Dietary education for constipation,L1:Digestive_L2:Constipation,
4529,Digestive,Constipation,a906171000006112,[RFC] Constipation,L1:Digestive_L2:Constipation,
4530,Digestive,Constipation,a909031000006119,[RFC] Constipation,L1:Digestive_L2:Constipation,
4531,Digestive,Constipation,a982721000006114,Constipation,L1:Digestive_L2:Constipation,
