Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4532,Digestive,Crohns_D,a1222351011,Crohn's disease NOS,L1:Digestive_L2:Crohns_D,
4533,Digestive,Crohns_D,a13765011000006113,Arthritis due to inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4534,Digestive,Crohns_D,a14614331000006112,Crohn's regional enteritis,L1:Digestive_L2:Crohns_D,
4535,Digestive,Crohns_D,a179501000006113,Crohn's regional enteritis,L1:Digestive_L2:Crohns_D,
4536,Digestive,Crohns_D,a2269891000000116,Management of inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4537,Digestive,Crohns_D,a2269901000000115,Management of IBD (inflammatory bowel disease),L1:Digestive_L2:Crohns_D,
4538,Digestive,Crohns_D,a2338581000000110,Dietary education for inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4539,Digestive,Crohns_D,a250025015,FH: Crohn's disease,L1:Digestive_L2:Crohns_D,
4540,Digestive,Crohns_D,a2532950019,Exacerbation of Crohn's disease of large intestine,L1:Digestive_L2:Crohns_D,
4541,Digestive,Crohns_D,a2532958014,Exacerbation of Crohn's disease of small intestine,L1:Digestive_L2:Crohns_D,
4542,Digestive,Crohns_D,a2559781000006115,Crohn's disease of rectum,L1:Digestive_L2:Crohns_D,
4543,Digestive,Crohns_D,a2559801000006116,Crohn's proctitis,L1:Digestive_L2:Crohns_D,
4544,Digestive,Crohns_D,a2601661000006118,Chronic inflammatory small bowel disease,L1:Digestive_L2:Crohns_D,
4545,Digestive,Crohns_D,a2621151000006116,Crohn disease of large bowel,L1:Digestive_L2:Crohns_D,
4546,Digestive,Crohns_D,a2621161000006119,"Crohns disease, large intestine",L1:Digestive_L2:Crohns_D,
4547,Digestive,Crohns_D,a2659581000000113,Signposting to Crohn's and Colitis UK,L1:Digestive_L2:Crohns_D,
4548,Digestive,Crohns_D,a2891431000006118,IBD - Inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4549,Digestive,Crohns_D,a302322010,Orofacial Crohn's disease,L1:Digestive_L2:Crohns_D,
4550,Digestive,Crohns_D,a302939018,Crohn's disease of the ileum unspecified,L1:Digestive_L2:Crohns_D,
4551,Digestive,Crohns_D,a302940016,Crohn's disease of ileum,L1:Digestive_L2:Crohns_D,
4552,Digestive,Crohns_D,a302941017,Crohn's disease of small intestine,L1:Digestive_L2:Crohns_D,
4553,Digestive,Crohns_D,a303761010,[X]Other Crohn's disease,L1:Digestive_L2:Crohns_D,
4554,Digestive,Crohns_D,a3047391000006119,CD - Crohn's disease,L1:Digestive_L2:Crohns_D,
4555,Digestive,Crohns_D,a3047411000006119,Crohn disease,L1:Digestive_L2:Crohns_D,
4556,Digestive,Crohns_D,a3047421000006110,Crohns disease,L1:Digestive_L2:Crohns_D,
4557,Digestive,Crohns_D,a309744019,Arthropathy in Crohn's disease,L1:Digestive_L2:Crohns_D,
4558,Digestive,Crohns_D,a309833017,Juvenile arthritis in Crohn's disease,L1:Digestive_L2:Crohns_D,
4559,Digestive,Crohns_D,a3113541000006111,Crohn's ileitis,L1:Digestive_L2:Crohns_D,
4560,Digestive,Crohns_D,a3113551000006113,Crohn disease of ileum,L1:Digestive_L2:Crohns_D,
4561,Digestive,Crohns_D,a3316751000006117,Crohn's disease of colon,L1:Digestive_L2:Crohns_D,
4562,Digestive,Crohns_D,a3316811000006110,"Crohns disease, colon",L1:Digestive_L2:Crohns_D,
4563,Digestive,Crohns_D,a3414681000006119,Crohn's disease of duodenum,L1:Digestive_L2:Crohns_D,
4564,Digestive,Crohns_D,a3420881000006117,Crohn disease of small intestine,L1:Digestive_L2:Crohns_D,
4565,Digestive,Crohns_D,a3420891000006119,"Crohns disease, small intestine",L1:Digestive_L2:Crohns_D,
4566,Digestive,Crohns_D,a3668441000006118,Crohn's disease of small AND large intestines,L1:Digestive_L2:Crohns_D,
4567,Digestive,Crohns_D,a396357012,Crohn's disease of large bowel,L1:Digestive_L2:Crohns_D,
4568,Digestive,Crohns_D,a41137017,Inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4569,Digestive,Crohns_D,a4530461000006117,Family history of Crohn's disease,L1:Digestive_L2:Crohns_D,
4570,Digestive,Crohns_D,a4784091000006115,Crohn's disease of oral soft tissues,L1:Digestive_L2:Crohns_D,
4571,Digestive,Crohns_D,a4784111000006112,Oral Crohn's disease,L1:Digestive_L2:Crohns_D,
4572,Digestive,Crohns_D,a4785581000006112,Crohn disease of terminal ileum,L1:Digestive_L2:Crohns_D,
4573,Digestive,Crohns_D,a4808981000006112,Arthropathy in Crohn disease,L1:Digestive_L2:Crohns_D,
4574,Digestive,Crohns_D,a4809351000006111,Juvenile arthritis in Crohn disease,L1:Digestive_L2:Crohns_D,
4575,Digestive,Crohns_D,a5073581000006111,Crohn's disease of gingivae,L1:Digestive_L2:Crohns_D,
4576,Digestive,Crohns_D,a5085621000006118,Perianal Crohn's disease,L1:Digestive_L2:Crohns_D,
4577,Digestive,Crohns_D,a5085631000006115,Perianal Crohn disease,L1:Digestive_L2:Crohns_D,
4578,Digestive,Crohns_D,a5139551000006114,Juvenile arthritis of inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4579,Digestive,Crohns_D,a5139611000006114,Seronegative arthritis secondary to inflammatory bowel disease,L1:Digestive_L2:Crohns_D,
4580,Digestive,Crohns_D,a5548921000006113,Crohn's disease activity index,L1:Digestive_L2:Crohns_D,
4581,Digestive,Crohns_D,a56765016,Crohn's disease,L1:Digestive_L2:Crohns_D,
4582,Digestive,Crohns_D,a601031000006119,CC - Crohn's colitis,L1:Digestive_L2:Crohns_D,
4583,Digestive,Crohns_D,a601091000006115,Crohn's disease of terminal ileum,L1:Digestive_L2:Crohns_D,
