Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4604,Digestive,Duodenal_Ulcer_without_haemorrhage,a101926016,Acute duodenal ulcer with perforation,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4605,Digestive,Duodenal_Ulcer_without_haemorrhage,a1235462014,Bleeding chronic duodenal ulcer,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4606,Digestive,Duodenal_Ulcer_without_haemorrhage,a13773141000006115,Ulcer of duodenum,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4607,Digestive,Duodenal_Ulcer_without_haemorrhage,a1562941000006111,Duodenal ulcer caused by non-steroidal anti-inflammatory drug,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4608,Digestive,Duodenal_Ulcer_without_haemorrhage,a206556016,Chronic duodenal ulcer,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4609,Digestive,Duodenal_Ulcer_without_haemorrhage,a2649534015,Anti-platelet induced duodenal ulcer,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4610,Digestive,Duodenal_Ulcer_without_haemorrhage,a269374017,Closure of perforated duodenal ulcer,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4611,Digestive,Duodenal_Ulcer_without_haemorrhage,a2709491000006117,Gastroduodenal ulcer,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4612,Digestive,Duodenal_Ulcer_without_haemorrhage,a302502012,Acute duodenal ulcer,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4613,Digestive,Duodenal_Ulcer_without_haemorrhage,a302504013,Acute duodenal ulcer without mention of complication,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
4614,Digestive,Duodenal_Ulcer_without_haemorrhage,a302511012,Acute duodenal ulcer with obstruction,L1:Digestive_L2:Duodenal_Ulcer_without_haemorrhage,
