Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4752,Digestive,Gastric_Ulcer,a110704012,Acute gastrojejunal ulcer with perforation,L1:Digestive_L2:Gastric_Ulcer,
4753,Digestive,Gastric_Ulcer,a1231704018,Bleeding chronic gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4754,Digestive,Gastric_Ulcer,a1235493010,Bleeding acute gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4755,Digestive,Gastric_Ulcer,a131281018,Acute peptic ulcer with perforation,L1:Digestive_L2:Gastric_Ulcer,
4756,Digestive,Gastric_Ulcer,a1562921000006116,Non-steroidal anti-inflammatory drug induced gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4757,Digestive,Gastric_Ulcer,a158227015,Acute gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4758,Digestive,Gastric_Ulcer,a158231014,Chronic gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4759,Digestive,Gastric_Ulcer,a206557013,Chronic peptic ulcer,L1:Digestive_L2:Gastric_Ulcer,
4760,Digestive,Gastric_Ulcer,a206558015,Chronic gastrojejunal ulcer,L1:Digestive_L2:Gastric_Ulcer,
4761,Digestive,Gastric_Ulcer,a221001000000111,Gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4762,Digestive,Gastric_Ulcer,a221011000000113,Gastrojejunal ulcer,L1:Digestive_L2:Gastric_Ulcer,
4763,Digestive,Gastric_Ulcer,a252563014,Peptic ulcer symptoms,L1:Digestive_L2:Gastric_Ulcer,
4764,Digestive,Gastric_Ulcer,a2649532016,Anti-platelet induced gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4765,Digestive,Gastric_Ulcer,a269116019,Resection of gastric ulcer by cautery,L1:Digestive_L2:Gastric_Ulcer,
4766,Digestive,Gastric_Ulcer,a269310018,Closure of perforated gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4767,Digestive,Gastric_Ulcer,a2709501000006113,Peptic ulcer disease,L1:Digestive_L2:Gastric_Ulcer,
4768,Digestive,Gastric_Ulcer,a2709511000006111,Peptic ulceration,L1:Digestive_L2:Gastric_Ulcer,
4769,Digestive,Gastric_Ulcer,a301023012,Acute ulcerative pharyngitis,L1:Digestive_L2:Gastric_Ulcer,
4770,Digestive,Gastric_Ulcer,a302463015,Acute gastric ulcer without mention of complication,L1:Digestive_L2:Gastric_Ulcer,
4771,Digestive,Gastric_Ulcer,a302471016,Acute gastric ulcer unspecified,L1:Digestive_L2:Gastric_Ulcer,
4772,Digestive,Gastric_Ulcer,a302472011,Acute gastric ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4773,Digestive,Gastric_Ulcer,a302473018,Chronic gastric ulcer without mention of complication,L1:Digestive_L2:Gastric_Ulcer,
4774,Digestive,Gastric_Ulcer,a302481017,Chronic gastric ulcer with obstruction,L1:Digestive_L2:Gastric_Ulcer,
4775,Digestive,Gastric_Ulcer,a302482012,Chronic gastric ulcer unspecified,L1:Digestive_L2:Gastric_Ulcer,
4776,Digestive,Gastric_Ulcer,a302483019,Chronic gastric ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4777,Digestive,Gastric_Ulcer,a302485014,Unspecified gastric ulcer,L1:Digestive_L2:Gastric_Ulcer,
4778,Digestive,Gastric_Ulcer,a302486010,Unspecified gastric ulcer without mention of complication,L1:Digestive_L2:Gastric_Ulcer,
4779,Digestive,Gastric_Ulcer,a302487018,Gastric ulcer with haemorrhage,L1:Digestive_L2:Gastric_Ulcer,
4780,Digestive,Gastric_Ulcer,a302489015,Gastric ulcer with perforation,L1:Digestive_L2:Gastric_Ulcer,
4781,Digestive,Gastric_Ulcer,a302495019,Unspecified gastric ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4782,Digestive,Gastric_Ulcer,a302546016,Acute peptic ulcer,L1:Digestive_L2:Gastric_Ulcer,
4783,Digestive,Gastric_Ulcer,a302547013,Acute peptic ulcer without mention of complication,L1:Digestive_L2:Gastric_Ulcer,
4784,Digestive,Gastric_Ulcer,a302554019,Acute peptic ulcer unspecified,L1:Digestive_L2:Gastric_Ulcer,
4785,Digestive,Gastric_Ulcer,a302555018,Acute peptic ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4786,Digestive,Gastric_Ulcer,a302556017,Chronic peptic ulcer without mention of complication,L1:Digestive_L2:Gastric_Ulcer,
4787,Digestive,Gastric_Ulcer,a302562010,Chronic peptic ulcer with obstruction,L1:Digestive_L2:Gastric_Ulcer,
4788,Digestive,Gastric_Ulcer,a302563017,Chronic peptic ulcer unspecified,L1:Digestive_L2:Gastric_Ulcer,
4789,Digestive,Gastric_Ulcer,a302564011,Chronic peptic ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4790,Digestive,Gastric_Ulcer,a302565012,Unspecified peptic ulcer,L1:Digestive_L2:Gastric_Ulcer,
4791,Digestive,Gastric_Ulcer,a302566013,Unspecified peptic ulcer without mention of complication,L1:Digestive_L2:Gastric_Ulcer,
4792,Digestive,Gastric_Ulcer,a302568014,Unspecified peptic ulcer with haemorrhage,L1:Digestive_L2:Gastric_Ulcer,
4793,Digestive,Gastric_Ulcer,a302569018,Unspecified peptic ulcer with perforation,L1:Digestive_L2:Gastric_Ulcer,
4794,Digestive,Gastric_Ulcer,a302575010,Unspecified peptic ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4795,Digestive,Gastric_Ulcer,a302576011,Peptic ulcer NOS,L1:Digestive_L2:Gastric_Ulcer,
4796,Digestive,Gastric_Ulcer,a302585011,Acute gastrojejunal ulcer,L1:Digestive_L2:Gastric_Ulcer,
