Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4830,Digestive,Gastritis,a1227775018,[V]Dietary counselling in gastritis,L1:Digestive_L2:Gastritis,
4831,Digestive,Gastritis,a123494017,Toxic gastritis,L1:Digestive_L2:Gastritis,
4832,Digestive,Gastritis,a15005019,Chronic gastritis,L1:Digestive_L2:Gastritis,
4833,Digestive,Gastritis,a222841000000112,Helicobacter gastritis,L1:Digestive_L2:Gastritis,
4834,Digestive,Gastritis,a302619015,Chronic atrophic gastritis,L1:Digestive_L2:Gastritis,
4835,Digestive,Gastritis,a302621013,Chronic superficial gastritis,L1:Digestive_L2:Gastritis,
4836,Digestive,Gastritis,a302623011,Chronic gastritis NOS,L1:Digestive_L2:Gastritis,
4837,Digestive,Gastritis,a302624017,Other specified gastritis,L1:Digestive_L2:Gastritis,
4838,Digestive,Gastritis,a302630017,Corrosive gastritis,L1:Digestive_L2:Gastritis,
4839,Digestive,Gastritis,a302632013,Other specified gastritis NOS,L1:Digestive_L2:Gastritis,
4840,Digestive,Gastritis,a302633015,Gastritis,L1:Digestive_L2:Gastritis,
4841,Digestive,Gastritis,a303004012,Radiation gastritis,L1:Digestive_L2:Gastritis,
4842,Digestive,Gastritis,a303032015,Dietetic gastritis,L1:Digestive_L2:Gastritis,
4843,Digestive,Gastritis,a303048019,Non-infective gastritis NOS,L1:Digestive_L2:Gastritis,
4844,Digestive,Gastritis,a303749019,[X]Other acute gastritis,L1:Digestive_L2:Gastritis,
4845,Digestive,Gastritis,a303750019,[X]Other gastritis,L1:Digestive_L2:Gastritis,
4846,Digestive,Gastritis,a3324121000006113,Nonerosive nonspecific gastritis,L1:Digestive_L2:Gastritis,
4847,Digestive,Gastritis,a3347941000006111,Gastritis medicamentosa,L1:Digestive_L2:Gastritis,
4848,Digestive,Gastritis,a3433331000006119,Reflux gastritis,L1:Digestive_L2:Gastritis,
4849,Digestive,Gastritis,a3474431000006110,Hypertrophic gastritis,L1:Digestive_L2:Gastritis,
4850,Digestive,Gastritis,a3578621000006111,Eosinophilic gastritis,L1:Digestive_L2:Gastritis,
4851,Digestive,Gastritis,a3686761000006111,Bile-induced gastritis,L1:Digestive_L2:Gastritis,
4852,Digestive,Gastritis,a3686771000006116,Biliary gastritis,L1:Digestive_L2:Gastritis,
4853,Digestive,Gastritis,a3686781000006118,Bile reflux gastritis,L1:Digestive_L2:Gastritis,
4854,Digestive,Gastritis,a3875631000006116,Atrophic gastritis,L1:Digestive_L2:Gastritis,
4855,Digestive,Gastritis,a3875671000006118,Autoimmune gastritis,L1:Digestive_L2:Gastritis,
4856,Digestive,Gastritis,a3959551000006119,Chronic antral gastritis,L1:Digestive_L2:Gastritis,
4857,Digestive,Gastritis,a4151013,Allergic gastritis,L1:Digestive_L2:Gastritis,
4858,Digestive,Gastritis,a42686017,Acute gastritis,L1:Digestive_L2:Gastritis,
4859,Digestive,Gastritis,a4510691000006118,Pangastritis,L1:Digestive_L2:Gastritis,
4860,Digestive,Gastritis,a4525015,Alcoholic gastritis,L1:Digestive_L2:Gastritis,
4861,Digestive,Gastritis,a478553011,Acute haemorrhagic gastritis,L1:Digestive_L2:Gastritis,
4862,Digestive,Gastritis,a5083841000006113,Infective gastritis,L1:Digestive_L2:Gastritis,
4863,Digestive,Gastritis,a5083851000006110,Reactive gastritis,L1:Digestive_L2:Gastritis,
4864,Digestive,Gastritis,a511831000006115,Alkaline reflux gastritis,L1:Digestive_L2:Gastritis,
4865,Digestive,Gastritis,a554831000006112,Chronic inflammatory gastritis,L1:Digestive_L2:Gastritis,
4866,Digestive,Gastritis,a5700141000006112,Viral gastritis,L1:Digestive_L2:Gastritis,
4867,Digestive,Gastritis,a70968018,Irritant gastritis,L1:Digestive_L2:Gastritis,
4868,Digestive,Gastritis,a7300131000006119,Acute erosive gastritis,L1:Digestive_L2:Gastritis,
4869,Digestive,Gastritis,a7629571000006117,Helicobacter pylori-associated gastritis,L1:Digestive_L2:Gastritis,
4870,Digestive,Gastritis,a819571000006118,Helicobacter-associated gastritis,L1:Digestive_L2:Gastritis,
4871,Digestive,Gastritis,a8465561000006113,Erosive gastritis,L1:Digestive_L2:Gastritis,
4872,Digestive,Gastritis,a886021000006118,Chronic (atrophic) gastritis,L1:Digestive_L2:Gastritis,
