Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4916,Digestive,Irritable_Bowel_Syndrome,a18665016,Spastic colon,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4917,Digestive,Irritable_Bowel_Syndrome,a18666015,Irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4918,Digestive,Irritable_Bowel_Syndrome,a1927491000006111,Irritable bowel syndrome characterised by alternating bowel habit,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4919,Digestive,Irritable_Bowel_Syndrome,a1937081000006116,Suspected irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4920,Digestive,Irritable_Bowel_Syndrome,a2129721000000119,Management of irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4921,Digestive,Irritable_Bowel_Syndrome,a2346441000000118,Dietary education for irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4922,Digestive,Irritable_Bowel_Syndrome,a2670821000006113,Irritable colon,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4923,Digestive,Irritable_Bowel_Syndrome,a2670871000006114,Mucous colitis,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4924,Digestive,Irritable_Bowel_Syndrome,a2670881000006112,Colon spasm,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4925,Digestive,Irritable_Bowel_Syndrome,a2670911000006112,IBS - Irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4926,Digestive,Irritable_Bowel_Syndrome,a2670921000006116,Irritable bowel,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4927,Digestive,Irritable_Bowel_Syndrome,a2791650019,Irritable bowel syndrome characterised by constipation,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4928,Digestive,Irritable_Bowel_Syndrome,a303071000000118,History of irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4929,Digestive,Irritable_Bowel_Syndrome,a303172010,Irritable bowel syndrome with diarrhoea,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4930,Digestive,Irritable_Bowel_Syndrome,a3271281000006114,Anastomosis of colon to anal canal,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4931,Digestive,Irritable_Bowel_Syndrome,a4786241000006112,Irritable bowel syndrome with diarrhea,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4932,Digestive,Irritable_Bowel_Syndrome,a5086151000006112,Irritable bowel syndrome variant of childhood,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4933,Digestive,Irritable_Bowel_Syndrome,a5086161000006114,Irritable bowel syndrome variant of childhood with diarrhoea,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4934,Digestive,Irritable_Bowel_Syndrome,a5086181000006116,Irritable bowel syndrome variant of childhood with constipation,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4935,Digestive,Irritable_Bowel_Syndrome,a696071000006114,Mucous colitis and/or proctitis,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4936,Digestive,Irritable_Bowel_Syndrome,a7240101000006111,Constipation predominant irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4937,Digestive,Irritable_Bowel_Syndrome,a742351000006119,Irritable colon - Irritable bowel syndrome,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4938,Digestive,Irritable_Bowel_Syndrome,a8460301000006111,Irritable Bowel Syndrome - Symptom Severity Scale score,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4939,Digestive,Irritable_Bowel_Syndrome,a886361000006114,Irritable bowel - IBS,L1:Digestive_L2:Irritable_Bowel_Syndrome,
4940,Digestive,Irritable_Bowel_Syndrome,a906181000006110,[RFC] Irritable bowel syndrome (IBS),L1:Digestive_L2:Irritable_Bowel_Syndrome,
