Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
4941,Digestive,Liver_Disease,a103853010,Hepatic fibrosis,L1:Digestive_L2:Liver_Disease,
4942,Digestive,Liver_Disease,a109733012,Serum hepatitis,L1:Digestive_L2:Liver_Disease,
4943,Digestive,Liver_Disease,a11267010,Indian childhood cirrhosis,L1:Digestive_L2:Liver_Disease,
4944,Digestive,Liver_Disease,a1137511000000111,History of viral hepatitis,L1:Digestive_L2:Liver_Disease,
4945,Digestive,Liver_Disease,a114801000006118,Tanner devascularisation for bleeding varices,L1:Digestive_L2:Liver_Disease,
4946,Digestive,Liver_Disease,a1216060010,Oesophageal varices with bleeding,L1:Digestive_L2:Liver_Disease,
4947,Digestive,Liver_Disease,a122921000006118,Subacute hepatitis - noninfective,L1:Digestive_L2:Liver_Disease,
4948,Digestive,Liver_Disease,a1232261014,Chronic viral hepatitis B,L1:Digestive_L2:Liver_Disease,
4949,Digestive,Liver_Disease,a123999018,Congestive cirrhosis,L1:Digestive_L2:Liver_Disease,
4950,Digestive,Liver_Disease,a126721013,Florid cirrhosis,L1:Digestive_L2:Liver_Disease,
4951,Digestive,Liver_Disease,a127487019,Chronic hepatitis,L1:Digestive_L2:Liver_Disease,
4952,Digestive,Liver_Disease,a132070012,Congenital hepatic fibrosis,L1:Digestive_L2:Liver_Disease,
4953,Digestive,Liver_Disease,a14146411000006112,Oesophageal varices due to cirrhosis of liver,L1:Digestive_L2:Liver_Disease,
4954,Digestive,Liver_Disease,a14146421000006116,Oesophageal varices due to cirrhosis of liver caused by alcohol,L1:Digestive_L2:Liver_Disease,
4955,Digestive,Liver_Disease,a1483086017,Ascites,L1:Digestive_L2:Liver_Disease,
4956,Digestive,Liver_Disease,a1488891017,Hepatitis C viral load,L1:Digestive_L2:Liver_Disease,
4957,Digestive,Liver_Disease,a150964016,Gastric varices,L1:Digestive_L2:Liver_Disease,
4958,Digestive,Liver_Disease,a1544611000006117,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,L1:Digestive_L2:Liver_Disease,
4959,Digestive,Liver_Disease,a163571000006112,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope,L1:Digestive_L2:Liver_Disease,
4960,Digestive,Liver_Disease,a1680591000006117,Chronic hepatitis annual review - enhanced services admin,L1:Digestive_L2:Liver_Disease,
4961,Digestive,Liver_Disease,a1736361000000112,Cystic fibrosis related cirrhosis,L1:Digestive_L2:Liver_Disease,
4962,Digestive,Liver_Disease,a17390014,Acute alcoholic hepatitis,L1:Digestive_L2:Liver_Disease,
4963,Digestive,Liver_Disease,a1761241000006114,[SHHAPT] Viral hepatitis B (HbsAg positive) - first diagnosis,L1:Digestive_L2:Liver_Disease,
4964,Digestive,Liver_Disease,a1761261000006113,[SHHAPT] Viral hepatitis A - acute infection,L1:Digestive_L2:Liver_Disease,
4965,Digestive,Liver_Disease,a1786709019,Pigmentary cirrhosis of liver,L1:Digestive_L2:Liver_Disease,
4966,Digestive,Liver_Disease,a17930015,Chronic viral hepatitis,L1:Digestive_L2:Liver_Disease,
4967,Digestive,Liver_Disease,a1814911000006116,Acute viral hepatitis,L1:Digestive_L2:Liver_Disease,
4968,Digestive,Liver_Disease,a1879891000006111,Non-alcoholic fatty liver disease (NAFLD) fibrosis score,L1:Digestive_L2:Liver_Disease,
4969,Digestive,Liver_Disease,a211821000006111,Postnecrotic cirrhosis of liver,L1:Digestive_L2:Liver_Disease,
4970,Digestive,Liver_Disease,a21289010,Secondary biliary cirrhosis,L1:Digestive_L2:Liver_Disease,
4971,Digestive,Liver_Disease,a2155841000000118,12 week virologic response to hepatitis C treatment,L1:Digestive_L2:Liver_Disease,
4972,Digestive,Liver_Disease,a2156971000000110,H/O hepatitis C antiviral drug therapy,L1:Digestive_L2:Liver_Disease,
4973,Digestive,Liver_Disease,a2157051000000119,On hepatitis C treatment plan,L1:Digestive_L2:Liver_Disease,
4974,Digestive,Liver_Disease,a221111000000114,Cirrhosis - non-alcoholic,L1:Digestive_L2:Liver_Disease,
4975,Digestive,Liver_Disease,a221131000000118,Hepatic encephalopathy,L1:Digestive_L2:Liver_Disease,
4976,Digestive,Liver_Disease,a222881000000116,Viral infectious hepatitis A,L1:Digestive_L2:Liver_Disease,
4977,Digestive,Liver_Disease,a222891000000119,Infectious hepatitis,L1:Digestive_L2:Liver_Disease,
4978,Digestive,Liver_Disease,a226161000006113,Pipe-stem portal cirrhosis,L1:Digestive_L2:Liver_Disease,
4979,Digestive,Liver_Disease,a24192017,Oesophageal varices without bleeding,L1:Digestive_L2:Liver_Disease,
4980,Digestive,Liver_Disease,a2475553015,Hepatitis in cytomegalic inclusion virus,L1:Digestive_L2:Liver_Disease,
4981,Digestive,Liver_Disease,a250311000006112,Percutaneous drainage of ascites,L1:Digestive_L2:Liver_Disease,
4982,Digestive,Liver_Disease,a251732011,H/O: liver disease,L1:Digestive_L2:Liver_Disease,
4983,Digestive,Liver_Disease,a2534188017,Acute hepatic failure due to drugs,L1:Digestive_L2:Liver_Disease,
4984,Digestive,Liver_Disease,a254454013,O/E - ascites,L1:Digestive_L2:Liver_Disease,
4985,Digestive,Liver_Disease,a254456010,O/E - ascites - dipping shown,L1:Digestive_L2:Liver_Disease,
4986,Digestive,Liver_Disease,a254457018,O/E-ascites-fluid thrill shown,L1:Digestive_L2:Liver_Disease,
4987,Digestive,Liver_Disease,a254458011,O/E -ascites-shifting dullness,L1:Digestive_L2:Liver_Disease,
4988,Digestive,Liver_Disease,a254459015,O/E - ascites NOS,L1:Digestive_L2:Liver_Disease,
4989,Digestive,Liver_Disease,a2576980018,Portal cirrhosis,L1:Digestive_L2:Liver_Disease,
4990,Digestive,Liver_Disease,a2579818016,Laennec's cirrhosis,L1:Digestive_L2:Liver_Disease,
4991,Digestive,Liver_Disease,a264430018,Requires a course of hepatitis B,L1:Digestive_L2:Liver_Disease,
4992,Digestive,Liver_Disease,a2675247013,Liver disease due to cystic fibrosis,L1:Digestive_L2:Liver_Disease,
4993,Digestive,Liver_Disease,a268812014,Open operations on oesophageal varices,L1:Digestive_L2:Liver_Disease,
4994,Digestive,Liver_Disease,a268819017,Open injection sclerotherapy to oesophageal varices,L1:Digestive_L2:Liver_Disease,
4995,Digestive,Liver_Disease,a268827014,Open operation on oesophageal varices NOS,L1:Digestive_L2:Liver_Disease,
4996,Digestive,Liver_Disease,a268885015,Fibreoptic endoscopic banding of oesophageal varices,L1:Digestive_L2:Liver_Disease,
4997,Digestive,Liver_Disease,a268957016,Rigid oesophagoscopic banding of oesophageal varices,L1:Digestive_L2:Liver_Disease,
4998,Digestive,Liver_Disease,a2693857014,History of hepatitis B,L1:Digestive_L2:Liver_Disease,
4999,Digestive,Liver_Disease,a2704151000006118,Varices,L1:Digestive_L2:Liver_Disease,
5000,Digestive,Liver_Disease,a275541010,Drainage of ascites,L1:Digestive_L2:Liver_Disease,
5001,Digestive,Liver_Disease,a2781011000006119,Bleeding oesophageal varices,L1:Digestive_L2:Liver_Disease,
5002,Digestive,Liver_Disease,a2781021000006110,Bleeding esophageal varices,L1:Digestive_L2:Liver_Disease,
5003,Digestive,Liver_Disease,a2816671000006112,Hepatic cirrhosis,L1:Digestive_L2:Liver_Disease,
5004,Digestive,Liver_Disease,a2816681000006110,CL - Cirrhosis of liver,L1:Digestive_L2:Liver_Disease,
5005,Digestive,Liver_Disease,a2819666013,Nonalcoholic steatohepatitis,L1:Digestive_L2:Liver_Disease,
5006,Digestive,Liver_Disease,a2847631000006117,Micronodular cirrhosis,L1:Digestive_L2:Liver_Disease,
5007,Digestive,Liver_Disease,a286871011,Viral hepatitis C,L1:Digestive_L2:Liver_Disease,
5008,Digestive,Liver_Disease,a286879013,Chronic viral hepatitis B without delta-agent,L1:Digestive_L2:Liver_Disease,
5009,Digestive,Liver_Disease,a286882015,Unspecified viral hepatitis,L1:Digestive_L2:Liver_Disease,
5010,Digestive,Liver_Disease,a286985017,Cytomegaloviral hepatitis,L1:Digestive_L2:Liver_Disease,
5011,Digestive,Liver_Disease,a288168013,[X]Other specified acute viral hepatitis,L1:Digestive_L2:Liver_Disease,
5012,Digestive,Liver_Disease,a288170016,"[X]Chronic viral hepatitis, unspecified",L1:Digestive_L2:Liver_Disease,
5013,Digestive,Liver_Disease,a2896171000006116,Bleeding gastric varices,L1:Digestive_L2:Liver_Disease,
5014,Digestive,Liver_Disease,a2901091000006115,Acute type A viral hepatitis,L1:Digestive_L2:Liver_Disease,
5015,Digestive,Liver_Disease,a2901111000006112,Acute hepatitis A,L1:Digestive_L2:Liver_Disease,
5016,Digestive,Liver_Disease,a293605014,Alpha-1-antitrypsin hepatitis,L1:Digestive_L2:Liver_Disease,
5017,Digestive,Liver_Disease,a2960621000006118,Esophageal varices,L1:Digestive_L2:Liver_Disease,
5018,Digestive,Liver_Disease,a2960631000006115,OV - Oesophageal varices,L1:Digestive_L2:Liver_Disease,
5019,Digestive,Liver_Disease,a300775019,Oesophageal varices in diseases EC,L1:Digestive_L2:Liver_Disease,
5020,Digestive,Liver_Disease,a300776018,Oesophageal varices with bleeding in diseases EC,L1:Digestive_L2:Liver_Disease,
5021,Digestive,Liver_Disease,a300779013,Oesophageal varices without bleeding in diseases EC,L1:Digestive_L2:Liver_Disease,
5022,Digestive,Liver_Disease,a300784019,Oesophageal varices in diseases EC NOS,L1:Digestive_L2:Liver_Disease,
5023,Digestive,Liver_Disease,a300993011,[X]Oesophageal varices in diseases classified elsewhere,L1:Digestive_L2:Liver_Disease,
5024,Digestive,Liver_Disease,a303381014,Acute hepatic failure,L1:Digestive_L2:Liver_Disease,
5025,Digestive,Liver_Disease,a303388015,Subacute hepatic failure,L1:Digestive_L2:Liver_Disease,
5026,Digestive,Liver_Disease,a303393017,Cirrhosis and chronic liver disease,L1:Digestive_L2:Liver_Disease,
5027,Digestive,Liver_Disease,a303399018,Alcoholic liver damage,L1:Digestive_L2:Liver_Disease,
5028,Digestive,Liver_Disease,a303401012,Chronic active hepatitis,L1:Digestive_L2:Liver_Disease,
5029,Digestive,Liver_Disease,a303407011,Recurrent hepatitis,L1:Digestive_L2:Liver_Disease,
5030,Digestive,Liver_Disease,a303409014,Chronic hepatitis unspecified,L1:Digestive_L2:Liver_Disease,
5031,Digestive,Liver_Disease,a303410016,Chronic hepatitis NOS,L1:Digestive_L2:Liver_Disease,
