Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5209,Digestive,Ulcerative_Colitis,a107644019,Ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5210,Digestive,Ulcerative_Colitis,a13765011000006113,Arthritis due to inflammatory bowel disease,L1:Digestive_L2:Ulcerative_Colitis,
5211,Digestive,Ulcerative_Colitis,a14195011000006119,Acute ulcerative pancolitis,L1:Digestive_L2:Ulcerative_Colitis,
5212,Digestive,Ulcerative_Colitis,a1816421000006112,Left sided ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5213,Digestive,Ulcerative_Colitis,a2269891000000116,Management of inflammatory bowel disease,L1:Digestive_L2:Ulcerative_Colitis,
5214,Digestive,Ulcerative_Colitis,a2269901000000115,Management of IBD (inflammatory bowel disease),L1:Digestive_L2:Ulcerative_Colitis,
5215,Digestive,Ulcerative_Colitis,a2338581000000110,Dietary education for inflammatory bowel disease,L1:Digestive_L2:Ulcerative_Colitis,
5216,Digestive,Ulcerative_Colitis,a2532953017,Exacerbation of ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5217,Digestive,Ulcerative_Colitis,a2601661000006118,Chronic inflammatory small bowel disease,L1:Digestive_L2:Ulcerative_Colitis,
5218,Digestive,Ulcerative_Colitis,a2659581000000113,Signposting to Crohn's and Colitis UK,L1:Digestive_L2:Ulcerative_Colitis,
5219,Digestive,Ulcerative_Colitis,a2726621000006117,Severe chronic ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5220,Digestive,Ulcerative_Colitis,a2872721013,Ulcerative pancolitis,L1:Digestive_L2:Ulcerative_Colitis,
5221,Digestive,Ulcerative_Colitis,a2891431000006118,IBD - Inflammatory bowel disease,L1:Digestive_L2:Ulcerative_Colitis,
5222,Digestive,Ulcerative_Colitis,a302953018,Ulcerative ileocolitis,L1:Digestive_L2:Ulcerative_Colitis,
5223,Digestive,Ulcerative_Colitis,a302956014,Ulcerative proctocolitis NOS,L1:Digestive_L2:Ulcerative_Colitis,
5224,Digestive,Ulcerative_Colitis,a303762015,[X]Other ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5225,Digestive,Ulcerative_Colitis,a309743013,Arthropathy in ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5226,Digestive,Ulcerative_Colitis,a309836013,Juvenile arthritis in ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5227,Digestive,Ulcerative_Colitis,a3132961000006117,Infective colitis,L1:Digestive_L2:Ulcerative_Colitis,
5228,Digestive,Ulcerative_Colitis,a3346671000006113,Chronic ulcerative proctitis,L1:Digestive_L2:Ulcerative_Colitis,
5229,Digestive,Ulcerative_Colitis,a3346691000006114,Ulcerative colitis confined to rectum,L1:Digestive_L2:Ulcerative_Colitis,
5230,Digestive,Ulcerative_Colitis,a3351321000006113,Chronic ulcerative proctosigmoiditis,L1:Digestive_L2:Ulcerative_Colitis,
5231,Digestive,Ulcerative_Colitis,a3351341000006118,Ulcerative colitis confined to rectum and sigmoid colon,L1:Digestive_L2:Ulcerative_Colitis,
5232,Digestive,Ulcerative_Colitis,a3351351000006116,Ulcerative proctosigmoiditis,L1:Digestive_L2:Ulcerative_Colitis,
5233,Digestive,Ulcerative_Colitis,a3553391000006113,UC - Ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5234,Digestive,Ulcerative_Colitis,a3774141000006118,Mild chronic ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5235,Digestive,Ulcerative_Colitis,a3780301000006118,Moderate chronic ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
5236,Digestive,Ulcerative_Colitis,a41137017,Inflammatory bowel disease,L1:Digestive_L2:Ulcerative_Colitis,
5237,Digestive,Ulcerative_Colitis,a411543016,H/O: ulcerative colitis,L1:Digestive_L2:Ulcerative_Colitis,
