Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5256,Eating_disorders,Eating_disorders,a1008791000006115,PHQ9 score - poor appetite or overeating,L1:Eating_disorders_L2:Eating_disorders,
5257,Eating_disorders,Eating_disorders,a1222496015,Bulimia,L1:Eating_disorders_L2:Eating_disorders,
5258,Eating_disorders,Eating_disorders,a12717671000006110,[D]Anorexia,L1:Eating_disorders_L2:Eating_disorders,
5259,Eating_disorders,Eating_disorders,a14071291000006115,Psychogenic cyclical vomiting,L1:Eating_disorders_L2:Eating_disorders,
5260,Eating_disorders,Eating_disorders,a14232971000006112,Group CBT-ED (cognitive behavioural therapy for eating disorder),L1:Eating_disorders_L2:Eating_disorders,
5261,Eating_disorders,Eating_disorders,a1600671000000113,Eating disorder examination questionnaire,L1:Eating_disorders_L2:Eating_disorders,
5262,Eating_disorders,Eating_disorders,a1620911000006112,Eating disorders,L1:Eating_disorders_L2:Eating_disorders,
5263,Eating_disorders,Eating_disorders,a1664151000006114,Seen in eating disorders clinic,L1:Eating_disorders_L2:Eating_disorders,
5264,Eating_disorders,Eating_disorders,a1752331000006111,EDE-Q (eating disorder examination questionnaire) restraint subscale score,L1:Eating_disorders_L2:Eating_disorders,
5265,Eating_disorders,Eating_disorders,a1752341000006118,EDE-Q (eating disorder examination questionnaire) eating concern subscale score,L1:Eating_disorders_L2:Eating_disorders,
5266,Eating_disorders,Eating_disorders,a1752351000006116,EDE-Q (eating disorder examination questionnaire) shape concern subscale score,L1:Eating_disorders_L2:Eating_disorders,
5267,Eating_disorders,Eating_disorders,a1752361000006119,EDE-Q (eating disorder examination questionnaire) weight concern subscale score,L1:Eating_disorders_L2:Eating_disorders,
5268,Eating_disorders,Eating_disorders,a1764491000006116,Referral to eating disorders outreach clinic,L1:Eating_disorders_L2:Eating_disorders,
5269,Eating_disorders,Eating_disorders,a1776641000006112,Reason for referral: Eating Disorder,L1:Eating_disorders_L2:Eating_disorders,
5270,Eating_disorders,Eating_disorders,a1780181019,Referral to eating disorders clinic,L1:Eating_disorders_L2:Eating_disorders,
5271,Eating_disorders,Eating_disorders,a1911761000006111,FACE CARAS - Eating Disorder Schedule (FEDS),L1:Eating_disorders_L2:Eating_disorders,
5272,Eating_disorders,Eating_disorders,a2159265012,Nocturnal sleep-related eating disorder,L1:Eating_disorders_L2:Eating_disorders,
5273,Eating_disorders,Eating_disorders,a2308361000000115,Suspected binge eating disorder,L1:Eating_disorders_L2:Eating_disorders,
5274,Eating_disorders,Eating_disorders,a2451711000000111,Eating disorder care plan,L1:Eating_disorders_L2:Eating_disorders,
5275,Eating_disorders,Eating_disorders,a251631011,H/O: anorexia nervosa,L1:Eating_disorders_L2:Eating_disorders,
5276,Eating_disorders,Eating_disorders,a2652391000000113,Signposting to Beat (beating eating disorders) support group,L1:Eating_disorders_L2:Eating_disorders,
5277,Eating_disorders,Eating_disorders,a2884285013,Eating disorder examination questionnaire score,L1:Eating_disorders_L2:Eating_disorders,
5278,Eating_disorders,Eating_disorders,a295436010,Other and unspecified non-organic eating disorders,L1:Eating_disorders_L2:Eating_disorders,
5279,Eating_disorders,Eating_disorders,a295437018,Unspecified non-organic eating disorder,L1:Eating_disorders_L2:Eating_disorders,
5280,Eating_disorders,Eating_disorders,a295442014,Psychogenic vomiting,L1:Eating_disorders_L2:Eating_disorders,
5281,Eating_disorders,Eating_disorders,a295451018,Other specified non-organic eating disorder,L1:Eating_disorders_L2:Eating_disorders,
5282,Eating_disorders,Eating_disorders,a295452013,Non-organic eating disorder NOS,L1:Eating_disorders_L2:Eating_disorders,
