Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5354,Genitourinary ,Benign_Prostatic_Hypertrophy,a11851221000006114,BPH - benign prostatic hyperplasia,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5355,Genitourinary ,Benign_Prostatic_Hypertrophy,a14197491000006114,Benign prostatic hyperplasia with outflow obstruction,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5356,Genitourinary ,Benign_Prostatic_Hypertrophy,a152797018,Benign neoplasm of prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5357,Genitourinary ,Benign_Prostatic_Hypertrophy,a1936171000006116,H/O: benign prostatic hypertrophy,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5358,Genitourinary ,Benign_Prostatic_Hypertrophy,a19794011,Prostatism,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5359,Genitourinary ,Benign_Prostatic_Hypertrophy,a203421000006110,Prostatism,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5360,Genitourinary ,Benign_Prostatic_Hypertrophy,a251774018,H/O: prostatism,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5361,Genitourinary ,Benign_Prostatic_Hypertrophy,a256409010,Prostatic hypertrophy risk score,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5362,Genitourinary ,Benign_Prostatic_Hypertrophy,a279031000006110,O/E - PR - Diffusely enlarged prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5363,Genitourinary ,Benign_Prostatic_Hypertrophy,a304382014,Hyperplasia of prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5364,Genitourinary ,Benign_Prostatic_Hypertrophy,a304383016,Prostatic hyperplasia of the lateral lobe,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5365,Genitourinary ,Benign_Prostatic_Hypertrophy,a304384010,Prostatic hyperplasia of the medial lobe,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5366,Genitourinary ,Benign_Prostatic_Hypertrophy,a304385011,Prostatic hyperplasia NOS,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5367,Genitourinary ,Benign_Prostatic_Hypertrophy,a35586019,Benign adenoma of prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5368,Genitourinary ,Benign_Prostatic_Hypertrophy,a396738018,Benign prostatic hypertrophy,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5369,Genitourinary ,Benign_Prostatic_Hypertrophy,a396742015,BPH - Benign prostatic hypertrophy,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5370,Genitourinary ,Benign_Prostatic_Hypertrophy,a411266019,Prostate enlarged on PR,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5371,Genitourinary ,Benign_Prostatic_Hypertrophy,a504861000006113,Benign fibroma of prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5372,Genitourinary ,Benign_Prostatic_Hypertrophy,a505011000006115,Benign myoma of prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5373,Genitourinary ,Benign_Prostatic_Hypertrophy,a5097061000006111,Benign prostatic hypertrophy with outflow obstruction,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5374,Genitourinary ,Benign_Prostatic_Hypertrophy,a5274151000006119,Enlarged prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5375,Genitourinary ,Benign_Prostatic_Hypertrophy,a5352601000006114,Benign prostatic hypertrophy without outflow obstruction,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5376,Genitourinary ,Benign_Prostatic_Hypertrophy,a5493301000006114,Benign enlargement of prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5377,Genitourinary ,Benign_Prostatic_Hypertrophy,a645331000006112,Benign prostatic hyperplasia,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
5378,Genitourinary ,Benign_Prostatic_Hypertrophy,a909491000006110,[RFC] Enlarged prostate,L1:Genitourinary _L2:Benign_Prostatic_Hypertrophy,
