Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5379,Genitourinary ,Chronic_Kidney_D_StageIII,a14174321000006116,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5380,Genitourinary ,Chronic_Kidney_D_StageIII,a1940501000006119,CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5381,Genitourinary ,Chronic_Kidney_D_StageIII,a1940511000006116,CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5382,Genitourinary ,Chronic_Kidney_D_StageIII,a1940521000006112,CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5383,Genitourinary ,Chronic_Kidney_D_StageIII,a1940531000006110,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5384,Genitourinary ,Chronic_Kidney_D_StageIII,a1940541000006117,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5385,Genitourinary ,Chronic_Kidney_D_StageIII,a1940551000006115,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5386,Genitourinary ,Chronic_Kidney_D_StageIII,a1940621000006111,CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5387,Genitourinary ,Chronic_Kidney_D_StageIII,a1940631000006114,CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5388,Genitourinary ,Chronic_Kidney_D_StageIII,a1940641000006116,CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5389,Genitourinary ,Chronic_Kidney_D_StageIII,a1940651000006119,CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5390,Genitourinary ,Chronic_Kidney_D_StageIII,a1940661000006117,CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5391,Genitourinary ,Chronic_Kidney_D_StageIII,a1940671000006112,CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5392,Genitourinary ,Chronic_Kidney_D_StageIII,a2767154014,Chronic kidney disease stage 5,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5393,Genitourinary ,Chronic_Kidney_D_StageIII,a2767385013,Chronic kidney disease stage 4,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5394,Genitourinary ,Chronic_Kidney_D_StageIII,a2773184015,Chronic kidney disease stage 3,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
5395,Genitourinary ,Chronic_Kidney_D_StageIII,a304071000000115,Chronic kidney disease stage 3,L1:Genitourinary _L2:Chronic_Kidney_D_StageIII,
