Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5333,Genitourinary,Dysmenorrhoea,a11904901000006111,Dysmenorrhea,L1:Genitourinary_L2:Dysmenorrhoea,
5334,Genitourinary,Dysmenorrhoea,a14068111000006118,History of dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5335,Genitourinary,Dysmenorrhoea,a196901010,Secondary dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5336,Genitourinary,Dysmenorrhoea,a199615011,Primary dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5337,Genitourinary,Dysmenorrhoea,a215921000000112,[X]Psychogenic dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5338,Genitourinary,Dysmenorrhoea,a221261000000116,Dysmenorrhea,L1:Genitourinary_L2:Dysmenorrhoea,
5339,Genitourinary,Dysmenorrhoea,a221271000000111,Period pain,L1:Genitourinary_L2:Dysmenorrhoea,
5340,Genitourinary,Dysmenorrhoea,a252083019,H/O: period problem,L1:Genitourinary_L2:Dysmenorrhoea,
5341,Genitourinary,Dysmenorrhoea,a252086010,H/O: polymenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5342,Genitourinary,Dysmenorrhoea,a252088011,H/O: heavy periods,L1:Genitourinary_L2:Dysmenorrhoea,
5343,Genitourinary,Dysmenorrhoea,a252090012,H/O: painful periods,L1:Genitourinary_L2:Dysmenorrhoea,
5344,Genitourinary,Dysmenorrhoea,a252091011,H/O: dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5345,Genitourinary,Dysmenorrhoea,a295387012,Psychogenic dysmenorrhea,L1:Genitourinary_L2:Dysmenorrhoea,
5346,Genitourinary,Dysmenorrhoea,a396781015,Painful menstruation,L1:Genitourinary_L2:Dysmenorrhoea,
5347,Genitourinary,Dysmenorrhoea,a396783017,Dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5348,Genitourinary,Dysmenorrhoea,a478075016,Spasmodic dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5349,Genitourinary,Dysmenorrhoea,a5721331000006119,Dysmenorrhoea - non-psychogenic,L1:Genitourinary_L2:Dysmenorrhoea,
5350,Genitourinary,Dysmenorrhoea,a5753391000006118,Period pain present,L1:Genitourinary_L2:Dysmenorrhoea,
5351,Genitourinary,Dysmenorrhoea,a5753411000006118,Period pain,L1:Genitourinary_L2:Dysmenorrhoea,
5352,Genitourinary,Dysmenorrhoea,a6221621000006117,Spasmodic dysmenorrhoea,L1:Genitourinary_L2:Dysmenorrhoea,
5353,Genitourinary,Dysmenorrhoea,a887481000006110,Dysmenorrhoea -non psychogenic,L1:Genitourinary_L2:Dysmenorrhoea,
