Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5475,Genitourinary ,Renal_stone,a117363016,Bladder stone,L1:Genitourinary _L2:Renal_stone,
5476,Genitourinary ,Renal_stone,a117365011,Bladder calculus,L1:Genitourinary _L2:Renal_stone,
5477,Genitourinary ,Renal_stone,a1221571017,Nephroscopic lithotripsy of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5478,Genitourinary ,Renal_stone,a1229051019,Urinary calculus,L1:Genitourinary _L2:Renal_stone,
5479,Genitourinary ,Renal_stone,a1231999012,Gallbladder calculus with acute cholecystitis,L1:Genitourinary _L2:Renal_stone,
5480,Genitourinary ,Renal_stone,a1490829012,Open removal of bladder calculus,L1:Genitourinary _L2:Renal_stone,
5481,Genitourinary ,Renal_stone,a1491477011,PCNL - Percutaneous nephrolithotomy,L1:Genitourinary _L2:Renal_stone,
5482,Genitourinary ,Renal_stone,a158297010,Renal stone,L1:Genitourinary _L2:Renal_stone,
5483,Genitourinary ,Renal_stone,a158299013,Renal calculus,L1:Genitourinary _L2:Renal_stone,
5484,Genitourinary ,Renal_stone,a177221000006111,Uric acid renal calculus,L1:Genitourinary _L2:Renal_stone,
5485,Genitourinary ,Renal_stone,a1936061000006112,H/O: bladder stone,L1:Genitourinary _L2:Renal_stone,
5486,Genitourinary ,Renal_stone,a239001000006117,Percutaneous dissolution therapy to calculus in gallbladder,L1:Genitourinary _L2:Renal_stone,
5487,Genitourinary ,Renal_stone,a239101000006118,Percutaneous fragmentation of gallbladder stone,L1:Genitourinary _L2:Renal_stone,
5488,Genitourinary ,Renal_stone,a239201000006111,Percutaneous lithotripsy of calculus in gall bladder,L1:Genitourinary _L2:Renal_stone,
5489,Genitourinary ,Renal_stone,a239211000006114,PCL - Percutaneous lithotripsy of renal calculus,L1:Genitourinary _L2:Renal_stone,
5490,Genitourinary ,Renal_stone,a239331000006111,Percutaneous nephrolithotomy,L1:Genitourinary _L2:Renal_stone,
5491,Genitourinary ,Renal_stone,a2478855015,Lower urinary tract calculus,L1:Genitourinary _L2:Renal_stone,
5492,Genitourinary ,Renal_stone,a251765015,H/O: urinary stone,L1:Genitourinary _L2:Renal_stone,
5493,Genitourinary ,Renal_stone,a254181000006113,Open removal of calculus from gall bladder,L1:Genitourinary _L2:Renal_stone,
5494,Genitourinary ,Renal_stone,a2549034014,Family history of renal stone,L1:Genitourinary _L2:Renal_stone,
5495,Genitourinary ,Renal_stone,a261016018,O/E: renal calculus,L1:Genitourinary _L2:Renal_stone,
5496,Genitourinary ,Renal_stone,a261018017,O/E: oxalate renal calculus,L1:Genitourinary _L2:Renal_stone,
5497,Genitourinary ,Renal_stone,a261022010,O/E: uric acid renal calculus,L1:Genitourinary _L2:Renal_stone,
5498,Genitourinary ,Renal_stone,a261023017,O/E: cystine renal calculus,L1:Genitourinary _L2:Renal_stone,
5499,Genitourinary ,Renal_stone,a261024011,O/E: renal stone NOS,L1:Genitourinary _L2:Renal_stone,
5500,Genitourinary ,Renal_stone,a261029018,O/E - ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5501,Genitourinary ,Renal_stone,a261031010,O/E - bladder calculus,L1:Genitourinary _L2:Renal_stone,
5502,Genitourinary ,Renal_stone,a261042018,O/E - bladder calculus NOS,L1:Genitourinary _L2:Renal_stone,
5503,Genitourinary ,Renal_stone,a261063016,Calculus = uric acid,L1:Genitourinary _L2:Renal_stone,
5504,Genitourinary ,Renal_stone,a272383010,Simple nephrolithotomy,L1:Genitourinary _L2:Renal_stone,
5505,Genitourinary ,Renal_stone,a272384016,Anatrophic nephrolithotomy,L1:Genitourinary _L2:Renal_stone,
5506,Genitourinary ,Renal_stone,a272393015,Endoscopic ultrasound fragmentation of renal calculus,L1:Genitourinary _L2:Renal_stone,
5507,Genitourinary ,Renal_stone,a272394014,Nephroscopy and ultrasound lithotripsy of renal calculus,L1:Genitourinary _L2:Renal_stone,
5508,Genitourinary ,Renal_stone,a272396011,Endoscopic laser fragmentation of renal calculus,L1:Genitourinary _L2:Renal_stone,
5509,Genitourinary ,Renal_stone,a272397019,Percutaneous nephrolithotomy without disintegration,L1:Genitourinary _L2:Renal_stone,
5510,Genitourinary ,Renal_stone,a272398012,PCNL - Percutaneous nephrolithotomy without disintegration,L1:Genitourinary _L2:Renal_stone,
5511,Genitourinary ,Renal_stone,a272399016,Other specified percutaneous renal stone surgery,L1:Genitourinary _L2:Renal_stone,
5512,Genitourinary ,Renal_stone,a272400011,Percutaneous renal stone surgery NOS,L1:Genitourinary _L2:Renal_stone,
5513,Genitourinary ,Renal_stone,a272438010,Extracorporeal shockwave lithotripsy for renal calculus NOS,L1:Genitourinary _L2:Renal_stone,
5514,Genitourinary ,Renal_stone,a272542011,Nephroscopic laser fragmentation of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5515,Genitourinary ,Renal_stone,a272543018,Other nephroscopic fragmentation of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5516,Genitourinary ,Renal_stone,a272556013,Ureteroscopic laser lithotripsy of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5517,Genitourinary ,Renal_stone,a272557016,Ureteroscopic laser fragmentation of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5518,Genitourinary ,Renal_stone,a272558014,Ureteroscopic fragmentation of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5519,Genitourinary ,Renal_stone,a272563013,Cystoscopic laser lithotripsy of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5520,Genitourinary ,Renal_stone,a272564019,Other cystoscopic fragmentation of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5521,Genitourinary ,Renal_stone,a272569012,Cystoscopic catheter drainage for ureteric calculus,L1:Genitourinary _L2:Renal_stone,
5522,Genitourinary ,Renal_stone,a272572017,Other specified cystoscopic removal of ureteric calculus,L1:Genitourinary _L2:Renal_stone,
