Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5608,Migraine,Migraine,a1013141000006116,Adverse reaction to Antimigraine Drugs,L1:Migraine_L2:Migraine,
5609,Migraine,Migraine,a1013151000006119,Adverse reaction to Drugs Used In Treatment Of Acute Migraine Attacks,L1:Migraine_L2:Migraine,
5610,Migraine,Migraine,a1013161000006117,Adverse reaction to Drugs Used In Prophylaxis Of Migraine,L1:Migraine_L2:Migraine,
5611,Migraine,Migraine,a12345321000006119,Chronic migraine,L1:Migraine_L2:Migraine,
5612,Migraine,Migraine,a126030010,Abdominal migraine,L1:Migraine_L2:Migraine,
5613,Migraine,Migraine,a138248010,Basilar migraine,L1:Migraine_L2:Migraine,
5614,Migraine,Migraine,a1488428011,No history of migraine,L1:Migraine_L2:Migraine,
5615,Migraine,Migraine,a158460019,Ophthalmic migraine,L1:Migraine_L2:Migraine,
5616,Migraine,Migraine,a1746951000000114,Migraine induced by oestrogen contraceptive,L1:Migraine_L2:Migraine,
5617,Migraine,Migraine,a1747081000000119,History of migraine with aura,L1:Migraine_L2:Migraine,
5618,Migraine,Migraine,a1763411000006112,H/O: migraine without aura,L1:Migraine_L2:Migraine,
5619,Migraine,Migraine,a2159945013,Migraine prophylaxis,L1:Migraine_L2:Migraine,
5620,Migraine,Migraine,a221281000000113,Menstrual migraine,L1:Migraine_L2:Migraine,
5621,Migraine,Migraine,a251645017,H/O: migraine,L1:Migraine_L2:Migraine,
5622,Migraine,Migraine,a252573011,Abdominal migraine - symptom,L1:Migraine_L2:Migraine,
5623,Migraine,Migraine,a2570161000006115,Classical migraine,L1:Migraine_L2:Migraine,
5624,Migraine,Migraine,a297336013,Common migraine NOS,L1:Migraine_L2:Migraine,
5625,Migraine,Migraine,a297337016,Migraine variants,L1:Migraine_L2:Migraine,
5626,Migraine,Migraine,a297338014,Cluster headache syndrome,L1:Migraine_L2:Migraine,
5627,Migraine,Migraine,a297351016,Migraine variant NOS,L1:Migraine_L2:Migraine,
5628,Migraine,Migraine,a297352011,Other forms of migraine,L1:Migraine_L2:Migraine,
5629,Migraine,Migraine,a297354012,Complicated migraine,L1:Migraine_L2:Migraine,
5630,Migraine,Migraine,a297355013,Other forms of migraine NOS,L1:Migraine_L2:Migraine,
5631,Migraine,Migraine,a297356014,Migraine NOS,L1:Migraine_L2:Migraine,
5632,Migraine,Migraine,a299338017,[X]Other migraine,L1:Migraine_L2:Migraine,
5633,Migraine,Migraine,a317576014,[D]Abdominal migraine,L1:Migraine_L2:Migraine,
5634,Migraine,Migraine,a3789081000006119,Retinal migraine,L1:Migraine_L2:Migraine,
5635,Migraine,Migraine,a3856501000006116,Vertebrobasilar migraine,L1:Migraine_L2:Migraine,
5636,Migraine,Migraine,a4060381000006114,Ocular migraine,L1:Migraine_L2:Migraine,
5637,Migraine,Migraine,a4769831000006110,Cluster headache,L1:Migraine_L2:Migraine,
5638,Migraine,Migraine,a4769891000006114,Neuralgic migraine,L1:Migraine_L2:Migraine,
5639,Migraine,Migraine,a5008291000006112,Migraine aura without headache,L1:Migraine_L2:Migraine,
5640,Migraine,Migraine,a5008391000006118,Episodic cluster headache,L1:Migraine_L2:Migraine,
5641,Migraine,Migraine,a5008401000006116,Chronic cluster headache,L1:Migraine_L2:Migraine,
5642,Migraine,Migraine,a5008431000006112,Atypical cluster headache,L1:Migraine_L2:Migraine,
5643,Migraine,Migraine,a5034261000006115,Vestibular migraine,L1:Migraine_L2:Migraine,
5644,Migraine,Migraine,a63055014,Migraine,L1:Migraine_L2:Migraine,
5645,Migraine,Migraine,a700211000006115,Moebius' ophthalmoplegic migraine,L1:Migraine_L2:Migraine,
5646,Migraine,Migraine,a7520391000006114,Migraine with persistent visual aura,L1:Migraine_L2:Migraine,
5647,Migraine,Migraine,a7595017,Migraine with aura,L1:Migraine_L2:Migraine,
5648,Migraine,Migraine,a7596016,Migraine with typical aura,L1:Migraine_L2:Migraine,
5649,Migraine,Migraine,a7855711000006113,Stroke co-occurrent with migraine,L1:Migraine_L2:Migraine,new 2023
5650,Migraine,Migraine,a8038791000006117,Chronic intractable migraine without aura,L1:Migraine_L2:Migraine,new 2023
5651,Migraine,Migraine,a82623012,Ophthalmoplegic migraine,L1:Migraine_L2:Migraine,
5652,Migraine,Migraine,a93294013,Migraine without aura,L1:Migraine_L2:Migraine,
5653,Migraine,Migraine,a93295014,Common migraine,L1:Migraine_L2:Migraine,
5654,Migraine,Migraine,a93296010,Atypical migraine,L1:Migraine_L2:Migraine,
5655,Migraine,Migraine,a98501012,Hemiplegic migraine,L1:Migraine_L2:Migraine,
