Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5656,Neck_pain,Neck_pain,a108431018,Cervical spondylosis with myelopathy,L1:Neck_pain_L2:Neck_pain,
5657,Neck_pain,Neck_pain,a108724018,Psychogenic torticollis,L1:Neck_pain_L2:Neck_pain,
5658,Neck_pain,Neck_pain,a116373011,Wry neck,L1:Neck_pain_L2:Neck_pain,
5659,Neck_pain,Neck_pain,a1230817015,"Crush injury, neck",L1:Neck_pain_L2:Neck_pain,
5660,Neck_pain,Neck_pain,a1233725013,Cervical nerve root injury,L1:Neck_pain_L2:Neck_pain,
5661,Neck_pain,Neck_pain,a123444018,Spasmodic torticollis,L1:Neck_pain_L2:Neck_pain,
5662,Neck_pain,Neck_pain,a12735371000006118,Mechanical neck pain,L1:Neck_pain_L2:Neck_pain,
5663,Neck_pain,Neck_pain,a127546017,Epidemic cervical myalgia,L1:Neck_pain_L2:Neck_pain,
5664,Neck_pain,Neck_pain,a13796891000006116,Myofascial pain syndrome of neck,L1:Neck_pain_L2:Neck_pain,
5665,Neck_pain,Neck_pain,a138588018,Cervical spinal stenosis,L1:Neck_pain_L2:Neck_pain,
5666,Neck_pain,Neck_pain,a14466081000006117,Radiculopathy due to multiple-level cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5667,Neck_pain,Neck_pain,a14466091000006119,Myelopathy due to cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5668,Neck_pain,Neck_pain,a14466111000006111,Cervical spondylitic cord compression,L1:Neck_pain_L2:Neck_pain,
5669,Neck_pain,Neck_pain,a14466141000006110,Radiculopathy due to cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5670,Neck_pain,Neck_pain,a14466151000006112,Myelopathy due to multiple-level cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5671,Neck_pain,Neck_pain,a14466161000006114,Radiculopathy due to two-level cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5672,Neck_pain,Neck_pain,a14531711000006116,Myofascial neck pain,L1:Neck_pain_L2:Neck_pain,
5673,Neck_pain,Neck_pain,a14652061000006117,Pain on movement of cervical spine,L1:Neck_pain_L2:Neck_pain,
5674,Neck_pain,Neck_pain,a1481870016,Cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5675,Neck_pain,Neck_pain,a149631000006117,Sequelae of unspecified injury of neck and trunk,L1:Neck_pain_L2:Neck_pain,
5676,Neck_pain,Neck_pain,a1705871000006118,Cervical spondylosis,L1:Neck_pain_L2:Neck_pain,
5677,Neck_pain,Neck_pain,a17914011,Congenital stenosis of cervical canal,L1:Neck_pain_L2:Neck_pain,
5678,Neck_pain,Neck_pain,a1980891000006118,Keele TAPS trial - pain site - neck,L1:Neck_pain_L2:Neck_pain,
5679,Neck_pain,Neck_pain,a1984241000006116,Manchester triage - Neck pain,L1:Neck_pain_L2:Neck_pain,
5680,Neck_pain,Neck_pain,a215271000000119,Neck pain,L1:Neck_pain_L2:Neck_pain,
5681,Neck_pain,Neck_pain,a215431000000115,Torticollis - symptom,L1:Neck_pain_L2:Neck_pain,
5682,Neck_pain,Neck_pain,a252294013,Stiff neck symptom,L1:Neck_pain_L2:Neck_pain,
5683,Neck_pain,Neck_pain,a252296010,Stiff neck,L1:Neck_pain_L2:Neck_pain,
5684,Neck_pain,Neck_pain,a252303013,Stiff neck symptom NOS,L1:Neck_pain_L2:Neck_pain,
5685,Neck_pain,Neck_pain,a2536923010,Cervical rib syndrome,L1:Neck_pain_L2:Neck_pain,
5686,Neck_pain,Neck_pain,a2674324016,Prosthetic replacement of cervical intervertebral disc,L1:Neck_pain_L2:Neck_pain,
5687,Neck_pain,Neck_pain,a278167014,Release of torticollis,L1:Neck_pain_L2:Neck_pain,
5688,Neck_pain,Neck_pain,a304927010,Other noninflammatory cervical disorders,L1:Neck_pain_L2:Neck_pain,
5689,Neck_pain,Neck_pain,a304933018,Other noninflammatory cervical disorder NOS,L1:Neck_pain_L2:Neck_pain,
5690,Neck_pain,Neck_pain,a304934012,Noninflammatory cervical disorder,L1:Neck_pain_L2:Neck_pain,
5691,Neck_pain,Neck_pain,a311055019,Single-level cervical spondylosis without myelopathy,L1:Neck_pain_L2:Neck_pain,
5692,Neck_pain,Neck_pain,a311056018,Two-level cervical spondylosis without myelopathy,L1:Neck_pain_L2:Neck_pain,
5693,Neck_pain,Neck_pain,a311057010,Multiple-level cervical spondylosis without myelopathy,L1:Neck_pain_L2:Neck_pain,
5694,Neck_pain,Neck_pain,a311061016,Single-level cervical spondylosis with myelopathy,L1:Neck_pain_L2:Neck_pain,
5695,Neck_pain,Neck_pain,a311062011,Two-level cervical spondylosis with myelopathy,L1:Neck_pain_L2:Neck_pain,
5696,Neck_pain,Neck_pain,a311063018,Multiple-level cervical spondylosis with myelopathy,L1:Neck_pain_L2:Neck_pain,
5697,Neck_pain,Neck_pain,a311064012,Cervical myelopathy,L1:Neck_pain_L2:Neck_pain,
5698,Neck_pain,Neck_pain,a311091014,Cervical spondylosis with radiculopathy,L1:Neck_pain_L2:Neck_pain,
5699,Neck_pain,Neck_pain,a311093012,Single-level cervical spondylosis with radiculopathy,L1:Neck_pain_L2:Neck_pain,
5700,Neck_pain,Neck_pain,a311094018,Two-level cervical spondylosis with radiculopathy,L1:Neck_pain_L2:Neck_pain,
5701,Neck_pain,Neck_pain,a311095017,Multiple-level cervical spondylosis with radiculopathy,L1:Neck_pain_L2:Neck_pain,
5702,Neck_pain,Neck_pain,a311096016,Cervical spondylosis with vascular compression,L1:Neck_pain_L2:Neck_pain,
5703,Neck_pain,Neck_pain,a311146015,Cervical disc disorder with myelopathy,L1:Neck_pain_L2:Neck_pain,
5704,Neck_pain,Neck_pain,a311160018,Cervical disc prolapse with myelopathy,L1:Neck_pain_L2:Neck_pain,
5705,Neck_pain,Neck_pain,a311164010,Cervical disc prolapse with radiculopathy,L1:Neck_pain_L2:Neck_pain,
5706,Neck_pain,Neck_pain,a311175014,Cervical disc disorder,L1:Neck_pain_L2:Neck_pain,
5707,Neck_pain,Neck_pain,a311178011,Cervical discitis,L1:Neck_pain_L2:Neck_pain,
5708,Neck_pain,Neck_pain,a311179015,Annular tear of cervical disc,L1:Neck_pain_L2:Neck_pain,
5709,Neck_pain,Neck_pain,a311181018,Calcification of cervical disc,L1:Neck_pain_L2:Neck_pain,
5710,Neck_pain,Neck_pain,a311191012,Cervical disc disorder with radiculopathy,L1:Neck_pain_L2:Neck_pain,
5711,Neck_pain,Neck_pain,a311193010,Disorder of cervical spine,L1:Neck_pain_L2:Neck_pain,
5712,Neck_pain,Neck_pain,a311194016,Idiopathic cervical spinal stenosis,L1:Neck_pain_L2:Neck_pain,
5713,Neck_pain,Neck_pain,a311195015,Degenerative cervical spinal stenosis,L1:Neck_pain_L2:Neck_pain,
5714,Neck_pain,Neck_pain,a311197011,Cervical spinal stenosis secondary to other disease,L1:Neck_pain_L2:Neck_pain,
5715,Neck_pain,Neck_pain,a311210015,Intermittent torticollis,L1:Neck_pain_L2:Neck_pain,
5716,Neck_pain,Neck_pain,a311218010,Other cervical syndromes,L1:Neck_pain_L2:Neck_pain,
5717,Neck_pain,Neck_pain,a311219019,Cervical syndrome,L1:Neck_pain_L2:Neck_pain,
5718,Neck_pain,Neck_pain,a311222017,Cervical root syndrome,L1:Neck_pain_L2:Neck_pain,
5719,Neck_pain,Neck_pain,a311223010,Other cervical syndromes NOS,L1:Neck_pain_L2:Neck_pain,
5720,Neck_pain,Neck_pain,a311224016,Disorder of neck,L1:Neck_pain_L2:Neck_pain,
5721,Neck_pain,Neck_pain,a311304017,Recurrent atlantoaxial subluxation with myelopathy,L1:Neck_pain_L2:Neck_pain,
5722,Neck_pain,Neck_pain,a311792014,Acute osteomyelitis-cervical spine,L1:Neck_pain_L2:Neck_pain,
5723,Neck_pain,Neck_pain,a311839010,Chronic osteomyelitis-cervical spine,L1:Neck_pain_L2:Neck_pain,
5724,Neck_pain,Neck_pain,a311912015,Tuberculosis of cervical spine,L1:Neck_pain_L2:Neck_pain,
5725,Neck_pain,Neck_pain,a311978010,Paget's disease-cervical spine,L1:Neck_pain_L2:Neck_pain,
5726,Neck_pain,Neck_pain,a312604010,[X]Other recurrent atlantoaxial subluxation,L1:Neck_pain_L2:Neck_pain,
5727,Neck_pain,Neck_pain,a312620017,[X]Other cervical disc displacement,L1:Neck_pain_L2:Neck_pain,
5728,Neck_pain,Neck_pain,a312621018,[X]Other cervical disc degeneration,L1:Neck_pain_L2:Neck_pain,
5729,Neck_pain,Neck_pain,a312622013,[X]Other cervical disc disorders,L1:Neck_pain_L2:Neck_pain,
5730,Neck_pain,Neck_pain,a312631013,"[X]Cervical disc disorder, unspecified",L1:Neck_pain_L2:Neck_pain,
5731,Neck_pain,Neck_pain,a3141251000006116,Whiplash injury to neck,L1:Neck_pain_L2:Neck_pain,
5732,Neck_pain,Neck_pain,a316241018,Torticollis due to birth injury,L1:Neck_pain_L2:Neck_pain,
5733,Neck_pain,Neck_pain,a318385011,"Closed fracture cervical vertebra, spondylolysis",L1:Neck_pain_L2:Neck_pain,
5734,Neck_pain,Neck_pain,a319825013,Closed subluxation cervical spine,L1:Neck_pain_L2:Neck_pain,
5735,Neck_pain,Neck_pain,a319826014,"Closed subluxation of cervical spine, unspecified",L1:Neck_pain_L2:Neck_pain,
5736,Neck_pain,Neck_pain,a319827017,Closed subluxation atlanto-occipital joint,L1:Neck_pain_L2:Neck_pain,
5737,Neck_pain,Neck_pain,a319837010,Closed spinal subluxation with anterior cervical cord lesion,L1:Neck_pain_L2:Neck_pain,
5738,Neck_pain,Neck_pain,a319838017,Closed spinal subluxation with central cervical cord lesion,L1:Neck_pain_L2:Neck_pain,
5739,Neck_pain,Neck_pain,a319840010,Closed subluxation of multiple cervical vertebrae,L1:Neck_pain_L2:Neck_pain,
5740,Neck_pain,Neck_pain,a320295018,Neck sprain,L1:Neck_pain_L2:Neck_pain,
5741,Neck_pain,Neck_pain,a320301017,Cervical anterior longitudinal ligament sprain,L1:Neck_pain_L2:Neck_pain,
5742,Neck_pain,Neck_pain,a320303019,Atlanto-occipital joint sprain,L1:Neck_pain_L2:Neck_pain,
5743,Neck_pain,Neck_pain,a320305014,Neck sprain NOS,L1:Neck_pain_L2:Neck_pain,
5744,Neck_pain,Neck_pain,a321818016,Injury of multiple blood vessels at neck level,L1:Neck_pain_L2:Neck_pain,
5745,Neck_pain,Neck_pain,a321825011,Head and neck blood vessel injury NOS,L1:Neck_pain_L2:Neck_pain,
5746,Neck_pain,Neck_pain,a322863017,"Crush injury, neck NOS",L1:Neck_pain_L2:Neck_pain,
5747,Neck_pain,Neck_pain,a322951000006119,[SO]Fascia of cervical spine,L1:Neck_pain_L2:Neck_pain,
5748,Neck_pain,Neck_pain,a323651019,"Unspecified cervical cord injury, without bony injury, C1-4",L1:Neck_pain_L2:Neck_pain,
5749,Neck_pain,Neck_pain,a323657015,"Unspecified cervical cord injury, without bony injury, C5-7",L1:Neck_pain_L2:Neck_pain,
5750,Neck_pain,Neck_pain,a323663012,Cervical cord injury without spinal bone injury NOS,L1:Neck_pain_L2:Neck_pain,
5751,Neck_pain,Neck_pain,a323696014,Cervical nerve root injury - C1,L1:Neck_pain_L2:Neck_pain,
5752,Neck_pain,Neck_pain,a323697017,Cervical nerve root injury - C2,L1:Neck_pain_L2:Neck_pain,
5753,Neck_pain,Neck_pain,a323698010,Cervical nerve root injury - C3,L1:Neck_pain_L2:Neck_pain,
5754,Neck_pain,Neck_pain,a323699019,Cervical nerve root injury - C4,L1:Neck_pain_L2:Neck_pain,
5755,Neck_pain,Neck_pain,a323700018,Cervical nerve root injury - C5,L1:Neck_pain_L2:Neck_pain,
5756,Neck_pain,Neck_pain,a323701019,Cervical nerve root injury - C6,L1:Neck_pain_L2:Neck_pain,
5757,Neck_pain,Neck_pain,a323702014,Cervical nerve root injury - C7,L1:Neck_pain_L2:Neck_pain,
5758,Neck_pain,Neck_pain,a323705011,Cervical nerve root injury - C8,L1:Neck_pain_L2:Neck_pain,
5759,Neck_pain,Neck_pain,a323740012,Cervical sympathetic nerve injury,L1:Neck_pain_L2:Neck_pain,
5760,Neck_pain,Neck_pain,a323868018,Injury of peripheral nerves of neck,L1:Neck_pain_L2:Neck_pain,
5761,Neck_pain,Neck_pain,a323872019,Injury of nerves and spinal cord at neck level,L1:Neck_pain_L2:Neck_pain,
5762,Neck_pain,Neck_pain,a323936013,Injury of muscle and tendon at neck level,L1:Neck_pain_L2:Neck_pain,
5763,Neck_pain,Neck_pain,a323939018,Injury of neck,L1:Neck_pain_L2:Neck_pain,
5764,Neck_pain,Neck_pain,a325265011,"Dislocations, sprains and strains involving head with neck",L1:Neck_pain_L2:Neck_pain,
5765,Neck_pain,Neck_pain,a325307015,Crush injury of head and neck,L1:Neck_pain_L2:Neck_pain,
5766,Neck_pain,Neck_pain,a325328012,[X]Injury of other and unspecified nerves of neck,L1:Neck_pain_L2:Neck_pain,
5767,Neck_pain,Neck_pain,a325331013,[X]Crushing injury of other parts of neck,L1:Neck_pain_L2:Neck_pain,
5768,Neck_pain,Neck_pain,a325332018,Crushing injury of neck,L1:Neck_pain_L2:Neck_pain,
5769,Neck_pain,Neck_pain,a3445341000006110,Injury of anterior neck,L1:Neck_pain_L2:Neck_pain,
5770,Neck_pain,Neck_pain,a3561061000006110,Cervical spondylitic cord compression,L1:Neck_pain_L2:Neck_pain,
5771,Neck_pain,Neck_pain,a3707811000006111,Injury of cervical nerve roots,L1:Neck_pain_L2:Neck_pain,
5772,Neck_pain,Neck_pain,a372797015,Stiff neck NOS,L1:Neck_pain_L2:Neck_pain,
5773,Neck_pain,Neck_pain,a3828301000006114,Nonspecific pain in the neck region,L1:Neck_pain_L2:Neck_pain,
5774,Neck_pain,Neck_pain,a3859631000006115,Spinal stenosis in cervical region,L1:Neck_pain_L2:Neck_pain,
5775,Neck_pain,Neck_pain,a390551000006116,Injury of blood vessels of head AND/OR neck,L1:Neck_pain_L2:Neck_pain,
5776,Neck_pain,Neck_pain,a391012014,Injury to blood vessel of neck,L1:Neck_pain_L2:Neck_pain,
5777,Neck_pain,Neck_pain,a3970321000006111,Neck injury,L1:Neck_pain_L2:Neck_pain,
5778,Neck_pain,Neck_pain,a400267013,Cervical spondylosis without myelopathy,L1:Neck_pain_L2:Neck_pain,
5779,Neck_pain,Neck_pain,a400272016,Prolapsed cervical intervertebral disc without myelopathy,L1:Neck_pain_L2:Neck_pain,
5780,Neck_pain,Neck_pain,a400273014,Cervical disc displacement without myelopathy,L1:Neck_pain_L2:Neck_pain,
5781,Neck_pain,Neck_pain,a400276018,Brachial (cervical) neuritis,L1:Neck_pain_L2:Neck_pain,
5782,Neck_pain,Neck_pain,a400280011,Torticollis unspecified,L1:Neck_pain_L2:Neck_pain,
5783,Neck_pain,Neck_pain,a400281010,Torticollis,L1:Neck_pain_L2:Neck_pain,
5784,Neck_pain,Neck_pain,a400282015,"Spinal stenosis, excluding cervical region",L1:Neck_pain_L2:Neck_pain,
5785,Neck_pain,Neck_pain,a400882012,Congenital sternomastoid torticollis,L1:Neck_pain_L2:Neck_pain,
5786,Neck_pain,Neck_pain,a400883019,Congenital wry neck,L1:Neck_pain_L2:Neck_pain,
5787,Neck_pain,Neck_pain,a402918012,"Neck sprain, unspecified",L1:Neck_pain_L2:Neck_pain,
5788,Neck_pain,Neck_pain,a403020018,"Crush injury, face, scalp and neck",L1:Neck_pain_L2:Neck_pain,
5789,Neck_pain,Neck_pain,a403055016,Head and neck superficial nerve injury,L1:Neck_pain_L2:Neck_pain,
5790,Neck_pain,Neck_pain,a405083016,Wry neck/torticollis,L1:Neck_pain_L2:Neck_pain,
5791,Neck_pain,Neck_pain,a416128012,Pain in cervical spine,L1:Neck_pain_L2:Neck_pain,
5792,Neck_pain,Neck_pain,a424121000006112,[X]Psychogenic torticollis,L1:Neck_pain_L2:Neck_pain,
5793,Neck_pain,Neck_pain,a427481000006111,Strain of tendon of head and neck,L1:Neck_pain_L2:Neck_pain,
5794,Neck_pain,Neck_pain,a427491000006114,[X]Sprain/strain of joint/ligam of oth & unsp part of neck,L1:Neck_pain_L2:Neck_pain,
5795,Neck_pain,Neck_pain,a442649019,Pain of head and neck region,L1:Neck_pain_L2:Neck_pain,
5796,Neck_pain,Neck_pain,a4545041000006119,Neck stiffness,L1:Neck_pain_L2:Neck_pain,
5797,Neck_pain,Neck_pain,a476266016,Strain of neck muscle,L1:Neck_pain_L2:Neck_pain,
5798,Neck_pain,Neck_pain,a4815461000006119,Cervical disc prolapse with root compression,L1:Neck_pain_L2:Neck_pain,
5799,Neck_pain,Neck_pain,a4847921000006117,Closed subluxation atlantoaxial joint,L1:Neck_pain_L2:Neck_pain,
5800,Neck_pain,Neck_pain,a4851601000006110,Cervical sprain,L1:Neck_pain_L2:Neck_pain,
5801,Neck_pain,Neck_pain,a486021000006114,Anterior cervical spinal cord injury at C1-C4 level without spinal bone injury,L1:Neck_pain_L2:Neck_pain,
5802,Neck_pain,Neck_pain,a486031000006112,"Anterior cervical spinal cord injury, without spinal bone injury, C5-7",L1:Neck_pain_L2:Neck_pain,
5803,Neck_pain,Neck_pain,a492282010,Whiplash injury,L1:Neck_pain_L2:Neck_pain,
5804,Neck_pain,Neck_pain,a497081000006112,Atlanto-axial joint sprain,L1:Neck_pain_L2:Neck_pain,
5805,Neck_pain,Neck_pain,a531571000006114,Closed fracture of first cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5806,Neck_pain,Neck_pain,a531601000006119,Closed fracture of second cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5807,Neck_pain,Neck_pain,a531621000006112,Closed fracture of third cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5808,Neck_pain,Neck_pain,a531641000006117,Closed fracture of fourth cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5809,Neck_pain,Neck_pain,a531661000006118,Closed fracture of fifth cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5810,Neck_pain,Neck_pain,a531681000006111,Closed fracture of sixth cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5811,Neck_pain,Neck_pain,a531701000006114,Closed fracture of seventh cervical vertebra without spinal cord injury,L1:Neck_pain_L2:Neck_pain,
5812,Neck_pain,Neck_pain,a541561000006118,"Central cervical cord injury, without spinal bony injury, C1-4",L1:Neck_pain_L2:Neck_pain,
5813,Neck_pain,Neck_pain,a541571000006113,"Central cervical cord injury, without spinal bony injury, C5-7",L1:Neck_pain_L2:Neck_pain,
5814,Neck_pain,Neck_pain,a543491000006114,Cervical spinal cord injury without spinal bone injury,L1:Neck_pain_L2:Neck_pain,
5815,Neck_pain,Neck_pain,a543561000006117,Degeneration of cervical intervertebral disc,L1:Neck_pain_L2:Neck_pain,
5816,Neck_pain,Neck_pain,a543591000006113,Prolapsed cervical intervertebral disc,L1:Neck_pain_L2:Neck_pain,
5817,Neck_pain,Neck_pain,a544001000006112,Cervical nerve root pain,L1:Neck_pain_L2:Neck_pain,
5818,Neck_pain,Neck_pain,a5453871000006115,Injury of cervical spine,L1:Neck_pain_L2:Neck_pain,
5819,Neck_pain,Neck_pain,a54781000006115,Wry neck symptom,L1:Neck_pain_L2:Neck_pain,
5820,Neck_pain,Neck_pain,a5503871000006115,Congenital torticollis,L1:Neck_pain_L2:Neck_pain,
5821,Neck_pain,Neck_pain,a5620561000006115,Cervical trigger point syndrome,L1:Neck_pain_L2:Neck_pain,
5822,Neck_pain,Neck_pain,a5634851000006114,Disorder of soft tissue of neck,L1:Neck_pain_L2:Neck_pain,
5823,Neck_pain,Neck_pain,a5668631000006116,Head and neck injury,L1:Neck_pain_L2:Neck_pain,
5824,Neck_pain,Neck_pain,a567791000006119,"Closed spinal subluxation with cervical cord lesion, unspec",L1:Neck_pain_L2:Neck_pain,
5825,Neck_pain,Neck_pain,a567871000006112,Closed subluxation atlanto-axial joint,L1:Neck_pain_L2:Neck_pain,
5826,Neck_pain,Neck_pain,a567991000006117,Closed subluxation of cervical vertebra NOS,L1:Neck_pain_L2:Neck_pain,
5827,Neck_pain,Neck_pain,a575511000006118,"Complete cervical cord injury, without spinal bone injury, C1-4",L1:Neck_pain_L2:Neck_pain,
5828,Neck_pain,Neck_pain,a575521000006114,"Complete cervical cord injury, without spinal bone injury, C5-7",L1:Neck_pain_L2:Neck_pain,
5829,Neck_pain,Neck_pain,a5850321000006111,Cervical facet joint pain,L1:Neck_pain_L2:Neck_pain,
5830,Neck_pain,Neck_pain,a585631000006118,Noninflammatory cervical disorders,L1:Neck_pain_L2:Neck_pain,
5831,Neck_pain,Neck_pain,a60171000006117,Whiplash injury,L1:Neck_pain_L2:Neck_pain,
5832,Neck_pain,Neck_pain,a6213261000006117,Strain of tendon of neck,L1:Neck_pain_L2:Neck_pain,
5833,Neck_pain,Neck_pain,a6478131000006117,Cervical spine degeneration,L1:Neck_pain_L2:Neck_pain,
5834,Neck_pain,Neck_pain,a681271000006111,Neck superficial nerve injury,L1:Neck_pain_L2:Neck_pain,
5835,Neck_pain,Neck_pain,a7089341000006116,Surgical procedure on cervical spine,L1:Neck_pain_L2:Neck_pain,
5836,Neck_pain,Neck_pain,a774541000006119,Injury to blood vessels of head and neck,L1:Neck_pain_L2:Neck_pain,
5837,Neck_pain,Neck_pain,a782071000006118,"Incompl cervical cord injury,unsp,without bony injury, C5-7",L1:Neck_pain_L2:Neck_pain,
5838,Neck_pain,Neck_pain,a7863981000006111,Injury of muscle of neck,L1:Neck_pain_L2:Neck_pain,
5839,Neck_pain,Neck_pain,a7967631000006118,Chronic neck pain,L1:Neck_pain_L2:Neck_pain,
5840,Neck_pain,Neck_pain,a8015561000006115,Sprain of ligament of cervical spine region,L1:Neck_pain_L2:Neck_pain,
5841,Neck_pain,Neck_pain,a817641000006117,Head and neck superficial nerve injury,L1:Neck_pain_L2:Neck_pain,
5842,Neck_pain,Neck_pain,a8209721000006111,Chronic neck pain for greater than 3 months,L1:Neck_pain_L2:Neck_pain,new 2023
5843,Neck_pain,Neck_pain,a890841000006118,Cervical spond.- no myelopathy,L1:Neck_pain_L2:Neck_pain,
5844,Neck_pain,Neck_pain,a890851000006116,Cervical spond.with myelopathy,L1:Neck_pain_L2:Neck_pain,
