Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
5853,Neurological,Dementia,a12106351000006118,Behavioural and psychological symptoms of dementia,L1:Neurological_L2:Dementia,
5854,Neurological,Dementia,a12106371000006111,BPSD - behavioral and psychological symptoms of dementia,L1:Neurological_L2:Dementia,
5855,Neurological,Dementia,a12106381000006114,BPSD - behavioural and psychological symptoms of dementia,L1:Neurological_L2:Dementia,
5856,Neurological,Dementia,a1221500015,Non-alcoholic amnestic syndrome,L1:Neurological_L2:Dementia,
5857,Neurological,Dementia,a1235534016,Binswanger's encephalopathy,L1:Neurological_L2:Dementia,
5858,Neurological,Dementia,a12370651000006112,MVAD - Mixed vascular Alzheimer dementia,L1:Neurological_L2:Dementia,
5859,Neurological,Dementia,a12370661000006114,Dementia with mixed aetiology,L1:Neurological_L2:Dementia,
5860,Neurological,Dementia,a12626321000006119,QOF (Quality and Outcomes Framework) dementia quality indicator-related care invitation,L1:Neurological_L2:Dementia,
5861,Neurological,Dementia,a12702281000006111,Degenerative brain disorder,L1:Neurological_L2:Dementia,
5862,Neurological,Dementia,a13934381000006118,Cortical vascular dementia,L1:Neurological_L2:Dementia,
5863,Neurological,Dementia,a148381000006115,Senile/presenile dementia,L1:Neurological_L2:Dementia,
5864,Neurological,Dementia,a149347010,Binswanger's disease,L1:Neurological_L2:Dementia,
5865,Neurological,Dementia,a1576281000006119,Cause of Death- Alzheimer'S Disease,L1:Neurological_L2:Dementia,
5866,Neurological,Dementia,a1774581000006113,Refer to dementia care advisor,L1:Neurological_L2:Dementia,
5867,Neurological,Dementia,a1785381000000118,Referral to dementia care advisor,L1:Neurological_L2:Dementia,
5868,Neurological,Dementia,a1805751000006115,Variant Creutzfeldt-Jakob disease,L1:Neurological_L2:Dementia,
5869,Neurological,Dementia,a1823871000006112,Dementia confirmed,L1:Neurological_L2:Dementia,
5870,Neurological,Dementia,a1856601000006111,Dementia monitoring in primary care,L1:Neurological_L2:Dementia,
5871,Neurological,Dementia,a1856611000006114,Dementia monitoring in secondary care,L1:Neurological_L2:Dementia,
5872,Neurological,Dementia,a1856631000006115,Did not attend dementia monitoring,L1:Neurological_L2:Dementia,
5873,Neurological,Dementia,a1932091000006115,3D study - problems with dementia management,L1:Neurological_L2:Dementia,
5874,Neurological,Dementia,a1933001000006115,Referral to dementia early intervention service,L1:Neurological_L2:Dementia,
5875,Neurological,Dementia,a1949621000006118,Dementia stage at diagnosis,L1:Neurological_L2:Dementia,
5876,Neurological,Dementia,a1949631000006115,Dementia stage at diagnosis - early (mild),L1:Neurological_L2:Dementia,
5877,Neurological,Dementia,a1949641000006113,Dementia stage at diagnosis - mid (moderate),L1:Neurological_L2:Dementia,
5878,Neurological,Dementia,a1949651000006110,Dementia stage at diagnosis - late (severe),L1:Neurological_L2:Dementia,
5879,Neurological,Dementia,a1949671000006117,Dementia stage at diagnosis - not known,L1:Neurological_L2:Dementia,
5880,Neurological,Dementia,a1949761000006115,Dementia PDS transition - referred for community care support,L1:Neurological_L2:Dementia,
5881,Neurological,Dementia,a1950501000006117,Dementia PDS (Scot) - planning for future care status,L1:Neurological_L2:Dementia,
5882,Neurological,Dementia,a1969651000006118,Dementia case finding question: positive response from patient,L1:Neurological_L2:Dementia,
5883,Neurological,Dementia,a1969661000006116,Dementia case finding question: negative response from patient,L1:Neurological_L2:Dementia,
5884,Neurological,Dementia,a1971401000006111,"Dementia in Alzheimer's disease with early onset, without additional symptoms",L1:Neurological_L2:Dementia,
5885,Neurological,Dementia,a1972021000006119,"Unspecified dementia, without additional symptoms",L1:Neurological_L2:Dementia,
5886,Neurological,Dementia,a1972041000006114,"Unspecified dementia, other symptoms, predominantly delusional",L1:Neurological_L2:Dementia,
5887,Neurological,Dementia,a1972061000006113,"Unspecified dementia, other symptoms, predominantly hallucinatory",L1:Neurological_L2:Dementia,
5888,Neurological,Dementia,a1972071000006118,"Unspecified dementia, other symptoms, predominantly depressive",L1:Neurological_L2:Dementia,
5889,Neurological,Dementia,a1972081000006115,"Unspecified dementia, other mixed symptoms",L1:Neurological_L2:Dementia,
5890,Neurological,Dementia,a1972131000006115,"Dementia in Alzheimer's disease with early onset, other symptoms, predominantly depressive",L1:Neurological_L2:Dementia,
5891,Neurological,Dementia,a1972141000006113,"Dementia in Alzheimer's disease with early onset, other mixed symptoms",L1:Neurological_L2:Dementia,
5892,Neurological,Dementia,a1972171000006117,"Dementia in Alzheimer's disease with late onset, without additional symptoms",L1:Neurological_L2:Dementia,
5893,Neurological,Dementia,a1972181000006119,"Dementia in Alzheimer's disease with late onset, other symptoms, predominantly delusional",L1:Neurological_L2:Dementia,
5894,Neurological,Dementia,a1972201000006118,"Dementia in Alzheimer's disease with late onset, other symptoms, predominantly depressive",L1:Neurological_L2:Dementia,
5895,Neurological,Dementia,a1972211000006115,"Dementia in Alzheimer's disease with late onset, other mixed symptoms",L1:Neurological_L2:Dementia,
5896,Neurological,Dementia,a1972231000006114,"Dementia in Alzheimer's dis, atypical or mixed type, without additional symptoms",L1:Neurological_L2:Dementia,
5897,Neurological,Dementia,a1972251000006119,"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly delusional",L1:Neurological_L2:Dementia,
5898,Neurological,Dementia,a1972291000006113,"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory",L1:Neurological_L2:Dementia,
5899,Neurological,Dementia,a1972311000006112,"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive",L1:Neurological_L2:Dementia,
5900,Neurological,Dementia,a1972341000006111,"Dementia in Alzheimer's dis, atypical or mixed type, other mixed symptoms",L1:Neurological_L2:Dementia,
5901,Neurological,Dementia,a1972371000006115,"Dementia in Alzheimer's disease, unspecified, without additional symptoms",L1:Neurological_L2:Dementia,
5902,Neurological,Dementia,a1972451000006118,"Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly depressive",L1:Neurological_L2:Dementia,
5903,Neurological,Dementia,a1972471000006111,"Dementia in Alzheimer's disease, unspecified, other mixed symptoms",L1:Neurological_L2:Dementia,
5904,Neurological,Dementia,a1972481000006114,"Vascular dementia of acute onset, without additional symptoms",L1:Neurological_L2:Dementia,
5905,Neurological,Dementia,a1972571000006110,"Vascular dementia of acute onset, other mixed symptoms",L1:Neurological_L2:Dementia,
5906,Neurological,Dementia,a1972681000006112,"Multi-infarct dementia, other mixed symptoms",L1:Neurological_L2:Dementia,
5907,Neurological,Dementia,a1972751000006114,"Subcortical vascular dementia, other symptoms, predominantly hallucinatory",L1:Neurological_L2:Dementia,
5908,Neurological,Dementia,a1972791000006115,"Subcortical vascular dementia, other mixed symptoms",L1:Neurological_L2:Dementia,
5909,Neurological,Dementia,a1972821000006112,"Mixed cortical and subcortical vascular dementia, without additional symptoms",L1:Neurological_L2:Dementia,
5910,Neurological,Dementia,a1972931000006117,"Mixed cortical and subcortical vascular dementia, other mixed symptoms",L1:Neurological_L2:Dementia,
5911,Neurological,Dementia,a1973221000006118,"Other vascular dementia, without additional symptoms",L1:Neurological_L2:Dementia,
5912,Neurological,Dementia,a1973401000006112,"Other vascular dementia, other mixed symptoms",L1:Neurological_L2:Dementia,
5913,Neurological,Dementia,a1973461000006113,"Vascular dementia, unspecified, without additional symptoms",L1:Neurological_L2:Dementia,
5914,Neurological,Dementia,a1975591000006119,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, dementia",L1:Neurological_L2:Dementia,
5915,Neurological,Dementia,a1976831000006111,"Vascular dementia, unspecified, other mixed symptoms",L1:Neurological_L2:Dementia,
5916,Neurological,Dementia,a21256010,Presenile dementia,L1:Neurological_L2:Dementia,
5917,Neurological,Dementia,a2127581000000115,Suspected dementia,L1:Neurological_L2:Dementia,
5918,Neurological,Dementia,a2221421000000114,Referral to dementia service,L1:Neurological_L2:Dementia,
5919,Neurological,Dementia,a22408016,Pick's disease,L1:Neurological_L2:Dementia,
5920,Neurological,Dementia,a2248021000000110,Dementia care plan,L1:Neurological_L2:Dementia,
5921,Neurological,Dementia,a2290431000000110,Antipsychotic drug therapy for dementia,L1:Neurological_L2:Dementia,
5922,Neurological,Dementia,a2345801000000113,Dementia advance care plan declined,L1:Neurological_L2:Dementia,
5923,Neurological,Dementia,a2345881000000115,Dementia advance care plan agreed,L1:Neurological_L2:Dementia,
5924,Neurological,Dementia,a2345931000000111,Review of dementia advance care plan,L1:Neurological_L2:Dementia,
5925,Neurological,Dementia,a2366171000000112,Sporadic Creutzfeldt-Jakob disease,L1:Neurological_L2:Dementia,
5926,Neurological,Dementia,a2366181000000114,Sporadic CJD (Creutzfeldt-Jakob disease),L1:Neurological_L2:Dementia,
5927,Neurological,Dementia,a2373161000000116,Referral to dementia support organisation declined,L1:Neurological_L2:Dementia,
5928,Neurological,Dementia,a2373201000000112,Referral to dementia support organisation,L1:Neurological_L2:Dementia,
5929,Neurological,Dementia,a2386018,Jakob-Creutzfeldt disease,L1:Neurological_L2:Dementia,
5930,Neurological,Dementia,a2403101000000116,Dementia medication review,L1:Neurological_L2:Dementia,
5931,Neurological,Dementia,a2405911000000115,Referral to Alzheimer's Society,L1:Neurological_L2:Dementia,
5932,Neurological,Dementia,a2439591000000113,Dementia care plan agreed,L1:Neurological_L2:Dementia,
5933,Neurological,Dementia,a2439631000000113,Dementia care plan reviewed,L1:Neurological_L2:Dementia,
5934,Neurological,Dementia,a2439671000000110,Dementia care plan declined,L1:Neurological_L2:Dementia,
5935,Neurological,Dementia,a2439711000000111,Dementia care plan review declined,L1:Neurological_L2:Dementia,
5936,Neurological,Dementia,a2445471000000112,Dementia advance care plan,L1:Neurological_L2:Dementia,
5937,Neurological,Dementia,a2445691000000113,Dementia advance care plan review declined,L1:Neurological_L2:Dementia,
5938,Neurological,Dementia,a2502971000006115,Dementia associated with alcoholism,L1:Neurological_L2:Dementia,
5939,Neurological,Dementia,a2510951000006114,Creutzfeldt-Jakob disease,L1:Neurological_L2:Dementia,
5940,Neurological,Dementia,a251194016,Alzheimer's disease society member,L1:Neurological_L2:Dementia,
5941,Neurological,Dementia,a251625013,H/O: dementia,L1:Neurological_L2:Dementia,
5942,Neurological,Dementia,a2620431000000115,Shared care prescribing of drug for dementia,L1:Neurological_L2:Dementia,
5943,Neurological,Dementia,a2620471000000118,Shared care prescribing of drugs for dementia declined,L1:Neurological_L2:Dementia,
5944,Neurological,Dementia,a2620873012,Senile reticular degeneration,L1:Neurological_L2:Dementia,
5945,Neurological,Dementia,a26545010,Senile dementia,L1:Neurological_L2:Dementia,
5946,Neurological,Dementia,a2714871000000112,Signposting to dementia support service,L1:Neurological_L2:Dementia,
5947,Neurological,Dementia,a2715131000000119,Signposting to Alzheimer's Society,L1:Neurological_L2:Dementia,
5948,Neurological,Dementia,a2742991000000115,Review of dementia advance care plan,L1:Neurological_L2:Dementia,
5949,Neurological,Dementia,a2743011000000119,Dementia advance care plan agreed,L1:Neurological_L2:Dementia,
5950,Neurological,Dementia,a2773831000006113,Korsakov's syndrome - non-alcoholic,L1:Neurological_L2:Dementia,
5951,Neurological,Dementia,a2825541000006118,Prion disease,L1:Neurological_L2:Dementia,
5952,Neurological,Dementia,a2931241000006111,Alzheimer disease,L1:Neurological_L2:Dementia,
5953,Neurological,Dementia,a2931251000006113,Alzheimer dementia,L1:Neurological_L2:Dementia,
5954,Neurological,Dementia,a294111000000119,Exception reporting - dementia quality indicators,L1:Neurological_L2:Dementia,
5955,Neurological,Dementia,a294321000000111,Excepted from dementia quality indicators - informed dissent,L1:Neurological_L2:Dementia,
5956,Neurological,Dementia,a294635013,Uncomplicated senile dementia,L1:Neurological_L2:Dementia,
5957,Neurological,Dementia,a294637017,Uncomplicated presenile dementia,L1:Neurological_L2:Dementia,
5958,Neurological,Dementia,a294638010,Presenile dementia with delirium,L1:Neurological_L2:Dementia,
5959,Neurological,Dementia,a294641018,Presenile dementia with paranoia,L1:Neurological_L2:Dementia,
5960,Neurological,Dementia,a294642013,Presenile dementia with depression,L1:Neurological_L2:Dementia,
5961,Neurological,Dementia,a294643015,Presenile dementia NOS,L1:Neurological_L2:Dementia,
5962,Neurological,Dementia,a294644014,Senile dementia with depressive or paranoid features,L1:Neurological_L2:Dementia,
5963,Neurological,Dementia,a294645010,Senile dementia with paranoia,L1:Neurological_L2:Dementia,
5964,Neurological,Dementia,a294646011,Senile dementia with depression,L1:Neurological_L2:Dementia,
5965,Neurological,Dementia,a294647019,Senile dementia with depressive or paranoid features NOS,L1:Neurological_L2:Dementia,
5966,Neurological,Dementia,a294648012,Senile dementia with delirium,L1:Neurological_L2:Dementia,
5967,Neurological,Dementia,a294652012,Uncomplicated arteriosclerotic dementia,L1:Neurological_L2:Dementia,
5968,Neurological,Dementia,a294653019,Arteriosclerotic dementia with delirium,L1:Neurological_L2:Dementia,
5969,Neurological,Dementia,a294654013,Arteriosclerotic dementia with paranoia,L1:Neurological_L2:Dementia,
5970,Neurological,Dementia,a294655014,Arteriosclerotic dementia with depression,L1:Neurological_L2:Dementia,
5971,Neurological,Dementia,a294656010,Arteriosclerotic dementia NOS,L1:Neurological_L2:Dementia,
5972,Neurological,Dementia,a294660013,Senile or presenile psychoses NOS,L1:Neurological_L2:Dementia,
5973,Neurological,Dementia,a294662017,Korsakov's alcoholic psychosis with peripheral neuritis,L1:Neurological_L2:Dementia,
5974,Neurological,Dementia,a294688019,Drug-induced dementia,L1:Neurological_L2:Dementia,
5975,Neurological,Dementia,a294718018,Dementia in conditions EC,L1:Neurological_L2:Dementia,
5976,Neurological,Dementia,a295668011,[X]Dementia in Alzheimer's disease,L1:Neurological_L2:Dementia,
5977,Neurological,Dementia,a295671015,"[X]Dementia in Alzheimer's dis, atypical or mixed type",L1:Neurological_L2:Dementia,
5978,Neurological,Dementia,a295672010,"[X]Dementia in Alzheimer's disease, unspecified",L1:Neurological_L2:Dementia,
5979,Neurological,Dementia,a295680015,[X]Other vascular dementia,L1:Neurological_L2:Dementia,
5980,Neurological,Dementia,a295681016,"[X]Vascular dementia, unspecified",L1:Neurological_L2:Dementia,
5981,Neurological,Dementia,a295684012,Dementia associated with another disease,L1:Neurological_L2:Dementia,
5982,Neurological,Dementia,a295685013,Dementia due to Pick's disease,L1:Neurological_L2:Dementia,
5983,Neurological,Dementia,a295686014,Dementia due to Creutzfeldt Jakob disease,L1:Neurological_L2:Dementia,
5984,Neurological,Dementia,a295687017,Dementia due to Huntington chorea,L1:Neurological_L2:Dementia,
5985,Neurological,Dementia,a295688010,Dementia in Parkinsons disease,L1:Neurological_L2:Dementia,
5986,Neurological,Dementia,a295690011,[X]Dementia in other specified diseases classif elsewhere,L1:Neurological_L2:Dementia,
5987,Neurological,Dementia,a295713019,"[X]Delirium not superimposed on dementia, so described",L1:Neurological_L2:Dementia,
5988,Neurological,Dementia,a295714013,[X]Delirium superimposed on dementia,L1:Neurological_L2:Dementia,
5989,Neurological,Dementia,a296994014,Cerebral degeneration in Hunter's disease,L1:Neurological_L2:Dementia,
5990,Neurological,Dementia,a296996011,Cerebral degeneration in disease NOS,L1:Neurological_L2:Dementia,
5991,Neurological,Dementia,a296997019,Other cerebral degenerations in childhood,L1:Neurological_L2:Dementia,
5992,Neurological,Dementia,a296999016,Childhood cerebral degenerations NOS,L1:Neurological_L2:Dementia,
5993,Neurological,Dementia,a297000018,Degenerative brain disorder,L1:Neurological_L2:Dementia,
