Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6112,Neurological,Multiple_Sclerosis,a1148911000000119,Multiple sclerosis review declined,L1:Neurological_L2:Multiple_Sclerosis,
6113,Neurological,Multiple_Sclerosis,a1223979019,Disseminated sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6114,Neurological,Multiple_Sclerosis,a1674121000000119,Multiple sclerosis monitoring administration,L1:Neurological_L2:Multiple_Sclerosis,
6115,Neurological,Multiple_Sclerosis,a1674381000000115,Multiple sclerosis monitoring first letter (procedure),L1:Neurological_L2:Multiple_Sclerosis,
6116,Neurological,Multiple_Sclerosis,a1674661000000118,Multiple sclerosis monitoring second letter,L1:Neurological_L2:Multiple_Sclerosis,
6117,Neurological,Multiple_Sclerosis,a1674971000000118,Multiple sclerosis monitoring telephone invitation (procedure),L1:Neurological_L2:Multiple_Sclerosis,
6118,Neurological,Multiple_Sclerosis,a1675051000000110,Multiple sclerosis monitoring third letter (procedure),L1:Neurological_L2:Multiple_Sclerosis,
6119,Neurological,Multiple_Sclerosis,a1679791000006113,Management of multiple sclerosis in progressive disability phase (regime/therapy),L1:Neurological_L2:Multiple_Sclerosis,
6120,Neurological,Multiple_Sclerosis,a1682241000006111,Multiple sclerosis (MS) relapsing remitting,L1:Neurological_L2:Multiple_Sclerosis,
6121,Neurological,Multiple_Sclerosis,a1747821000006117,Multiple sclerosis monitoring administration,L1:Neurological_L2:Multiple_Sclerosis,
6122,Neurological,Multiple_Sclerosis,a1747831000006119,Multiple sclerosis monitoring first letter,L1:Neurological_L2:Multiple_Sclerosis,
6123,Neurological,Multiple_Sclerosis,a1747851000006114,Multiple sclerosis monitoring third letter,L1:Neurological_L2:Multiple_Sclerosis,
6124,Neurological,Multiple_Sclerosis,a1747861000006111,Multiple sclerosis monitoring telephone invite,L1:Neurological_L2:Multiple_Sclerosis,
6125,Neurological,Multiple_Sclerosis,a1757431000000113,Referral to community multiple sclerosis team (procedure),L1:Neurological_L2:Multiple_Sclerosis,
6126,Neurological,Multiple_Sclerosis,a2674605012,Secondary progressive multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6127,Neurological,Multiple_Sclerosis,a2692565012,Primary progressive multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6128,Neurological,Multiple_Sclerosis,a2894411000006110,MS - Multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6129,Neurological,Multiple_Sclerosis,a297177019,Multiple sclerosis of the spinal cord (disorder),L1:Neurological_L2:Multiple_Sclerosis,
6130,Neurological,Multiple_Sclerosis,a297179016,Generalized multiple sclerosis (disorder),L1:Neurological_L2:Multiple_Sclerosis,
6131,Neurological,Multiple_Sclerosis,a297180018,Exacerbation of multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6132,Neurological,Multiple_Sclerosis,a297181019,Multiple sclerosis NOS,L1:Neurological_L2:Multiple_Sclerosis,
6133,Neurological,Multiple_Sclerosis,a299241000000110,Multiple sclerosis review (regime/therapy),L1:Neurological_L2:Multiple_Sclerosis,
6134,Neurological,Multiple_Sclerosis,a300141000000119,Multiple sclerosis care plan agreed (finding),L1:Neurological_L2:Multiple_Sclerosis,
6135,Neurological,Multiple_Sclerosis,a315671000000110,Multiple sclerosis multidisciplinary review,L1:Neurological_L2:Multiple_Sclerosis,
6136,Neurological,Multiple_Sclerosis,a41398015,Multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6137,Neurological,Multiple_Sclerosis,a4769281000006110,Multiple sclerosis of the brainstem,L1:Neurological_L2:Multiple_Sclerosis,
6138,Neurological,Multiple_Sclerosis,a4769291000006113,Brain stem multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6139,Neurological,Multiple_Sclerosis,a4769321000006116,Generalized multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6140,Neurological,Multiple_Sclerosis,a5006891000006112,Acute relapsing multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6141,Neurological,Multiple_Sclerosis,a5006901000006111,Chronic progressive multiple sclerosis (disorder),L1:Neurological_L2:Multiple_Sclerosis,
6142,Neurological,Multiple_Sclerosis,a5006911000006114,Multiple sclerosis (MS) chronic/progressive,L1:Neurological_L2:Multiple_Sclerosis,
6143,Neurological,Multiple_Sclerosis,a5006921000006118,Remittent-progressive multiple sclerosis (disorder),L1:Neurological_L2:Multiple_Sclerosis,
6144,Neurological,Multiple_Sclerosis,a5552111000006118,Kurtzke multiple sclerosis rating scale,L1:Neurological_L2:Multiple_Sclerosis,
6145,Neurological,Multiple_Sclerosis,a641211000000118,Benign multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6146,Neurological,Multiple_Sclerosis,a641301000000114,Malignant multiple sclerosis (disorder),L1:Neurological_L2:Multiple_Sclerosis,
6147,Neurological,Multiple_Sclerosis,a695191000006119,Multiple sclerosis of the brainstem,L1:Neurological_L2:Multiple_Sclerosis,
6148,Neurological,Multiple_Sclerosis,a699671000000115,Management of multiple sclerosis in onset phase (regime/therapy),L1:Neurological_L2:Multiple_Sclerosis,
6149,Neurological,Multiple_Sclerosis,a699731000000110,Management of multiple sclerosis in early disease phase,L1:Neurological_L2:Multiple_Sclerosis,
6150,Neurological,Multiple_Sclerosis,a699791000000111,Management of multiple sclerosis in stable disability phase (regime/therapy),L1:Neurological_L2:Multiple_Sclerosis,
6151,Neurological,Multiple_Sclerosis,a699911000000117,Management of multiple sclerosis in palliative phase,L1:Neurological_L2:Multiple_Sclerosis,
6152,Neurological,Multiple_Sclerosis,a7045281000006112,Multiple sclerosis (MS) secondary progressive,L1:Neurological_L2:Multiple_Sclerosis,
6153,Neurological,Multiple_Sclerosis,a7058051000006116,Multiple sclerosis (MS) relapsing remitting,L1:Neurological_L2:Multiple_Sclerosis,
6154,Neurological,Multiple_Sclerosis,a7092351000006112,Multiple sclerosis (MS) primary progressive,L1:Neurological_L2:Multiple_Sclerosis,
6155,Neurological,Multiple_Sclerosis,a7510741000006111,Dementia associated with multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6156,Neurological,Multiple_Sclerosis,a7861151000006116,Progressive relapsing multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6157,Neurological,Multiple_Sclerosis,a8024671000006115,Dementia due to multiple sclerosis with altered behaviour,L1:Neurological_L2:Multiple_Sclerosis,new 2023
6158,Neurological,Multiple_Sclerosis,a8238411000006112,Management of multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,new 2023
6159,Neurological,Multiple_Sclerosis,a905781000006118,[RFC] Multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6160,Neurological,Multiple_Sclerosis,a908811000006112,[RFC] Multiple sclerosis,L1:Neurological_L2:Multiple_Sclerosis,
6161,Neurological,Multiple_Sclerosis,a979461000006111,Spec serv for pat with multiple sclerosis - enh serv admin,L1:Neurological_L2:Multiple_Sclerosis,
6162,Neurological,Multiple_Sclerosis,a983261000006119,Multiple sclerosis - personal health plan,L1:Neurological_L2:Multiple_Sclerosis,
6163,Neurological,Multiple_Sclerosis,a983291000006110,Multiple sclerosis - primary progressive,L1:Neurological_L2:Multiple_Sclerosis,
6164,Neurological,Multiple_Sclerosis,a983301000006111,Multiple sclerosis - secondary progressive,L1:Neurological_L2:Multiple_Sclerosis,
6165,Neurological,Multiple_Sclerosis,a983311000006114,Multiple sclerosis - relapsing remitting,L1:Neurological_L2:Multiple_Sclerosis,
