Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6166,Neurological,Parkinsons_D,a1776241000006114,Staff group: Nursing - Parkinson and Alzheimer Nursing/Liaison,L1:Neurological_L2:Parkinsons_D,
6167,Neurological,Parkinsons_D,a1776901000006117,Reason for referral: Parkinsons Disease,L1:Neurological_L2:Parkinsons_D,
6168,Neurological,Parkinsons_D,a1863311000006117,Referral by Parkinsons disease nurse specialist,L1:Neurological_L2:Parkinsons_D,
6169,Neurological,Parkinsons_D,a1925611000006114,Referral to community Parkinson's disease clinical nurse specialist,L1:Neurological_L2:Parkinsons_D,
6170,Neurological,Parkinsons_D,a1981961000006112,Lindop Parkinson's assessment scale - gait mobility score,L1:Neurological_L2:Parkinsons_D,
6171,Neurological,Parkinsons_D,a1982141000006118,Lindop Parkinson's assessment scale - bed mobility score,L1:Neurological_L2:Parkinsons_D,
6172,Neurological,Parkinsons_D,a2190891000000112,Lindop Parkinson's assessment scale score,L1:Neurological_L2:Parkinsons_D,
6173,Neurological,Parkinsons_D,a2229391000000119,Referral to Parkinson's service,L1:Neurological_L2:Parkinsons_D,
6174,Neurological,Parkinsons_D,a2269041000000116,Referral to community Parkinson's service,L1:Neurological_L2:Parkinsons_D,
6175,Neurological,Parkinsons_D,a244331000006111,Parkinsons Society member,L1:Neurological_L2:Parkinsons_D,
6176,Neurological,Parkinsons_D,a2841061014,"Multiple system atrophy, Parkinson variant",L1:Neurological_L2:Parkinsons_D,
6177,Neurological,Parkinsons_D,a295688010,Dementia in Parkinsons disease,L1:Neurological_L2:Parkinsons_D,
6178,Neurological,Parkinsons_D,a297037012,Parkinson's disease NOS,L1:Neurological_L2:Parkinsons_D,
6179,Neurological,Parkinsons_D,a297043014,Orthostatic hypotension co-occurrent and due to Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6180,Neurological,Parkinsons_D,a299321016,"[X]Secondary parkinsonism, unspecified",L1:Neurological_L2:Parkinsons_D,
6181,Neurological,Parkinsons_D,a299323018,[X]Secondary parkinsonism due to other external agents,L1:Neurological_L2:Parkinsons_D,
6182,Neurological,Parkinsons_D,a3293631000006118,Idiopathic Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6183,Neurological,Parkinsons_D,a3293641000006111,Parkinson disease,L1:Neurological_L2:Parkinsons_D,
6184,Neurological,Parkinsons_D,a3293651000006113,PD - Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6185,Neurological,Parkinsons_D,a3293661000006110,Parkinsons disease,L1:Neurological_L2:Parkinsons_D,
6186,Neurological,Parkinsons_D,a3511181000006115,Parkinson-dementia complex of Guam,L1:Neurological_L2:Parkinsons_D,
6187,Neurological,Parkinsons_D,a4538481000006113,Parkinson's Society member,L1:Neurological_L2:Parkinsons_D,
6188,Neurological,Parkinsons_D,a5005931000006110,Secondary Parkinson disease,L1:Neurological_L2:Parkinsons_D,
6189,Neurological,Parkinsons_D,a5681081000006118,Parkinson's disease nurse,L1:Neurological_L2:Parkinsons_D,
6190,Neurological,Parkinsons_D,a5681091000006115,Parkinson disease nurse,L1:Neurological_L2:Parkinsons_D,
6191,Neurological,Parkinsons_D,a636681000000117,Cerebral degeneration in Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6192,Neurological,Parkinsons_D,a7043651000006119,Dementia associated with Parkinson's Disease,L1:Neurological_L2:Parkinsons_D,
6193,Neurological,Parkinsons_D,a7043661000006117,Dementia associated with Parkinson Disease,L1:Neurological_L2:Parkinsons_D,
6194,Neurological,Parkinsons_D,a7289421000006111,"Multiple system atrophy, Parkinson's variant",L1:Neurological_L2:Parkinsons_D,
6195,Neurological,Parkinsons_D,a7567911000006113,Parkinson's disease clinic,L1:Neurological_L2:Parkinsons_D,
6196,Neurological,Parkinsons_D,a7730791000006112,Young onset Parkinson disease,L1:Neurological_L2:Parkinsons_D,new 2023
6197,Neurological,Parkinsons_D,a7730801000006113,Young onset Parkinson's disease,L1:Neurological_L2:Parkinsons_D,new 2023
6198,Neurological,Parkinsons_D,a7730811000006111,Early onset Parkinson disease,L1:Neurological_L2:Parkinsons_D,
6199,Neurological,Parkinsons_D,a7730821000006115,Early onset Parkinson's disease,L1:Neurological_L2:Parkinsons_D,new 2023
6200,Neurological,Parkinsons_D,a7790241000006117,Psychosis co-occurrent and due to Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6201,Neurological,Parkinsons_D,a8031751000006119,Dementia due to Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6202,Neurological,Parkinsons_D,a8031761000006117,Dementia due to Parkinsons disease,L1:Neurological_L2:Parkinsons_D,
6203,Neurological,Parkinsons_D,a8031771000006112,Dementia due to Parkinson disease,L1:Neurological_L2:Parkinsons_D,new 2023
6204,Neurological,Parkinsons_D,a8109641000006112,Unified Parkinsons disease rating scale score,L1:Neurological_L2:Parkinsons_D,
6205,Neurological,Parkinsons_D,a81717011,Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6206,Neurological,Parkinsons_D,a905821000006112,[RFC] Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
6207,Neurological,Parkinsons_D,a909021000006117,[RFC] Parkinson's disease,L1:Neurological_L2:Parkinsons_D,
