Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6208,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a1757331000000118,Trigeminal autonomic cephalalgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6209,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a211231000006113,Post-herpetic polyneuropathy,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6210,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a211241000006115,Postherpetic trigeminal neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6211,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a217001000006117,Post-herpetic neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6212,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a2533651000006115,PHN - Post-herpetic neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6213,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a265906016,Decompression of trigeminal nerve (V),L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6214,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a297427010,Trigeminal neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6215,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a297428017,Trigeminal neuralgia NOS,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6216,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a297429013,Other trigeminal nerve disorder,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6217,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a297430015,Trigeminal nerve disorder NOS,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6218,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a299349011,[X]Other disorders of trigeminal nerve,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6219,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a30355011,Post-herpetic trigeminal neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6220,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a335531000006111,Trigeminal nerve,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6221,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a4742271000006114,Eczema herpeticum,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6222,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a4765019,Postherpetic neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6223,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a5009221000006118,Secondary trigeminal neuralgia,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6224,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a502155015,Trigeminal (5th) nerve injury,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6225,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a87721000006119,Trigeminal nerve disorder,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6226,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a8904017,Shingles,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6227,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a905671000006114,[RFC] Shingles,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6228,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a905931000006117,[RFC] Shingles,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
6229,Neuropathic_pain,Neuraliga_Postherpetic+Trigeminal,a99366010,Herpetic ulceration of vulva,L1:Neuropathic_pain_L2:Neuraliga_Postherpetic+Trigeminal,
