Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6230,Neuropathic_pain,Neuropathic_pain,a108062014,Hereditary peripheral neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6231,Neuropathic_pain,Neuropathic_pain,a1219655013,Hereditary motor and sensory neuropathy type III,L1:Neuropathic_pain_L2:Neuropathic_pain,
6232,Neuropathic_pain,Neuropathic_pain,a1224865018,Hereditary motor and sensory neuropathy type IV,L1:Neuropathic_pain_L2:Neuropathic_pain,
6233,Neuropathic_pain,Neuropathic_pain,a1234144017,Polyneuropathy in malignant disease,L1:Neuropathic_pain_L2:Neuropathic_pain,
6234,Neuropathic_pain,Neuropathic_pain,a14071301000006119,Autonomic neuropathy due to amyloidosis,L1:Neuropathic_pain_L2:Neuropathic_pain,
6235,Neuropathic_pain,Neuropathic_pain,a143436010,Idiopathic peripheral autonomic neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6236,Neuropathic_pain,Neuropathic_pain,a1772901000006118,Critical illness polyneuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6237,Neuropathic_pain,Neuropathic_pain,a1777664015,Hereditary motor and sensory neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6238,Neuropathic_pain,Neuropathic_pain,a1786065018,Hereditary motor and sensory neuropathy type I,L1:Neuropathic_pain_L2:Neuropathic_pain,
6239,Neuropathic_pain,Neuropathic_pain,a1786163010,Hereditary motor and sensory neuropathy type II,L1:Neuropathic_pain_L2:Neuropathic_pain,
6240,Neuropathic_pain,Neuropathic_pain,a19796013,Hereditary sensory neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6241,Neuropathic_pain,Neuropathic_pain,a211231000006113,Post-herpetic polyneuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6242,Neuropathic_pain,Neuropathic_pain,a212551000006110,Post-zoster neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6243,Neuropathic_pain,Neuropathic_pain,a214871000006114,Polyneuropathy due to drugs,L1:Neuropathic_pain_L2:Neuropathic_pain,
6244,Neuropathic_pain,Neuropathic_pain,a215061000006110,Polyneuropathy in uraemia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6245,Neuropathic_pain,Neuropathic_pain,a217001000006117,Post-herpetic neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6246,Neuropathic_pain,Neuropathic_pain,a235151000006117,Migrainous neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6247,Neuropathic_pain,Neuropathic_pain,a2501361000006119,Supraorbital neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6248,Neuropathic_pain,Neuropathic_pain,a2504831000006117,Secondary peripheral neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6249,Neuropathic_pain,Neuropathic_pain,a2533651000006115,PHN - Post-herpetic neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6250,Neuropathic_pain,Neuropathic_pain,a2561231000006116,Mixed sensory-motor polyneuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6251,Neuropathic_pain,Neuropathic_pain,a2868221000006114,Cranial neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6252,Neuropathic_pain,Neuropathic_pain,a2906481000006116,Peripheral neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6253,Neuropathic_pain,Neuropathic_pain,a2911061000006114,Femoral neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6254,Neuropathic_pain,Neuropathic_pain,a297162010,Idiopathic peripheral autonomic neuropathy NOS,L1:Neuropathic_pain_L2:Neuropathic_pain,
6255,Neuropathic_pain,Neuropathic_pain,a297164011,Autonomic neuropathy due to amyloid,L1:Neuropathic_pain_L2:Neuropathic_pain,
6256,Neuropathic_pain,Neuropathic_pain,a297165012,Disease related peripheral neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6257,Neuropathic_pain,Neuropathic_pain,a297511018,Hereditary and idiopathic peripheral neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6258,Neuropathic_pain,Neuropathic_pain,a297519016,Hereditary peripheral neuropathy NOS,L1:Neuropathic_pain_L2:Neuropathic_pain,
6259,Neuropathic_pain,Neuropathic_pain,a297525017,Neuropathy in association with hereditary ataxia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6260,Neuropathic_pain,Neuropathic_pain,a297528015,Idiopathic peripheral neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6261,Neuropathic_pain,Neuropathic_pain,a297530018,Other idiopathic peripheral neuropathy NOS,L1:Neuropathic_pain_L2:Neuropathic_pain,
6262,Neuropathic_pain,Neuropathic_pain,a297531019,Hereditary or idiopathic peripheral neuropathy NOS,L1:Neuropathic_pain_L2:Neuropathic_pain,
6263,Neuropathic_pain,Neuropathic_pain,a297540015,Polyneuropathy in collagen vascular disease,L1:Neuropathic_pain_L2:Neuropathic_pain,
6264,Neuropathic_pain,Neuropathic_pain,a297542011,Polyneuropathy in disseminated lupus erythematosus,L1:Neuropathic_pain_L2:Neuropathic_pain,
6265,Neuropathic_pain,Neuropathic_pain,a297543018,Polyneuropathy in polyarteritis nodosa,L1:Neuropathic_pain_L2:Neuropathic_pain,
6266,Neuropathic_pain,Neuropathic_pain,a297544012,Polyneuropathy in rheumatoid arthritis,L1:Neuropathic_pain_L2:Neuropathic_pain,
6267,Neuropathic_pain,Neuropathic_pain,a297553017,Polyneuropathy in disease EC,L1:Neuropathic_pain_L2:Neuropathic_pain,
6268,Neuropathic_pain,Neuropathic_pain,a297554011,Polyneuropathy in amyloidosis,L1:Neuropathic_pain_L2:Neuropathic_pain,
6269,Neuropathic_pain,Neuropathic_pain,a297555012,Polyneuropathy in vitamin B deficiency,L1:Neuropathic_pain_L2:Neuropathic_pain,
6270,Neuropathic_pain,Neuropathic_pain,a297557016,Polyneuropathy in herpes zoster,L1:Neuropathic_pain_L2:Neuropathic_pain,
6271,Neuropathic_pain,Neuropathic_pain,a297558014,Polyneuropathy in hypoglycaemia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6272,Neuropathic_pain,Neuropathic_pain,a297564019,Polyneuropathy in porphyria,L1:Neuropathic_pain_L2:Neuropathic_pain,
6273,Neuropathic_pain,Neuropathic_pain,a297566017,Polyneuropathy in sarcoidosis,L1:Neuropathic_pain_L2:Neuropathic_pain,
6274,Neuropathic_pain,Neuropathic_pain,a297569012,Polyneuropathy in disease NOS,L1:Neuropathic_pain_L2:Neuropathic_pain,
6275,Neuropathic_pain,Neuropathic_pain,a297571012,Other toxic agent polyneuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6276,Neuropathic_pain,Neuropathic_pain,a297574016,Other toxic or inflammatory neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6277,Neuropathic_pain,Neuropathic_pain,a297575015,Serum neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6278,Neuropathic_pain,Neuropathic_pain,a2984201000006119,Interdigital neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
6279,Neuropathic_pain,Neuropathic_pain,a299306010,Paraneoplastic neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6280,Neuropathic_pain,Neuropathic_pain,a299359012,Mononeuropathy of upper limb,L1:Neuropathic_pain_L2:Neuropathic_pain,
6281,Neuropathic_pain,Neuropathic_pain,a299360019,Mononeuropathy of lower limb,L1:Neuropathic_pain_L2:Neuropathic_pain,
6282,Neuropathic_pain,Neuropathic_pain,a299365012,Inflammatory neuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6283,Neuropathic_pain,Neuropathic_pain,a299375010,Inflammatory polyneuropathy,L1:Neuropathic_pain_L2:Neuropathic_pain,
6284,Neuropathic_pain,Neuropathic_pain,a3073901000006119,Cervicobrachial neuralgia,L1:Neuropathic_pain_L2:Neuropathic_pain,
