Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8870,Opioid_misuse,Opioid_misuse,a1485129010,Failed heroin detoxification,L1:Opioid_misuse_L2:Opioid_misuse,
8871,Opioid_misuse,Opioid_misuse,a1715481000000114,Drug addiction maintenance therapy - naltrexone,L1:Opioid_misuse_L2:Opioid_misuse,
8872,Opioid_misuse,Opioid_misuse,a1715521000000114,Drug addiction maintenance therapy - lofexidine,L1:Opioid_misuse_L2:Opioid_misuse,
8873,Opioid_misuse,Opioid_misuse,a1880021000006116,Opioid substitution therapy monitoring,L1:Opioid_misuse_L2:Opioid_misuse,
8874,Opioid_misuse,Opioid_misuse,a1971421000006118,"Mental and behav dis due to use opioids: withdrawal state, uncomplicated",L1:Opioid_misuse_L2:Opioid_misuse,
8875,Opioid_misuse,Opioid_misuse,a1971441000006113,"Mental and behav dis due to use opioids: withdrawal state, with convulsions",L1:Opioid_misuse_L2:Opioid_misuse,
8876,Opioid_misuse,Opioid_misuse,a1971451000006110,"Men & behav dis due opioid: withdrawl state with delirium, without convulsions",L1:Opioid_misuse_L2:Opioid_misuse,
8877,Opioid_misuse,Opioid_misuse,a1971461000006112,"Men & behav dis due opioid: withdrawl state with delirium, with convulsions",L1:Opioid_misuse_L2:Opioid_misuse,
8878,Opioid_misuse,Opioid_misuse,a1971471000006117,"Mental & behav dis due to use opioids: psychotic disorder, schizophrenia-like",L1:Opioid_misuse_L2:Opioid_misuse,
8879,Opioid_misuse,Opioid_misuse,a1971501000006112,"Mental & behav dis due to use opioids: psychotic disorder, predominantly delusional",L1:Opioid_misuse_L2:Opioid_misuse,
8880,Opioid_misuse,Opioid_misuse,a1971521000006119,"Mental & behav dis due to use opioids: psychotic disorder, predominantly hallucinatory",L1:Opioid_misuse_L2:Opioid_misuse,
8881,Opioid_misuse,Opioid_misuse,a1971531000006116,"Mental & behav dis due to use opioids: psychotic disorder, predominantly polymorphic",L1:Opioid_misuse_L2:Opioid_misuse,
8882,Opioid_misuse,Opioid_misuse,a1971571000006118,"Mental & behav dis due to use opioids: psychotic disorder, predominantly depressive symptoms",L1:Opioid_misuse_L2:Opioid_misuse,
8883,Opioid_misuse,Opioid_misuse,a1971601000006113,"Mental & behav dis due to use opioids: psychotic disorder, predominantly manic symptoms",L1:Opioid_misuse_L2:Opioid_misuse,
8884,Opioid_misuse,Opioid_misuse,a1971631000006117,"Mental & behav dis due to use opioids: psychotic disorder, mixed",L1:Opioid_misuse_L2:Opioid_misuse,
8885,Opioid_misuse,Opioid_misuse,a1971651000006112,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, flashbacks",L1:Opioid_misuse_L2:Opioid_misuse,
8886,Opioid_misuse,Opioid_misuse,a1971671000006119,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, personality or behaviour disorder",L1:Opioid_misuse_L2:Opioid_misuse,
8887,Opioid_misuse,Opioid_misuse,a1971681000006116,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, residual affective disorder",L1:Opioid_misuse_L2:Opioid_misuse,
