Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6358,Osteoporosis,Osteoporosis,a107806013,Osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6359,Osteoporosis,Osteoporosis,a1122231000000117,Osteoporosis enhanced services administration,L1:Osteoporosis_L2:Osteoporosis,
6360,Osteoporosis,Osteoporosis,a1137811000000114,History of osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6361,Osteoporosis,Osteoporosis,a11639581000006117,At high risk of osteoporotic fracture,L1:Osteoporosis_L2:Osteoporosis,
6362,Osteoporosis,Osteoporosis,a12002671000006112,Osteoporosis monitoring refused,L1:Osteoporosis_L2:Osteoporosis,
6363,Osteoporosis,Osteoporosis,a13639231000006113,Osteoporosis monitoring done,L1:Osteoporosis_L2:Osteoporosis,
6364,Osteoporosis,Osteoporosis,a1484866013,Osteoporosis due to corticosteroids,L1:Osteoporosis_L2:Osteoporosis,
6365,Osteoporosis,Osteoporosis,a1485032011,Osteoporosis monitoring administration,L1:Osteoporosis_L2:Osteoporosis,
6366,Osteoporosis,Osteoporosis,a1485033018,Attends osteoporosis monitoring,L1:Osteoporosis_L2:Osteoporosis,
6367,Osteoporosis,Osteoporosis,a1485035013,Osteoporosis monitoring default,L1:Osteoporosis_L2:Osteoporosis,
6368,Osteoporosis,Osteoporosis,a1485036014,Osteoporosis monitoring first letter,L1:Osteoporosis_L2:Osteoporosis,
6369,Osteoporosis,Osteoporosis,a1485037017,Osteoporosis monitoring second letter,L1:Osteoporosis_L2:Osteoporosis,
6370,Osteoporosis,Osteoporosis,a1485038010,Osteoporosis monitoring third letter,L1:Osteoporosis_L2:Osteoporosis,
6371,Osteoporosis,Osteoporosis,a1485039019,Osteoporosis monitoring verbal invitation,L1:Osteoporosis_L2:Osteoporosis,
6372,Osteoporosis,Osteoporosis,a1485040017,Osteoporosis monitoring telephone invitation,L1:Osteoporosis_L2:Osteoporosis,
6373,Osteoporosis,Osteoporosis,a1485041018,Osteoporosis monitoring deleted,L1:Osteoporosis_L2:Osteoporosis,
6374,Osteoporosis,Osteoporosis,a1485042013,Osteoporosis monitoring check done,L1:Osteoporosis_L2:Osteoporosis,
6375,Osteoporosis,Osteoporosis,a1485044014,Osteoporosis risk assessment refused,L1:Osteoporosis_L2:Osteoporosis,
6376,Osteoporosis,Osteoporosis,a1485045010,Osteoporosis risk assessment defaulted,L1:Osteoporosis_L2:Osteoporosis,
6377,Osteoporosis,Osteoporosis,a1485046011,Osteoporosis monitoring,L1:Osteoporosis_L2:Osteoporosis,
6378,Osteoporosis,Osteoporosis,a1485048012,Follow-up osteoporosis assessment,L1:Osteoporosis_L2:Osteoporosis,
6379,Osteoporosis,Osteoporosis,a1485049016,Osteoporosis treatment started,L1:Osteoporosis_L2:Osteoporosis,
6380,Osteoporosis,Osteoporosis,a1485050016,Osteoporosis treatment stopped,L1:Osteoporosis_L2:Osteoporosis,
6381,Osteoporosis,Osteoporosis,a1485051017,Osteoporosis treatment changed,L1:Osteoporosis_L2:Osteoporosis,
6382,Osteoporosis,Osteoporosis,a1485052012,Osteoporosis - no treatment,L1:Osteoporosis_L2:Osteoporosis,
6383,Osteoporosis,Osteoporosis,a1485053019,Osteoporosis - dietary advice,L1:Osteoporosis_L2:Osteoporosis,
6384,Osteoporosis,Osteoporosis,a1485054013,Osteoporosis - dietary assessment,L1:Osteoporosis_L2:Osteoporosis,
6385,Osteoporosis,Osteoporosis,a1485055014,Osteoporosis - exercise advice,L1:Osteoporosis_L2:Osteoporosis,
6386,Osteoporosis,Osteoporosis,a1485056010,Osteoporosis - falls prevention,L1:Osteoporosis_L2:Osteoporosis,
6387,Osteoporosis,Osteoporosis,a1485057018,Osteoporosis - treatment response,L1:Osteoporosis_L2:Osteoporosis,
6388,Osteoporosis,Osteoporosis,a1485059015,Osteoporosis - no treatment response,L1:Osteoporosis_L2:Osteoporosis,
6389,Osteoporosis,Osteoporosis,a1485061012,Refer to osteoporosis specialist,L1:Osteoporosis_L2:Osteoporosis,
6390,Osteoporosis,Osteoporosis,a1485065015,Seen in osteoporosis clinic,L1:Osteoporosis_L2:Osteoporosis,
6391,Osteoporosis,Osteoporosis,a1485068018,At risk of osteoporotic fracture,L1:Osteoporosis_L2:Osteoporosis,
6392,Osteoporosis,Osteoporosis,a1485088019,Forearm DXA scan result osteoporotic,L1:Osteoporosis_L2:Osteoporosis,
6393,Osteoporosis,Osteoporosis,a1485093016,Heel DXA scan result osteoporotic,L1:Osteoporosis_L2:Osteoporosis,
6394,Osteoporosis,Osteoporosis,a1485098013,Hip DXA scan result osteoporotic,L1:Osteoporosis_L2:Osteoporosis,
6395,Osteoporosis,Osteoporosis,a1485103010,Lumbar DXA scan result osteoporotic,L1:Osteoporosis_L2:Osteoporosis,
6396,Osteoporosis,Osteoporosis,a1485109014,Quantitative ultrasound scan of heel - result osteoporotic,L1:Osteoporosis_L2:Osteoporosis,
6397,Osteoporosis,Osteoporosis,a1488638010,Health education - osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6398,Osteoporosis,Osteoporosis,a1554431000000115,Osteoporosis medication prophylaxis,L1:Osteoporosis_L2:Osteoporosis,
6399,Osteoporosis,Osteoporosis,a1555521000000117,Osteoporosis resolved,L1:Osteoporosis_L2:Osteoporosis,
6400,Osteoporosis,Osteoporosis,a1573631000006112,H/O: osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6401,Osteoporosis,Osteoporosis,a1676361000006112,Patient in osteoporosis study,L1:Osteoporosis_L2:Osteoporosis,
6402,Osteoporosis,Osteoporosis,a1715131000006113,Bone sparing drug treatment offered for osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6403,Osteoporosis,Osteoporosis,a1754951000006110,Exception reporting - osteoporosis quality indicators,L1:Osteoporosis_L2:Osteoporosis,
6404,Osteoporosis,Osteoporosis,a1754971000006117,Excepted from osteoporosis quality indicators: informed dissent,L1:Osteoporosis_L2:Osteoporosis,
6405,Osteoporosis,Osteoporosis,a1823981000006115,Osteoporosis confirmed,L1:Osteoporosis_L2:Osteoporosis,
6406,Osteoporosis,Osteoporosis,a1824541000006116,QFracture osteoporotic fracture 10 year risk score,L1:Osteoporosis_L2:Osteoporosis,
6407,Osteoporosis,Osteoporosis,a1853181000006117,Osteoporosis treatment restart date,L1:Osteoporosis_L2:Osteoporosis,
6408,Osteoporosis,Osteoporosis,a1932111000006112,3D study - problems with osteoporosis management,L1:Osteoporosis_L2:Osteoporosis,
6409,Osteoporosis,Osteoporosis,a2017951000006111,Keele INCLUDE study - osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6410,Osteoporosis,Osteoporosis,a212431000006119,Postsurgical malabsorption osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6411,Osteoporosis,Osteoporosis,a212441000006112,Post-surgical malabsorption osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6412,Osteoporosis,Osteoporosis,a216206018,Pathological fracture due to osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6413,Osteoporosis,Osteoporosis,a2460011000000114,Osteoporosis medication compliance review,L1:Osteoporosis_L2:Osteoporosis,
6414,Osteoporosis,Osteoporosis,a2474275011,Referral to osteoporosis clinic,L1:Osteoporosis_L2:Osteoporosis,
6415,Osteoporosis,Osteoporosis,a2475469012,Posttraumatic osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6416,Osteoporosis,Osteoporosis,a24883018,Drug-induced osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6417,Osteoporosis,Osteoporosis,a2552271000006117,Idiopathic osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6418,Osteoporosis,Osteoporosis,a2737451000000118,FRAX 10 year osteoporotic fracture probability score with bone mineral density,L1:Osteoporosis_L2:Osteoporosis,
6419,Osteoporosis,Osteoporosis,a3021381000006110,Menopausal osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6420,Osteoporosis,Osteoporosis,a30475015,Senile osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6421,Osteoporosis,Osteoporosis,a312124013,"Osteoporosis, unspecified",L1:Osteoporosis_L2:Osteoporosis,
6422,Osteoporosis,Osteoporosis,a312133010,Postoophorectomy osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6423,Osteoporosis,Osteoporosis,a312136019,Localised osteoporosis - Lequesne,L1:Osteoporosis_L2:Osteoporosis,
6424,Osteoporosis,Osteoporosis,a312137011,Osteoporosis in multiple myelomatosis,L1:Osteoporosis_L2:Osteoporosis,
6425,Osteoporosis,Osteoporosis,a312138018,Osteoporosis in endocrine disorders,L1:Osteoporosis_L2:Osteoporosis,
6426,Osteoporosis,Osteoporosis,a312139014,Vertebral osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6427,Osteoporosis,Osteoporosis,a312142015,Osteoporosis NOS,L1:Osteoporosis_L2:Osteoporosis,
6428,Osteoporosis,Osteoporosis,a312156018,Postoophorectomy osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6429,Osteoporosis,Osteoporosis,a312157010,Osteoporosis of disuse with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6430,Osteoporosis,Osteoporosis,a312159013,Drug-induced osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6431,Osteoporosis,Osteoporosis,a312160015,Idiopathic osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6432,Osteoporosis,Osteoporosis,a312165013,Postmenopausal osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6433,Osteoporosis,Osteoporosis,a312441019,Osteoporotic kyphosis,L1:Osteoporosis_L2:Osteoporosis,
6434,Osteoporosis,Osteoporosis,a312681016,[X]Other osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6435,Osteoporosis,Osteoporosis,a312682011,[X]Other osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6436,Osteoporosis,Osteoporosis,a312683018,[X]Osteoporosis in other disorders classified elsewhere,L1:Osteoporosis_L2:Osteoporosis,
6437,Osteoporosis,Osteoporosis,a312689019,[X]Unspecified osteoporosis with pathological fracture,L1:Osteoporosis_L2:Osteoporosis,
6438,Osteoporosis,Osteoporosis,a3253881000006112,Osteoporotic fracture,L1:Osteoporosis_L2:Osteoporosis,
6439,Osteoporosis,Osteoporosis,a3362291000006115,Disuse osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6440,Osteoporosis,Osteoporosis,a3515006019,Premenopausal idiopathic osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6441,Osteoporosis,Osteoporosis,a3515008018,Osteoporosis due to malabsorption,L1:Osteoporosis_L2:Osteoporosis,
6442,Osteoporosis,Osteoporosis,a3525875019,FRAX (fracture risk assessment tool) osteoporotic fracture probability assessment tool,L1:Osteoporosis_L2:Osteoporosis,
6443,Osteoporosis,Osteoporosis,a3525912011,Osteoporotic fracture probability assessment using osteoporotic fracture risk assessment tool,L1:Osteoporosis_L2:Osteoporosis,
6444,Osteoporosis,Osteoporosis,a3525920013,Osteoporotic fracture probability score using fracture risk assessment tool,L1:Osteoporosis_L2:Osteoporosis,
6445,Osteoporosis,Osteoporosis,a3525999018,Osteoporotic fracture probability assessment using FRAX (fracture risk assessment tool),L1:Osteoporosis_L2:Osteoporosis,
6446,Osteoporosis,Osteoporosis,a3555091000006111,OP - Osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6447,Osteoporosis,Osteoporosis,a359833013,Osteoporotic vertebral collapse,L1:Osteoporosis_L2:Osteoporosis,
6448,Osteoporosis,Osteoporosis,a40871000006119,Osteoporosis with pathological fracture of cervical vertebrae,L1:Osteoporosis_L2:Osteoporosis,
6449,Osteoporosis,Osteoporosis,a453226012,Osteoporosis localised to spine,L1:Osteoporosis_L2:Osteoporosis,
6450,Osteoporosis,Osteoporosis,a455433012,Collapse of cervical vertebra due to osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6451,Osteoporosis,Osteoporosis,a455534015,Collapse of lumbar vertebra due to osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6452,Osteoporosis,Osteoporosis,a455535019,Collapse of thoracic vertebra due to osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6453,Osteoporosis,Osteoporosis,a455536018,Collapse of vertebra due to osteoporosis,L1:Osteoporosis_L2:Osteoporosis,
6454,Osteoporosis,Osteoporosis,a496578010,Disuse atrophy of bone,L1:Osteoporosis_L2:Osteoporosis,
