Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6769,PCOS,PCOS,a116049013,Polycystic ovaries,L1:PCOS_L2:PCOS,
6770,PCOS,PCOS,a13490341000006110,Polycystic ovary syndrome,L1:PCOS_L2:PCOS,
6771,PCOS,PCOS,a13490351000006112,PCOS- polycystic ovary syndrome,L1:PCOS_L2:PCOS,
6772,PCOS,PCOS,a13603301000006119,Polycystic ovary,L1:PCOS_L2:PCOS,
6773,PCOS,PCOS,a13931161000006111,Polycystic ovary syndrome of right ovary,L1:PCOS_L2:PCOS,
6774,PCOS,PCOS,a223381000000117,Stein - Leventhal syndrome,L1:PCOS_L2:PCOS,
6775,PCOS,PCOS,a2478811014,Polycystic ovarian syndrome,L1:PCOS_L2:PCOS,
6776,PCOS,PCOS,a3636201000006113,Polycystic ovarian disease,L1:PCOS_L2:PCOS,
6777,PCOS,PCOS,a3636221000006115,PCO - Polycystic ovaries,L1:PCOS_L2:PCOS,
6778,PCOS,PCOS,a3636241000006110,PCOS - Polycystic ovarian syndrome,L1:PCOS_L2:PCOS,
6779,PCOS,PCOS,a3636261000006114,Polycystic ovary syndrome,L1:PCOS_L2:PCOS,
6780,PCOS,PCOS,a501419018,Multicystic ovaries,L1:PCOS_L2:PCOS,
