Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6781,Psychiatric,Anxiety,a1210253015,Panic disorder,L1:Psychiatric_L2:Anxiety,
6782,Psychiatric,Anxiety,a12127531000006113,Recurrent mild major depressive disorder co-occurrent with anxiety,L1:Psychiatric_L2:Anxiety,
6783,Psychiatric,Anxiety,a12127541000006115,Recurrent severe major depressive disorder co-occurrent with anxiety,L1:Psychiatric_L2:Anxiety,
6784,Psychiatric,Anxiety,a12127551000006118,Recurrent moderate major depressive disorder co-occurrent with anxiety,L1:Psychiatric_L2:Anxiety,
6785,Psychiatric,Anxiety,a12127561000006116,Recurrent major depressive disorder co-occurrent with anxiety in full remission,L1:Psychiatric_L2:Anxiety,
6786,Psychiatric,Anxiety,a12127571000006111,Recurrent major depressive disorder in partial remission co-occurrent with anxiety,L1:Psychiatric_L2:Anxiety,
6787,Psychiatric,Anxiety,a121871000006118,Stress reaction causing mixed disturbance of emotion and conduct,L1:Psychiatric_L2:Anxiety,
6788,Psychiatric,Anxiety,a1230451012,Adjustment reaction with anxious mood,L1:Psychiatric_L2:Anxiety,
6789,Psychiatric,Anxiety,a138401000006119,Social phobic disorders,L1:Psychiatric_L2:Anxiety,
6790,Psychiatric,Anxiety,a1488717011,C/O - panic attack,L1:Psychiatric_L2:Anxiety,
6791,Psychiatric,Anxiety,a1808521000006110,Panic disorder without agoraphobia,L1:Psychiatric_L2:Anxiety,
6792,Psychiatric,Anxiety,a223631000000113,Phobic disorders,L1:Psychiatric_L2:Anxiety,
6793,Psychiatric,Anxiety,a223641000000116,Phobic anxiety disorder,L1:Psychiatric_L2:Anxiety,
6794,Psychiatric,Anxiety,a2287071000000115,Anxiety about breathlessness,L1:Psychiatric_L2:Anxiety,
6795,Psychiatric,Anxiety,a2335531000000117,Anxiety screening using questions,L1:Psychiatric_L2:Anxiety,
6796,Psychiatric,Anxiety,a2335571000000115,Patient given advice about management of anxiety,L1:Psychiatric_L2:Anxiety,
6797,Psychiatric,Anxiety,a253620013,O/E - anxious,L1:Psychiatric_L2:Anxiety,
6798,Psychiatric,Anxiety,a2536376012,Anxiousness,L1:Psychiatric_L2:Anxiety,
6799,Psychiatric,Anxiety,a2549138014,Depression anxiety stress scales anxiety score,L1:Psychiatric_L2:Anxiety,
6800,Psychiatric,Anxiety,a2549895012,O/E - panic attack,L1:Psychiatric_L2:Anxiety,
