Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
6965,Psychiatric,Bipolar,a12059201000006117,"Bipolar disorder, most recent episode depression",L1:Psychiatric_L2:Bipolar,Replaced
6966,Psychiatric,Bipolar,a12059211000006119,"Bipolar disorder, most recent episode manic",L1:Psychiatric_L2:Bipolar,Replaced
6967,Psychiatric,Bipolar,a13911951000006118,Rapid cycling bipolar II disorder,L1:Psychiatric_L2:Bipolar,
6968,Psychiatric,Bipolar,a1755911000006110,"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",L1:Psychiatric_L2:Bipolar,
6969,Psychiatric,Bipolar,a1785851000006110,Bipolar I disorder,L1:Psychiatric_L2:Bipolar,
6970,Psychiatric,Bipolar,a1785861000006112,Bipolar II disorder,L1:Psychiatric_L2:Bipolar,
6971,Psychiatric,Bipolar,a1785871000006117,[X]Bipolar II disorder,L1:Psychiatric_L2:Bipolar,
6972,Psychiatric,Bipolar,a1975931000006113,"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome",L1:Psychiatric_L2:Bipolar,
6973,Psychiatric,Bipolar,a1975941000006115,"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome",L1:Psychiatric_L2:Bipolar,
6974,Psychiatric,Bipolar,a294847017,Manic-depressive - now manic,L1:Psychiatric_L2:Bipolar,
6975,Psychiatric,Bipolar,a294848010,"Bipolar affective disorder, currently manic, unspecified",L1:Psychiatric_L2:Bipolar,
6976,Psychiatric,Bipolar,a294849019,"Bipolar affective disorder, currently manic, mild",L1:Psychiatric_L2:Bipolar,
6977,Psychiatric,Bipolar,a294850019,"Bipolar affective disorder, currently manic, moderate",L1:Psychiatric_L2:Bipolar,
6978,Psychiatric,Bipolar,a294858014,"Bipolar affective disorder, currently manic, NOS",L1:Psychiatric_L2:Bipolar,
6979,Psychiatric,Bipolar,a294860011,Manic-depressive - now depressed,L1:Psychiatric_L2:Bipolar,
6980,Psychiatric,Bipolar,a294861010,"Bipolar affective disorder, currently depressed, unspecified",L1:Psychiatric_L2:Bipolar,
6981,Psychiatric,Bipolar,a294862015,"Bipolar affective disorder, currently depressed, mild",L1:Psychiatric_L2:Bipolar,
6982,Psychiatric,Bipolar,a294863013,"Bipolar affective disorder, currently depressed, moderate",L1:Psychiatric_L2:Bipolar,
6983,Psychiatric,Bipolar,a294868016,"Bipolar affective disorder, currently depressed, NOS",L1:Psychiatric_L2:Bipolar,
6984,Psychiatric,Bipolar,a294869012,Mixed bipolar affective disorder,L1:Psychiatric_L2:Bipolar,
6985,Psychiatric,Bipolar,a294870013,"Mixed bipolar affective disorder, unspecified",L1:Psychiatric_L2:Bipolar,
6986,Psychiatric,Bipolar,a294871012,"Mixed bipolar affective disorder, mild",L1:Psychiatric_L2:Bipolar,
6987,Psychiatric,Bipolar,a294872017,"Mixed bipolar affective disorder, moderate",L1:Psychiatric_L2:Bipolar,
6988,Psychiatric,Bipolar,a294874016,"Mixed bipolar affective disorder, severe, with psychosis",L1:Psychiatric_L2:Bipolar,
