Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
7048,Psychiatric,Depression,a12127531000006113,Recurrent mild major depressive disorder co-occurrent with anxiety,L1:Psychiatric_L2:Depression,
7049,Psychiatric,Depression,a12127541000006115,Recurrent severe major depressive disorder co-occurrent with anxiety,L1:Psychiatric_L2:Depression,
7050,Psychiatric,Depression,a12127551000006118,Recurrent moderate major depressive disorder co-occurrent with anxiety,L1:Psychiatric_L2:Depression,
7051,Psychiatric,Depression,a12127561000006116,Recurrent major depressive disorder co-occurrent with anxiety in full remission,L1:Psychiatric_L2:Depression,
7052,Psychiatric,Depression,a12127571000006111,Recurrent major depressive disorder in partial remission co-occurrent with anxiety,L1:Psychiatric_L2:Depression,
7053,Psychiatric,Depression,a138421012,Agitated depression,L1:Psychiatric_L2:Depression,
7054,Psychiatric,Depression,a13902421000006110,Antenatal depression,L1:Psychiatric_L2:Depression,
7055,Psychiatric,Depression,a13962531000006113,Follow up for depression,L1:Psychiatric_L2:Depression,
7056,Psychiatric,Depression,a142521000006110,"Major depression single episode, in partial remission",L1:Psychiatric_L2:Depression,
7057,Psychiatric,Depression,a142541000006115,"Severe major depression, single episode",L1:Psychiatric_L2:Depression,
7058,Psychiatric,Depression,a1715181000006114,Moderate major depression,L1:Psychiatric_L2:Depression,
7059,Psychiatric,Depression,a1715191000006112,Severe major depression with psychotic features,L1:Psychiatric_L2:Depression,
7060,Psychiatric,Depression,a1715771000006112,Mild major depression,L1:Psychiatric_L2:Depression,
7061,Psychiatric,Depression,a1715781000006110,Severe major depression without psychotic features,L1:Psychiatric_L2:Depression,
7062,Psychiatric,Depression,a1755901000006112,"[X]Single major depressive episode, severe, with psychosis, psychosis in remission",L1:Psychiatric_L2:Depression,
7063,Psychiatric,Depression,a1755911000006110,"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",L1:Psychiatric_L2:Depression,
7064,Psychiatric,Depression,a1773563015,Depression management programme,L1:Psychiatric_L2:Depression,
7065,Psychiatric,Depression,a182721000006111,Recurrent major depressive episodes,L1:Psychiatric_L2:Depression,
7066,Psychiatric,Depression,a182771000006112,"Recurrent major depressive episodes, severe",L1:Psychiatric_L2:Depression,
7067,Psychiatric,Depression,a182801000006114,"Recurrent major depressive episodes,partial/unspec remission",L1:Psychiatric_L2:Depression,
7068,Psychiatric,Depression,a202561000006114,Prolonged depressive adjustment reaction,L1:Psychiatric_L2:Depression,
7069,Psychiatric,Depression,a213641000000111,[X]Mild depression,L1:Psychiatric_L2:Depression,
7070,Psychiatric,Depression,a223741000000112,Severe depression,L1:Psychiatric_L2:Depression,
7071,Psychiatric,Depression,a2533375017,Patient given advice about management of depression,L1:Psychiatric_L2:Depression,
7072,Psychiatric,Depression,a2534091015,Depression interim review,L1:Psychiatric_L2:Depression,
7073,Psychiatric,Depression,a2534092010,Depression medication review,L1:Psychiatric_L2:Depression,
7074,Psychiatric,Depression,a2534096013,Depression annual review,L1:Psychiatric_L2:Depression,
7075,Psychiatric,Depression,a2729751000000118,Recurrent depression with current severe episode and psychotic features,L1:Psychiatric_L2:Depression,
7076,Psychiatric,Depression,a2729991000000112,Recurrent depression with current severe episode without psychotic features,L1:Psychiatric_L2:Depression,
7077,Psychiatric,Depression,a2730011000000110,Recurrent depression with current moderate episode,L1:Psychiatric_L2:Depression,
7078,Psychiatric,Depression,a2798691000006112,Moderate recurrent major depression,L1:Psychiatric_L2:Depression,
7079,Psychiatric,Depression,a2914841000006115,"Major depressive disorder, single episode with postpartum onset",L1:Psychiatric_L2:Depression,
7080,Psychiatric,Depression,a294642013,Presenile dementia with depression,L1:Psychiatric_L2:Depression,
7081,Psychiatric,Depression,a294646011,Senile dementia with depression,L1:Psychiatric_L2:Depression,
7082,Psychiatric,Depression,a294824018,"Single major depressive episode, unspecified",L1:Psychiatric_L2:Depression,
7083,Psychiatric,Depression,a294825017,"Mild major depression, single episode",L1:Psychiatric_L2:Depression,
7084,Psychiatric,Depression,a294826016,"Moderate major depression, single episode",L1:Psychiatric_L2:Depression,
7085,Psychiatric,Depression,a294828015,"Single major depressive episode, severe, with psychosis",L1:Psychiatric_L2:Depression,
7086,Psychiatric,Depression,a294831019,Single episode of major depression in full remission,L1:Psychiatric_L2:Depression,
7087,Psychiatric,Depression,a294832014,Single major depressive episode NOS,L1:Psychiatric_L2:Depression,
7088,Psychiatric,Depression,a294836012,"Recurrent major depressive episodes, unspecified",L1:Psychiatric_L2:Depression,
7089,Psychiatric,Depression,a294837015,"Recurrent major depressive episodes, mild",L1:Psychiatric_L2:Depression,
7090,Psychiatric,Depression,a294838013,"Recurrent major depressive episodes, moderate",L1:Psychiatric_L2:Depression,
7091,Psychiatric,Depression,a294840015,"Recurrent major depressive episodes, severe, with psychosis",L1:Psychiatric_L2:Depression,
7092,Psychiatric,Depression,a294843018,Recurrent major depression in full remission,L1:Psychiatric_L2:Depression,
7093,Psychiatric,Depression,a294844012,Recurrent depression,L1:Psychiatric_L2:Depression,
7094,Psychiatric,Depression,a294845013,Recurrent major depressive episode NOS,L1:Psychiatric_L2:Depression,
7095,Psychiatric,Depression,a294894013,Atypical depressive disorder,L1:Psychiatric_L2:Depression,
7096,Psychiatric,Depression,a294917018,Reactive depressive psychosis,L1:Psychiatric_L2:Depression,
7097,Psychiatric,Depression,a294918011,Psychotic reactive depression,L1:Psychiatric_L2:Depression,
7098,Psychiatric,Depression,a295535012,Depressive disorder,L1:Psychiatric_L2:Depression,
7099,Psychiatric,Depression,a295537016,Chronic depression,L1:Psychiatric_L2:Depression,
7100,Psychiatric,Depression,a2957311000006113,Severe recurrent major depression with psychotic features,L1:Psychiatric_L2:Depression,
7101,Psychiatric,Depression,a296137015,Mild depression,L1:Psychiatric_L2:Depression,
7102,Psychiatric,Depression,a296138013,[X]Moderate depressive episode,L1:Psychiatric_L2:Depression,
7103,Psychiatric,Depression,a296180012,"[X]Recurrent depressive disorder, current episode mild",L1:Psychiatric_L2:Depression,
7104,Psychiatric,Depression,a296181011,"[X]Recurrent depressive disorder, current episode moderate",L1:Psychiatric_L2:Depression,
7105,Psychiatric,Depression,a296198011,"[X]Recurrent depressive disorder, currently in remission",L1:Psychiatric_L2:Depression,
7106,Psychiatric,Depression,a296199015,[X]Other recurrent depressive disorders,L1:Psychiatric_L2:Depression,
7107,Psychiatric,Depression,a3033261000006113,Recurrent major depression in partial remission,L1:Psychiatric_L2:Depression,
7108,Psychiatric,Depression,a307111000000119,Beck Depression Inventory II score,L1:Psychiatric_L2:Depression,
7109,Psychiatric,Depression,a3071791000006111,Depressive illness,L1:Psychiatric_L2:Depression,
7110,Psychiatric,Depression,a3071801000006112,Depressed,L1:Psychiatric_L2:Depression,
7111,Psychiatric,Depression,a3087971000006112,Severe recurrent major depression without psychotic features,L1:Psychiatric_L2:Depression,
7112,Psychiatric,Depression,a3094951000006111,"Major depressive disorder, single episode",L1:Psychiatric_L2:Depression,
7113,Psychiatric,Depression,a3149661000006117,Mild recurrent major depression,L1:Psychiatric_L2:Depression,
7114,Psychiatric,Depression,a3153071000006116,Recurrent brief depressive disorder,L1:Psychiatric_L2:Depression,
7115,Psychiatric,Depression,a3190221000006112,Major depression in remission,L1:Psychiatric_L2:Depression,
7116,Psychiatric,Depression,a346972018,Endogenous depression first episode,L1:Psychiatric_L2:Depression,
7117,Psychiatric,Depression,a346973011,Masked depression,L1:Psychiatric_L2:Depression,
7118,Psychiatric,Depression,a3531371000006112,Major depression in complete remission,L1:Psychiatric_L2:Depression,
7119,Psychiatric,Depression,a359121000006116,Reactive depression,L1:Psychiatric_L2:Depression,
7120,Psychiatric,Depression,a3606411000006115,Recurrent major depression in remission,L1:Psychiatric_L2:Depression,
7121,Psychiatric,Depression,a3628471000006116,"Major depressive disorder, single episode with catatonic features",L1:Psychiatric_L2:Depression,
7122,Psychiatric,Depression,a366561000006119,[X]Atypical depression,L1:Psychiatric_L2:Depression,
7123,Psychiatric,Depression,a367061000006114,Psychosis and severe depression co-occurrent and due to bipolar affective disorder,L1:Psychiatric_L2:Depression,
7124,Psychiatric,Depression,a369982012,Seasonal affective disorder,L1:Psychiatric_L2:Depression,
7125,Psychiatric,Depression,a3700911000006115,Psychotic depression,L1:Psychiatric_L2:Depression,
7126,Psychiatric,Depression,a3743451000006110,"Severe major depression, single episode, without psychotic features",L1:Psychiatric_L2:Depression,
