Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
7218,Psychiatric,Psychosis,a10122017,Brief reactive psychosis,L1:Psychiatric_L2:Psychosis,
7219,Psychiatric,Psychosis,a1012921000006115,Adverse reaction to Drugs Used In Psychoses And Related Disorders,L1:Psychiatric_L2:Psychosis,
7220,Psychiatric,Psychosis,a119579013,Disintegrative psychosis,L1:Psychiatric_L2:Psychosis,
7221,Psychiatric,Psychosis,a12115591000006111,Referral for cognitive behavioural therapy for psychosis,L1:Psychiatric_L2:Psychosis,
7222,Psychiatric,Psychosis,a1227584015,[V]Personal history of manic-depressive psychosis,L1:Psychiatric_L2:Psychosis,
7223,Psychiatric,Psychosis,a12480451000006112,"[X]Schizophrenia, schizotypal and delusional disorders",L1:Psychiatric_L2:Psychosis,
7224,Psychiatric,Psychosis,a12736721000006110,FEP - first episode psychosis,L1:Psychiatric_L2:Psychosis,
7225,Psychiatric,Psychosis,a14333601000006113,Family intervention for psychosis and bipolar disorder,L1:Psychiatric_L2:Psychosis,
7226,Psychiatric,Psychosis,a1667591000000111,[X]Nonorganic psychosis in remission,L1:Psychiatric_L2:Psychosis,
7227,Psychiatric,Psychosis,a1715191000006112,Severe major depression with psychotic features,L1:Psychiatric_L2:Psychosis,
7228,Psychiatric,Psychosis,a1755901000006112,"[X]Single major depressive episode, severe, with psychosis, psychosis in remission",L1:Psychiatric_L2:Psychosis,
7229,Psychiatric,Psychosis,a1755911000006110,"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",L1:Psychiatric_L2:Psychosis,
7230,Psychiatric,Psychosis,a1807561000006117,Psychotic symptom,L1:Psychiatric_L2:Psychosis,
7231,Psychiatric,Psychosis,a1821481000006114,Possible early psychosis,L1:Psychiatric_L2:Psychosis,
7232,Psychiatric,Psychosis,a1821491000006112,Possible psychosis prodrome,L1:Psychiatric_L2:Psychosis,
7233,Psychiatric,Psychosis,a1971471000006117,"Mental & behav dis due to use opioids: psychotic disorder, schizophrenia-like",L1:Psychiatric_L2:Psychosis,
