Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
7495,Psychiatric,Schizophrenia,a105029017,Paranoid schizophrenia in remission,L1:Psychiatric_L2:Schizophrenia,
7496,Psychiatric,Schizophrenia,a107878010,Paranoid schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7497,Psychiatric,Schizophrenia,a114616017,Chronic catatonic schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7498,Psychiatric,Schizophrenia,a1219653018,Atypical schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7499,Psychiatric,Schizophrenia,a1234861017,Chronic schizophrenic,L1:Psychiatric_L2:Schizophrenia,
7500,Psychiatric,Schizophrenia,a123611000006110,Subchronic schizo-affective schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7501,Psychiatric,Schizophrenia,a12480451000006112,"[X]Schizophrenia, schizotypal and delusional disorders",L1:Psychiatric_L2:Schizophrenia,
7502,Psychiatric,Schizophrenia,a132503015,Subchronic paranoid schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7503,Psychiatric,Schizophrenia,a155141000006116,Schizoaffective schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7504,Psychiatric,Schizophrenia,a155151000006119,Schizoaffective schizophrenia in remission,L1:Psychiatric_L2:Schizophrenia,
7505,Psychiatric,Schizophrenia,a155161000006117,Schizo-affective schizophrenia NOS,L1:Psychiatric_L2:Schizophrenia,
7506,Psychiatric,Schizophrenia,a155281000006119,Schizotypal personality,L1:Psychiatric_L2:Schizophrenia,
7507,Psychiatric,Schizophrenia,a169061000006112,Restzustand - schizophrenia,L1:Psychiatric_L2:Schizophrenia,
7508,Psychiatric,Schizophrenia,a178723016,Catatonic schizophrenia in remission,L1:Psychiatric_L2:Schizophrenia,
7509,Psychiatric,Schizophrenia,a1971471000006117,"Mental & behav dis due to use opioids: psychotic disorder, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7510,Psychiatric,Schizophrenia,a1972011000006110,"Mental & behav dis due to hallucinogens: psychotic disord, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7511,Psychiatric,Schizophrenia,a1972261000006117,"Mental & behav dis due to cannabinoids: psychotic disordr, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7512,Psychiatric,Schizophrenia,a1972861000006118,"Mental & behav dis due to seds/hypntcs: psychotic disordr, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7513,Psychiatric,Schizophrenia,a1973051000006118,"Mental & behav dis due to vol solvents: psychotic disordr, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7514,Psychiatric,Schizophrenia,a1973581000006116,"Mental & behav dis due to use cocaine: psychotic disorder, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7515,Psychiatric,Schizophrenia,a1973831000006119,"Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7516,Psychiatric,Schizophrenia,a1974351000006118,"Paranoid schizophrenia, continuous",L1:Psychiatric_L2:Schizophrenia,
7517,Psychiatric,Schizophrenia,a1974391000006112,"Paranoid schizophrenia, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7518,Psychiatric,Schizophrenia,a1974431000006118,"Paranoid schizophrenia, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7519,Psychiatric,Schizophrenia,a1974451000006113,"Paranoid schizophrenia, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7520,Psychiatric,Schizophrenia,a1974481000006117,"Paranoid schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7521,Psychiatric,Schizophrenia,a1974511000006113,"Paranoid schizophrenia, complete remission",L1:Psychiatric_L2:Schizophrenia,
7522,Psychiatric,Schizophrenia,a1974541000006112,"Paranoid schizophrenia, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7523,Psychiatric,Schizophrenia,a1974601000006111,"Hebephrenic schizophrenia, continuous",L1:Psychiatric_L2:Schizophrenia,
7524,Psychiatric,Schizophrenia,a1974611000006114,"Hebephrenic schizophrenia, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7525,Psychiatric,Schizophrenia,a1974621000006118,"Hebephrenic schizophrenia, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7526,Psychiatric,Schizophrenia,a1974641000006113,"Hebephrenic schizophrenia, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7527,Psychiatric,Schizophrenia,a1974651000006110,"Mental & behav dis due to use tobacco: psychotic disorder, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7528,Psychiatric,Schizophrenia,a1974671000006117,"Hebephrenic schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7529,Psychiatric,Schizophrenia,a1974691000006116,"Hebephrenic schizophrenia, complete remission",L1:Psychiatric_L2:Schizophrenia,
7530,Psychiatric,Schizophrenia,a1974721000006114,"Hebephrenic schizophrenia, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7531,Psychiatric,Schizophrenia,a1974751000006117,"Catatonic schizophrenia, continuous",L1:Psychiatric_L2:Schizophrenia,
7532,Psychiatric,Schizophrenia,a1974781000006113,"Catatonic schizophrenia, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7533,Psychiatric,Schizophrenia,a1974801000006112,"Catatonic schizophrenia, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7534,Psychiatric,Schizophrenia,a1974831000006116,"Catatonic schizophrenia, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7535,Psychiatric,Schizophrenia,a1974861000006113,"Catatonic schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7536,Psychiatric,Schizophrenia,a1974891000006117,"Catatonic schizophrenia, complete remission",L1:Psychiatric_L2:Schizophrenia,
7537,Psychiatric,Schizophrenia,a1974921000006111,"Catatonic schizophrenia, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7538,Psychiatric,Schizophrenia,a1975051000006119,"Undifferentiated schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7539,Psychiatric,Schizophrenia,a1975141000006117,"Mental & behav dis due to use alcohol: psychotic disorder, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7540,Psychiatric,Schizophrenia,a1975191000006114,"Post-schizophrenic depression, continuous",L1:Psychiatric_L2:Schizophrenia,
7541,Psychiatric,Schizophrenia,a1975211000006110,"Post-schizophrenic depression, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7542,Psychiatric,Schizophrenia,a1975231000006116,"Post-schizophrenic depression, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7543,Psychiatric,Schizophrenia,a1975261000006113,"Post-schizophrenic depression, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7544,Psychiatric,Schizophrenia,a1975281000006115,"Post-schizophrenic depression, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7545,Psychiatric,Schizophrenia,a1975301000006116,"Post-schizophrenic depression, complete remission",L1:Psychiatric_L2:Schizophrenia,
7546,Psychiatric,Schizophrenia,a1975321000006114,"Post-schizophrenic depression, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7547,Psychiatric,Schizophrenia,a1975351000006117,"Residual schizophrenia, continuous",L1:Psychiatric_L2:Schizophrenia,
7548,Psychiatric,Schizophrenia,a1975381000006113,"Residual schizophrenia, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7549,Psychiatric,Schizophrenia,a1975401000006113,"Residual schizophrenia, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7550,Psychiatric,Schizophrenia,a1975431000006117,"Residual schizophrenia, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7551,Psychiatric,Schizophrenia,a1975441000006110,"Residual schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7552,Psychiatric,Schizophrenia,a1975471000006119,"Residual schizophrenia, complete remission",L1:Psychiatric_L2:Schizophrenia,
7553,Psychiatric,Schizophrenia,a1975481000006116,"Residual schizophrenia, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7554,Psychiatric,Schizophrenia,a1975491000006118,"Simple schizophrenia, continuous",L1:Psychiatric_L2:Schizophrenia,
7555,Psychiatric,Schizophrenia,a1975501000006114,"Simple schizophrenia, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7556,Psychiatric,Schizophrenia,a1975521000006116,"Simple schizophrenia, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7557,Psychiatric,Schizophrenia,a1975551000006113,"Simple schizophrenia, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7558,Psychiatric,Schizophrenia,a1975561000006110,"Mental and behav dis due to other stimulants inc caffeine: psychotic dis, schizophrenia-like",L1:Psychiatric_L2:Schizophrenia,
7559,Psychiatric,Schizophrenia,a1975571000006115,"Simple schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7560,Psychiatric,Schizophrenia,a1975601000006110,"Simple schizophrenia, complete remission",L1:Psychiatric_L2:Schizophrenia,
7561,Psychiatric,Schizophrenia,a1975621000006117,"Acute polymorphic psychot disord without symp of schizoph, without associated acute stress",L1:Psychiatric_L2:Schizophrenia,
7562,Psychiatric,Schizophrenia,a1975641000006112,"Simple schizophrenia, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7563,Psychiatric,Schizophrenia,a1975671000006116,"Acute polymorphic psychot disord without symp of schizoph, with associated acute stress",L1:Psychiatric_L2:Schizophrenia,
7564,Psychiatric,Schizophrenia,a1975681000006118,"Acute polymorphic psychot disord with symp of schizophren, without associated acute stress",L1:Psychiatric_L2:Schizophrenia,
7565,Psychiatric,Schizophrenia,a1975691000006115,"Acute polymorphic psychot disord with symp of schizophren, with associated acute stress",L1:Psychiatric_L2:Schizophrenia,
7566,Psychiatric,Schizophrenia,a1975711000006117,"Acute schizophrenia-like psychotic disorder, without associated acute stress",L1:Psychiatric_L2:Schizophrenia,
7567,Psychiatric,Schizophrenia,a1975731000006111,"Acute schizophrenia-like psychotic disorder, with associated acute stress",L1:Psychiatric_L2:Schizophrenia,
7568,Psychiatric,Schizophrenia,a1975751000006116,"Other schizophrenia, continuous",L1:Psychiatric_L2:Schizophrenia,
7569,Psychiatric,Schizophrenia,a1975771000006114,"Other schizophrenia, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7570,Psychiatric,Schizophrenia,a1975801000006111,"Other schizophrenia, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
7571,Psychiatric,Schizophrenia,a1975831000006115,"Other schizophrenia, episodic remittent",L1:Psychiatric_L2:Schizophrenia,
7572,Psychiatric,Schizophrenia,a1975841000006113,"Other schizophrenia, incomplete remission",L1:Psychiatric_L2:Schizophrenia,
7573,Psychiatric,Schizophrenia,a1975881000006119,"Other schizophrenia, complete remission",L1:Psychiatric_L2:Schizophrenia,
7574,Psychiatric,Schizophrenia,a1975911000006119,"Other schizophrenia, course uncertain, period of observation too short",L1:Psychiatric_L2:Schizophrenia,
7575,Psychiatric,Schizophrenia,a1976001000006113,"Schizophrenia, unspecified, continuous",L1:Psychiatric_L2:Schizophrenia,
7576,Psychiatric,Schizophrenia,a1976061000006114,"Schizophrenia, unspecified, episodic with progressive deficit",L1:Psychiatric_L2:Schizophrenia,
7577,Psychiatric,Schizophrenia,a1976101000006112,"Schizophrenia, unspecified, episodic with stable deficit",L1:Psychiatric_L2:Schizophrenia,
