Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
7732,Respiratory,Asthma,a104872017,Extrinsic sthm without sttus sthmticus,L1:Respiratory_L2:Asthma,
7733,Respiratory,Asthma,a1118291000000110,sthm control test score,L1:Respiratory_L2:Asthma,
7734,Respiratory,Asthma,a1139011000000112,sthm Control Questionnire score,L1:Respiratory_L2:Asthma,
7735,Respiratory,Asthma,a1139131000000117,Under cre of sthm specilist nurse,L1:Respiratory_L2:Asthma,
7736,Respiratory,Asthma,a1176461000000114,Ptient hs  written sthm personl ction pln,L1:Respiratory_L2:Asthma,
7737,Respiratory,Asthma,a1176501000000114,Helth eduction - sthm self mngement,L1:Respiratory_L2:Asthma,
7738,Respiratory,Asthma,a1176541000000112,Helth eduction - structured sthm discussion,L1:Respiratory_L2:Asthma,
7739,Respiratory,Asthma,a11922851000006115,cute sthm,L1:Respiratory_L2:Asthma,
7740,Respiratory,Asthma,a11999511000006117,CQ (sthm Control Questionnire) score,L1:Respiratory_L2:Asthma,
7741,Respiratory,Asthma,a11999521000006113,ssessment using sthm Control Questionnire,L1:Respiratory_L2:Asthma,
7742,Respiratory,Asthma,a1208954011,sthm cuses dytime symptoms 1 to 2 times per month,L1:Respiratory_L2:Asthma,
7743,Respiratory,Asthma,a1208955012,sthm cuses dytime symptoms 1 to 2 times per week,L1:Respiratory_L2:Asthma,
7744,Respiratory,Asthma,a1208956013,sthm cuses dytime symptoms most dys,L1:Respiratory_L2:Asthma,
7745,Respiratory,Asthma,a1208957016,sthm cuses night symptoms 1 to 2 times per month,L1:Respiratory_L2:Asthma,
7746,Respiratory,Asthma,a1208958014,sthm limits wlking on the flt,L1:Respiratory_L2:Asthma,
7747,Respiratory,Asthma,a1208959018,sthm limits wlking up hills or stirs,L1:Respiratory_L2:Asthma,
7748,Respiratory,Asthma,a1208960011,sthm never cuses dytime symptoms,L1:Respiratory_L2:Asthma,
7749,Respiratory,Asthma,a1208962015,Number of sthm excerbtions in pst yer,L1:Respiratory_L2:Asthma,
7750,Respiratory,Asthma,a1208969012,Mild sthm,L1:Respiratory_L2:Asthma,
7751,Respiratory,Asthma,a1208970013,Moderte sthm,L1:Respiratory_L2:Asthma,
7752,Respiratory,Asthma,a1208971012,Occsionl sthm,L1:Respiratory_L2:Asthma,
7753,Respiratory,Asthma,a1208972017,Severe sthm,L1:Respiratory_L2:Asthma,
7754,Respiratory,Asthma,a1208976019,sthm tretment complince unstisfctory,L1:Respiratory_L2:Asthma,
