Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8004,Respiratory,Bronchiectasis,a128792019,Congenital bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8005,Respiratory,Bronchiectasis,a1854831000006111,Cystic fibrosis manifested by bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8006,Respiratory,Bronchiectasis,a21163015,Bronchiectasis (disorder),L1:Respiratory_L2:Bronchiectasis,
8007,Respiratory,Bronchiectasis,a2806691000006111,Traction bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8008,Respiratory,Bronchiectasis,a301524014,Recurrent bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8009,Respiratory,Bronchiectasis,a301525010,Post-infective bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8010,Respiratory,Bronchiectasis,a301526011,Bronchiectasis NOS,L1:Respiratory_L2:Bronchiectasis,
8011,Respiratory,Bronchiectasis,a3327421000006113,Adult bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8012,Respiratory,Bronchiectasis,a3858081000006116,Cylindrical bronchiectasis (disorder),L1:Respiratory_L2:Bronchiectasis,
8013,Respiratory,Bronchiectasis,a38677017,Tuberculous bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8014,Respiratory,Bronchiectasis,a5053671000006110,Acquired bronchiectasis (disorder),L1:Respiratory_L2:Bronchiectasis,
8015,Respiratory,Bronchiectasis,a5053681000006113,Idiopathic bronchiectasis (disorder),L1:Respiratory_L2:Bronchiectasis,
8016,Respiratory,Bronchiectasis,a5053691000006111,Obstructive bronchiectasis (disorder),L1:Respiratory_L2:Bronchiectasis,
8017,Respiratory,Bronchiectasis,a7307141000006111,Acute exacerbation of bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
8018,Respiratory,Bronchiectasis,a755691000006114,"Bronchiectasis, chronic sinusitis AND dextrocardia syndrome",L1:Respiratory_L2:Bronchiectasis,
8019,Respiratory,Bronchiectasis,a7715861000006113,Acute bronchitis co-occurrent with bronchiectasis,L1:Respiratory_L2:Bronchiectasis,
